FID,0cc20,12cc20,24cc20,30cc20,39cc20,46cc20,53cc20,60cc20,67cc20,73cc20,81cc20,88cc20,95cc20,102cc20,108cc20,116cc20,121cc20,129cc20,135cc20,144cc20,0ch20,12ch20,24ch20,30ch20,39ch20,46ch20,53ch20,60ch20,67ch20,73ch20,81ch20,88ch20,95ch20,102ch20,108ch20,116ch20,121ch20,129ch20,135ch20,144ch20,0eg20,12eg20,24eg20,30eg20,39eg20,46eg20,53eg20,60eg20,67eg20,73eg20,81eg20,88eg20,95eg20,102eg20,108eg20,116eg20,121eg20,129eg20,135eg20,144eg20,labels
4,0,0.037799116,3.904641702,16.04816339,21.69129721,26.07136791,37.03719393,55.41993254,56.00354292,66.83006139,90.65554274,96.68576327,98.65860947,98.9931757,98.22516284,92.66119052,87.40687714,53.30650815,0.432251181,0.064624295,0,-0.017245674,0.070212746,0.030265427,0.126417494,0.139943409,0.283150434,0.408414984,0.509821844,0.710238552,0.905297375,0.896441841,1.015390587,0.981011534,0.955087709,0.910535002,0.900225067,0.729196215,0.534608507,0.599683809,-0.016454495,-0.006858048,0.001539425,0.014587806,0.025009586,0.044688962,0.075625844,0.102329344,0.117731571,0.15312016,0.241460547,0.266352534,0.271869242,0.281885475,0.289013505,0.208985969,0.183978215,0.095823362,-0.017028341,-0.030275881,0
5,0,0.010389928,2.150715072,12.67550678,17.78203491,21.27470656,33.75897169,51.39107962,56.2886748,68.47533306,91.01499619,97.02443118,99.12706989,99.88256974,99.95642754,99.56548577,98.97159886,78.24538942,1.615607377,0.126809938,0,-0.018641472,0.065069485,0.018900871,0.103677082,0.101633549,0.251505995,0.381546354,0.479205418,0.705003881,0.904513025,0.905785704,1.035301352,1.000815916,0.984833193,0.955110168,0.938611031,0.773674059,0.536015797,0.638477564,-0.016989518,-0.008421593,-0.000283191,0.009568269,0.018500593,0.033218376,0.065042116,0.089231774,0.117600672,0.157964945,0.237002179,0.261241347,0.27032727,0.292471796,0.295146316,0.23215203,0.212787017,0.141178429,-0.003954642,-0.027063545,0
14,0,0.003667033,1.830460824,13.85886298,19.79565773,25.6515567,36.27670556,56.83467204,58.12686549,68.73195176,91.16568427,97.01175377,98.72501494,99.86751457,99.99636896,99.73124803,99.12640443,79.55189758,2.033692149,0.100594422,0,-0.01945014,0.057028961,0.024290943,0.115406132,0.156461906,0.29671793,0.426649475,0.52396903,0.741878271,0.917053843,0.934152794,0.955136871,0.984296274,0.984657335,0.963492393,0.935887051,0.790363836,0.566278791,0.648269653,-0.012751173,-0.014644564,-0.011377343,0.009648004,0.02342671,0.041934039,0.070234738,0.101559371,0.12336798,0.156266123,0.240825266,0.255654812,0.256000996,0.283774614,0.307890326,0.249770582,0.230335832,0.149103969,-0.000268485,-0.031565305,0
15,0,0.001828989,2.142559553,12.80902301,17.80940218,22.60414766,34.86946418,56.10970904,56.98391128,68.69555194,92.57345351,97.70881495,99.09367924,99.8789565,99.97947467,99.80331877,99.18323907,82.13747904,4.210333791,0.125590611,0,-0.019643784,0.052783155,0.021006346,0.100456524,0.137400436,0.27712059,0.410479927,0.52089057,0.745152521,0.920979404,0.943497419,0.961637688,0.997529602,0.992812395,0.963678217,0.915421677,0.788889837,0.585055351,0.652097702,-0.015042856,-0.013532488,-0.008156709,0.009883564,0.02196078,0.037472643,0.069015704,0.099730149,0.119447947,0.15593864,0.249246776,0.261408687,0.258061558,0.279422611,0.295680672,0.241500273,0.228584096,0.153444409,0.011376153,-0.030364716,0
16,0,0.001833517,1.391639164,12.68793546,17.35388919,23.16302264,34.66733639,54.67191633,57.24416996,69.13538305,91.44335311,97.19527435,99.16027262,99.91109189,99.99757931,99.74156131,99.43276954,81.90214906,3.265965554,0.10791038,0,-0.019331598,0.05069356,0.020424843,0.104034615,0.133606339,0.27847209,0.402949524,0.509503412,0.736479759,0.905525541,0.934948206,0.962360001,0.996769905,0.993363142,0.971668625,0.928228331,0.808968067,0.590100479,0.636875296,-0.013333838,-0.013400463,-0.013167012,0.010871085,0.018501148,0.040136021,0.066081174,0.09574952,0.116982065,0.15789558,0.249907061,0.258089423,0.255575091,0.282808125,0.297342151,0.239558786,0.232235968,0.15226008,0.008600908,-0.024801871,0
17,0,0.002438653,2.173193805,14.36732205,20.41058992,24.14158,36.12336929,55.59525832,57.40311582,69.77783979,93.2934726,97.64743524,99.11535867,99.85787927,99.99396314,99.64449513,99.31811012,76.71513489,2.373418686,0.114289207,0,-0.020358086,0.050614548,0.024434233,0.110328007,0.147871637,0.28459301,0.413840771,0.524820948,0.732869387,0.900304461,0.936361599,0.963805628,0.993629503,0.984970856,0.946030474,0.888237429,0.769756556,0.571095181,0.635138559,-0.010542577,-0.015230991,-0.012385982,0.012542319,0.02540854,0.039796036,0.070028335,0.097798452,0.11903581,0.157399103,0.253704786,0.264698982,0.260262132,0.283920139,0.29334709,0.243724704,0.220557809,0.14190869,0.004943518,-0.023300026,0
18,0,0.001833517,2.37966866,13.8832495,20.00912242,25.1383193,37.03779911,56.94447815,58.55698998,70.7114414,94.78415203,98.4050613,99.49109261,99.85702614,99.99455344,99.71375316,99.24405522,86.02809706,3.568083683,0.162780064,0,-0.017836523,0.051969576,0.023672199,0.113462925,0.139089918,0.281892824,0.416874933,0.519274902,0.734144258,0.915202379,0.949754047,0.992294359,1.029521275,1.032182169,1.025244761,0.971400499,0.859887457,0.609571123,0.662070131,-0.015864268,-0.014229091,-0.012163989,0.010561417,0.024735676,0.042282861,0.07203877,0.103058361,0.123216718,0.164027855,0.26657474,0.27204603,0.27128154,0.288653314,0.293800414,0.23905769,0.233448982,0.16042161,0.011305246,-0.025569592,0
19,0,0.010389928,3.214154749,15.1775644,20.1423098,25.53447063,36.05197226,54.5657502,57.74224077,69.42961489,93.02538096,98.38574335,99.65831366,99.95061907,99.99879263,99.78948773,98.95775195,87.82868465,4.021947874,0.092059137,0,-0.01965518,0.049167061,0.027636719,0.116191816,0.151055241,0.289804745,0.417598248,0.535380697,0.742515659,0.923104429,0.960470295,0.999672556,1.025757217,1.028797817,1.027033138,0.958496189,0.851511431,0.604932785,0.647729778,-0.015303536,-0.011905976,-0.00796075,0.014759634,0.024320645,0.045555837,0.069916591,0.097749166,0.121525586,0.160277978,0.25648874,0.272297204,0.280685514,0.297342062,0.302504748,0.254270166,0.242223054,0.171204284,0.012160385,-0.028399635,0
20,0,0.028044505,3.902190962,17.27661655,25.048957,28.74901174,39.21521163,56.68421947,58.52726346,70.70906841,94.48834584,98.52398301,99.63927832,99.92791234,100,99.72700138,99.20041738,87.99146472,4.714525225,0.096326779,0,-0.020759439,0.050823212,0.02973175,0.12676878,0.169779778,0.308116007,0.439588881,0.552542305,0.757881403,0.930892944,0.974038172,1.024678898,1.068207645,1.064082909,1.07013402,1.005871916,0.882717466,0.663500023,0.682400417,-0.012748972,-0.013968668,-0.009821446,0.016834131,0.034978859,0.050224833,0.076790363,0.104307525,0.1291008,0.166406572,0.265747339,0.274725914,0.283619344,0.305306047,0.304263949,0.252374768,0.249253407,0.17042926,0.015500478,-0.028975029,0
32,0.000611172,0.01650165,2.382960518,12.14509983,17.22742605,21.45228973,32.5117101,51.34557985,55.32953966,69.3228421,93.52607018,98.06880814,99.03646962,98.09943633,96.5795621,68.07954394,50.82263583,9.955799421,0.508459076,0.065843621,0,-0.029223299,0.046567154,0.012387848,0.099378777,0.124497414,0.263510084,0.394202423,0.509370708,0.721818018,0.897746277,0.954944611,1.027397251,1.037658358,1.036603022,0.996135616,0.898974133,0.587182999,0.525952721,0.5312006,-0.01559005,-0.016076393,-0.011462978,0.009680833,0.016797669,0.033441376,0.060111053,0.090521954,0.119195648,0.165935695,0.267538518,0.279510379,0.2949512,0.305190802,0.274734527,0.165710166,0.1135787,0.017784642,-0.039783135,-0.035002626,0
42,0,0.012834617,3.731251838,17.51318397,23.32136184,27.46669417,37.0559543,54.62156325,56.12669562,67.71397025,90.37532831,95.54479653,97.28522358,98.95352749,99.79293567,97.0370729,92.89657599,47.13976528,1.104099985,0.174363664,0,-0.03225708,0.044338274,0.013618469,0.136665392,0.202143955,0.360724211,0.464327288,0.557398462,0.744287825,0.89412055,0.954746342,1.017236948,1.001300859,0.977425623,0.943565416,0.891479826,0.756536341,0.561954927,0.624152184,-0.007292168,-0.007225857,-0.009013783,0.019321261,0.031277381,0.047069985,0.074549571,0.09794043,0.125657082,0.163938552,0.256531864,0.26846987,0.283212632,0.3059479,0.314351797,0.248202577,0.217476547,0.102333173,-0.014529024,-0.026728952,0
48,0.000609663,0.00550055,4.305708349,15.189148,20.95846257,24.44429615,34.56465176,50.66793662,54.10347254,65.71440705,90.44666735,96.72560655,98.64503541,99.37250084,99.34017108,96.4407047,93.21022107,57.85276635,4.577023657,0.181069959,0,-0.035200882,0.04064846,0.006544971,0.119806194,0.180375338,0.314782143,0.423278904,0.542555141,0.730803442,0.85054369,0.924783802,0.964776802,1.033323765,1.001606607,1.004761696,0.956838226,0.824624014,0.587769222,0.64823823,-0.0087739,-0.016986325,-0.001043805,0.017555512,0.02967279,0.041645419,0.069368087,0.086320899,0.117583394,0.156278893,0.252634168,0.270161688,0.271550059,0.313006014,0.32151255,0.253600925,0.253896326,0.123028867,-0.003266203,-0.034394745,0
49,0,0.009754611,5.332197824,16.51272672,21.63413002,24.87806361,35.02136261,49.5650222,51.66104492,63.33922368,86.91192312,94.5638066,97.41924189,98.66457612,99.26410961,96.7096743,93.41300249,47.64822436,3.980490779,0.183351669,0,-0.032764387,0.041552687,0.014590788,0.139628983,0.20876503,0.33820219,0.440248728,0.549228573,0.738929224,0.842175436,0.93872056,0.956374121,1.044754887,1.013736439,1.016198826,0.97336154,0.843556738,0.554847717,0.628088951,-0.01085706,-0.015332421,-0.002376953,0.019555317,0.027993768,0.041346215,0.071348757,0.088254899,0.113024935,0.153181389,0.242071614,0.26830551,0.280797273,0.322120607,0.3246378,0.261045039,0.249741837,0.109184116,-0.009918255,-0.035502236,0
50,0,0.004889378,3.363280773,13.72839506,18.43832658,22.64796525,31.94405781,49.97816011,51.7362712,64.91482443,89.0020465,95.7808378,98.4485267,99.27976104,99.79112461,97.51753258,92.19345289,47.47856231,2.517299192,0.179850633,0,-0.032835817,0.041186333,0.0089674,0.123950672,0.18372345,0.321715832,0.432785368,0.544264889,0.743354368,0.856271458,0.946836138,0.972605085,1.086586094,1.057613373,1.072905827,1.017954493,0.893131351,0.595945787,0.636626291,-0.008661035,-0.017580442,-0.007304799,0.013520765,0.024621509,0.041837886,0.063588992,0.086786009,0.111631654,0.153471693,0.251008868,0.272711992,0.279539526,0.320190161,0.315006942,0.253868222,0.233246595,0.103719033,-0.017805003,-0.036621626,0
53,0,0.015890478,4.005011612,16.41457095,21.10885972,24.84522289,34.1825928,50.14863258,52.66992647,64.7303987,89.83513332,95.48201317,98.23071735,99.37912511,99.91669132,97.87121745,96.43524473,68.44505411,5.56805365,0.155464106,0,-0.029771757,0.047492027,0.015570688,0.140943527,0.20375843,0.338849068,0.465250015,0.557239342,0.760652924,0.842528534,0.932917118,0.925262547,0.990369034,0.975946283,0.986126518,0.933426046,0.816992712,0.596096325,0.630013227,-0.013047296,-0.017245555,-0.005575016,0.019299317,0.027483389,0.043041833,0.068609595,0.089622438,0.115318641,0.155104741,0.24967885,0.263217837,0.274663746,0.301163644,0.311732203,0.250051349,0.237540618,0.139944151,0.002987112,-0.034946106,0
