FID,0cc20,12cc20,24cc20,30cc20,39cc20,46cc20,53cc20,60cc20,67cc20,73cc20,81cc20,88cc20,95cc20,102cc20,108cc20,116cc20,121cc20,129cc20,135cc20,144cc20,0ch20,12ch20,24ch20,30ch20,39ch20,46ch20,53ch20,60ch20,67ch20,73ch20,81ch20,88ch20,95ch20,102ch20,108ch20,116ch20,121ch20,129ch20,135ch20,144ch20,0eg20,12eg20,24eg20,30eg20,39eg20,46eg20,53eg20,60eg20,67eg20,73eg20,81eg20,88eg20,95eg20,102eg20,108eg20,116eg20,121eg20,129eg20,135eg20,144eg20,labels
6,0,0.001833517,2.011444956,11.01026769,16.32228397,18.48443301,31.73466794,51.38015967,56.06056929,68.0063821,90.98877748,96.81800027,99.32733536,99.82398597,99.98671891,99.83802082,99.58018879,83.77076665,3.220823451,0.143625474,0,-0.019257545,0.064062166,0.019543552,0.093168259,0.089154434,0.227443218,0.358981419,0.474308538,0.694752502,0.897724676,0.90357914,1.027827692,0.997365284,0.984897804,0.97141881,0.94618454,0.811023664,0.530705166,0.633877134,-0.018747561,-0.017741572,-0.001753695,0.007105107,0.017718382,0.025619071,0.058788683,0.090770259,0.11708793,0.154096738,0.239351913,0.256002635,0.276959926,0.283370495,0.29436478,0.238819808,0.22046198,0.151899412,0.005478967,-0.027621133,4
7,0,0.006096632,2.084708471,12.19082457,17.0692696,21.20476799,32.65277786,53.63452159,57.73132083,70.61867553,92.85895838,98.15634263,99.54602805,99.97109409,99.99576379,99.7300347,99.3751365,82.95566502,3.146471574,0.068891937,0,-0.017434072,0.070083618,0.02270813,0.099947071,0.097382307,0.242396927,0.369926596,0.488268089,0.706057596,0.905925083,0.92589426,1.043534422,1.036763573,1.015640402,1.001479483,0.980816698,0.833675957,0.553062487,0.66468401,-0.020226724,-0.015778393,0.003240606,0.0099102,0.017270686,0.032351799,0.058758087,0.096075922,0.119168468,0.164309934,0.250884473,0.271276265,0.277078867,0.298345417,0.299138784,0.240576714,0.224950224,0.154542491,0.005635943,-0.032382771,4
8,0.000611172,0.006111722,1.214954416,10.74287456,15.2940461,19.25974908,31.68867479,51.26671358,55.72205101,68.59273066,91.68060175,97.19587803,99.16594402,99.65638216,99.85934114,99.85899469,99.74398796,89.32601738,10.28989483,0.10791038,0,-0.017185116,0.06456008,0.017138577,0.09298439,0.096618223,0.22885046,0.364865828,0.469899464,0.703464603,0.914662075,0.929181337,1.048002911,1.041960955,1.03740654,1.029878092,1.011031389,0.875238752,0.629721069,0.69139986,-0.014330179,-0.012179443,0.003451699,0.007869604,0.014329708,0.027802963,0.060194522,0.090736367,0.116185896,0.155301407,0.247619316,0.266412795,0.287293106,0.297427058,0.306681871,0.245815799,0.236250654,0.173483148,0.022294523,-0.032692108,4
9,0,0.010973937,1.649348103,10.6544734,15.9642401,19.33467129,30.68711345,49.38484312,55.10810745,68.41648669,91.88585503,97.78628304,99.39872864,99.96988968,99.9933431,99.91688709,99.84066168,92.91815272,21.46806889,0.163389727,0,-0.016630173,0.065369701,0.013309669,0.092379665,0.096508598,0.228158951,0.354689932,0.481260824,0.715582991,0.937899399,0.954865551,1.054562235,1.102937126,1.110151672,1.136084557,1.113275003,0.962424278,0.789530039,0.710466719,-0.016984416,-0.012102391,0.000574656,0.005488608,0.014927867,0.028497241,0.055083249,0.087398499,0.115839414,0.160892978,0.251803249,0.272820622,0.285580814,0.316123039,0.317390442,0.25878793,0.258280307,0.193866074,0.039615318,-0.033719018,4
10,0,0.003667033,1.716171617,10.85136291,14.08733529,17.87291611,29.94584936,46.74416916,52.75364605,66.65230896,91.6540589,97.38603916,99.25808161,99.92412198,99.98188942,99.92295372,99.77068116,91.1775644,14.63054187,0.080475537,0,-0.017589474,0.059556961,0.015550995,0.090361595,0.098511124,0.226369047,0.353407001,0.475263643,0.699172354,0.928524208,0.944666481,1.034596252,1.085981417,1.078379679,1.086755943,1.061705446,0.931911898,0.722656441,0.690513611,-0.016567331,-0.017240021,-0.004702308,0.008816918,0.011449955,0.024293281,0.05595386,0.080085255,0.107800089,0.15509142,0.244533628,0.267818868,0.285356432,0.324747086,0.329484999,0.260316044,0.259076506,0.188901693,0.031109842,-0.033774924,4
11,0,0.007945239,1.512719341,10.57277854,15.17971173,19.16438606,31.76371625,50.82748914,55.58858502,68.21871436,92.58552723,97.84800474,99.58587133,99.96095252,99.99455344,99.91688709,99.86289403,87.08367627,5.933851547,0.089231145,0,-0.017279625,0.057028103,0.014977455,0.09273386,0.100212383,0.240809584,0.370138454,0.48160553,0.697991753,0.92729311,0.950388622,1.02065115,1.056617069,1.05206213,1.043076468,1.029029989,0.904948568,0.577260542,0.683415794,-0.011561707,-0.016142836,-0.008871941,0.006938101,0.013502942,0.027835201,0.059539489,0.087667942,0.115112394,0.158947036,0.251921296,0.265704304,0.289471716,0.325704634,0.345226735,0.278848261,0.271379143,0.187293217,0.006626556,-0.032244347,4
12,0,0.001828989,0.767021147,7.871361073,12.36209937,15.88245286,26.15981409,43.6112257,48.24620859,62.73811546,87.08318708,93.70113916,95.81645528,98.53724045,99.25625872,98.9300541,99.12546372,74.78128334,3.414113702,0.090839811,0,-0.018316126,0.05376153,0.009944105,0.079244518,0.077211571,0.202468443,0.326967478,0.437293482,0.694404697,0.915465736,0.937741756,1.004131126,1.048675537,1.050095749,1.042578363,1.018804693,0.893510294,0.518107986,0.648594475,-0.014675375,-0.017646121,-0.012266647,0.003223588,0.009763336,0.022272227,0.050105758,0.074034356,0.100180909,0.147669822,0.228839904,0.250884384,0.274173647,0.324742556,0.356495261,0.300724447,0.2858181,0.183240488,-0.00509112,-0.030380227,4
13,0,0,0.854082933,7.296174062,10.53895994,13.09371769,22.2479757,39.36761387,42.33177219,55.65110565,80.8323624,88.29513006,92.49771162,95.67834487,97.57197448,96.61360382,97.19357422,78.25092745,6.912970584,0.111568358,0,-0.01815176,0.05423646,0.010763359,0.086090231,0.094959736,0.22393713,0.357035351,0.454626656,0.688875866,0.898325968,0.914000368,0.96222105,0.993994141,1.003031254,0.984673548,0.960891104,0.833261728,0.535582685,0.64450469,-0.01493862,-0.013864271,-0.013949986,0.001851283,0.008332794,0.018681832,0.044532657,0.066714242,0.088182233,0.12504746,0.210923225,0.233936548,0.245597452,0.295292884,0.328697711,0.276736528,0.267435074,0.181520671,0.004365599,-0.031920757,4
21,0,0.026280406,2.491749175,14.04968755,21.1240263,24.97755345,36.78259452,56.67147953,58.21907836,72.5721323,94.92380872,98.63868783,99.66133209,99.97892277,99.99939631,99.82103424,99.39427112,92.62856272,9.290047249,0.103642737,0,-0.019919252,0.047359705,0.025204134,0.113095903,0.142734098,0.286372328,0.413859797,0.52812705,0.744689035,0.925211906,0.974594593,1.022089958,1.093511629,1.085167027,1.105827188,1.041063976,0.951290751,0.76383009,0.69637742,-0.015828652,-0.010951771,-0.010832786,0.010537148,0.025233049,0.042333767,0.072004206,0.103126951,0.122751713,0.173277095,0.271475554,0.280919552,0.294557929,0.30721584,0.312396795,0.26128298,0.259257793,0.190527052,0.034437638,-0.029541561,4
22,0,0.018335167,1.965493579,12.38469745,18.72955057,21.893815,33.76865446,54.73925599,58.25062486,71.84595598,95.93900356,98.95743409,99.81753144,99.95664113,99.99879263,99.80089808,99.46310272,91.7384545,8.618257009,0.097176384,0,-0.019927883,0.047975016,0.020348024,0.094932795,0.114194393,0.266325045,0.400025225,0.526634264,0.746290445,0.933119345,0.97568841,1.047246408,1.110962534,1.099092627,1.109270811,1.045342779,0.943719864,0.729116726,0.691436052,-0.0128832,-0.01166317,-0.011208807,0.009995498,0.022848226,0.035640746,0.063228585,0.097608693,0.125141487,0.168383554,0.275045097,0.275364727,0.299898982,0.310063183,0.313805759,0.253789246,0.259499818,0.188849732,0.033926949,-0.032646328,4
