day,average_ch_20_4
0ch20,0
13ch20,-0.01895695
25ch20,0.048505367
35ch20,0.05803177
41ch20,0.071305392
49ch20,0.089003554
55ch20,0.310364712
62ch20,0.368939867
69ch20,0.427515021
77ch20,0.678957142
84ch20,0.76488095
91ch20,0.850804758
97ch20,0.924453737
111ch20,0.985424782
116ch20,1.05
121ch20,1.026
124ch20,1.02114084
