FID,CV200320,CV200401,CV200407,CV200416,CV200423,CV200430,CV200507,CV200514,CV200520,CV200528,CV200604,CV200611,CV200618,CV200624,CV200702,CV200707,CV200715,CV200721,CV200730,CV200805
"3869",-2.95577362060573,4.08363586425818,-0.360770950317415,7.13137207031314,6.22954956054743,11.0964501953135,19.999611816408,24.3440112304709,40.1447070312536,67.440527343754,64.1627490234375,65.301279296875,70.494443359375,67.880986328127,56.7968749999967,57.3943994140591,36.9454028320335,38.2437573242199,37.8762207031217,-3.71161865234343
"3870",-3.08299865722684,4.01235046386755,-0.611303062439019,6.75204467773498,5.49711425781299,10.6125378417978,18.6317211914079,22.0080029296895,37.4379907226596,63.4159960937538,59.65228515625,61.0408544921875,65.963623046875,64.0585742187519,54.1992285156218,54.6588183593718,34.5114331054708,36.0443212890636,35.0675830078094,-3.69369323730437
"3871",-3.09121917724637,4.43127075195352,-0.402161941528356,7.14051452636783,5.68469543457082,11.1027490234385,18.7145922851579,23.0505273437521,38.6144506835972,62.4669677734412,59.5867333984375,61.467626953125,64.941318359375,63.8198583984394,52.4548925781219,53.2021044921843,34.1713134765645,34.9509130859385,33.920468749997,-3.29942138671846
"3872",-3.21135528564482,4.95915374755904,-0.439858627319375,6.88784118652405,6.1321606445318,11.7633996582042,20.0401062011737,24.7023144531272,41.3628222656287,68.5300195312541,66.1562060546875,72.710244140625,72.5138232421875,70.5929492187521,56.4841601562467,56.8325244140591,37.9845312500023,37.7624560546886,36.4128027343718,-2.31495971679667
"3873",-3.26045349121123,4.49690002441446,-1.33640274047863,4.92753936767622,3.19317871093779,8.55732299804764,16.6554211425796,23.2583496093771,41.9909033203162,73.5327636718794,74.63318359375,86.880400390625,85.71640625,84.2269140625024,74.6273242187456,73.1285595703082,48.8207128906279,42.5067919921887,44.3555224609336,-2.06592376708966
"3874",-3.35576477050811,4.26709411621132,-1.81220016479508,3.79362945556674,1.54525848388686,6.86487915039124,13.9916821289075,20.6313159179706,40.3490820312536,72.5390332031293,74.63765625,87.48048828125,86.611748046875,86.8845507812525,82.0676953124952,80.8592480468702,59.2444921875035,42.6719335937512,51.6900195312455,-2.08539428710919
"3875",-3.28834594726592,4.2540734863285,-1.74509292602555,3.40756286621124,1.24530586242687,5.87647888183646,12.7752770996105,19.984123535158,39.2894335937535,71.3226464843792,74.143525390625,87.03203125,86.721787109375,87.2399707031275,84.6002539062451,82.5171484374951,62.6272949218788,42.3584082031262,51.345043945308,-1.84443191528304
"3876",-3.17595092773466,4.72265441894573,-1.5677186584474,3.75454467773471,1.85776977539079,6.6766064453131,13.7627380371106,21.3987646484394,41.2351562500037,73.2198730468793,76.95203125,88.462490234375,90.45287109375,90.1978906250026,86.6414648437449,84.681113281245,65.6689257812539,44.7063964843763,54.2836718749953,-1.42696258544909
"3877",-3.14793060302762,4.49998077392618,-1.93197662353533,3.26224853515654,1.83236495971696,5.45938415527392,12.5763195800792,19.3582336425799,39.3270727539098,73.5665917968794,76.6508935546875,88.589921875,91.1518359375,92.1814941406277,89.9310937499947,88.2170410156198,70.2579785156292,48.8094287109389,56.93096679687,-1.20666702270497
"3878",-3.07202606201199,4.47232666015665,-2.08067871093769,3.5015106201175,2.15523162841816,5.30539916992235,11.643837890626,19.6042065429705,39.3008984375035,73.2935791015668,77.231875,89.79607421875,95.382705078125,97.1603808593778,97.9232910156193,95.6587695312443,77.7090527343797,55.7904101562516,57.2900244140575,-1.05708091735831
"3879",-3.16948242187528,3.96268524169957,-1.96368011474627,3.34959899902374,2.14536666870136,4.904727172852,10.9160522460947,18.4985620117204,37.9854931640659,72.6483789062543,76.6624658203125,87.984228515625,93.988681640625,95.3702539062528,95.2719433593694,93.2677343749945,76.8737060546921,51.8130566406265,55.7371337890576,-1.28918365478504
"3880",-3.23194061279326,3.70476257324252,-1.92305770874041,3.63716491699251,2.2292756652834,5.57192565918018,12.6284521484386,20.1552392578143,40.1247680664098,75.280795898442,78.4851953125,87.64396484375,92.2944921875,93.1350390625027,92.3410937499946,90.6324023437446,74.710649414067,45.2562792968763,56.1734423828076,-0.906553039550702
"3881",-3.27425231933623,3.36169097900421,-2.28272048950216,3.02433471679714,1.39705871582044,3.53260345459016,8.19745727539136,14.8320471191419,36.1266259765657,66.863193359379,70.087109375,78.0583984375,84.5800390625,86.3383007812525,84.932968749995,83.58057617187,65.7663232421914,33.8695629882822,46.4766992187459,-0.685748901367128
"3882",-3.43140380859406,3.29421234130889,-2.49236633300804,2.71404876709009,1.37613189697278,2.99803344726589,7.45488037109442,13.7149438476575,33.2106591796905,61.5370263671911,64.8316796875,71.8799951171875,78.658671875,81.7962695312524,80.4158105468703,79.4467333984328,62.5198291015662,34.9935766601573,44.9040283203086,-1.17795700073232
"3883",-3.38954711914093,3.34525512695342,-1.8089739990236,4.05584350585974,3.95699035644567,9.19415649414145,17.2596594238297,24.7949731445335,46.4940722656291,74.4076123046919,77.305615234375,80.192451171875,83.94390625,85.2070703125025,80.7516210937453,78.1712939453079,60.6838574218786,45.8757421875013,51.445405273433,-2.01925186157209
"3884",-3.39361083984405,3.0351086425784,-1.94874526977556,3.24876892089873,3.14825134277372,7.51205627441473,15.6893676757826,23.6296704101584,45.022509765629,74.5744531250044,78.648125,81.911396484375,86.745908203125,87.9337988281275,83.0277929687451,78.3513330078079,60.8881835937536,47.6369628906264,52.8076904296829,-2.23453765869121
"3885",-3.35595001220733,2.8881259155276,-2.07106918334979,3.4509848022464,2.98426330566433,7.53333801269598,15.474615478517,23.6400170898459,44.1264013671914,73.2030371093793,77.876259765625,82.1790625,86.63111328125,87.9694726562525,83.3118261718701,78.9864062499953,62.4682275390662,48.5259667968764,51.6582812499955,-2.31594512939433
"3886",-3.38699462890655,2.86934509277369,-1.84237228393571,3.76133789062533,3.66540924072298,8.02573364257884,16.7291333007827,23.9847436523459,45.000175781254,73.7349853515669,78.55232421875,82.805537109375,86.76490234375,87.4269433593775,81.5045898437452,76.298754882808,59.2419042968785,46.5718017578139,50.1509033203081,-2.79940246582007
"3887",-3.3403823852542,2.88515441894557,-1.75752029418961,4.10040069580115,3.6788986206058,8.33583251953199,16.8273217773453,24.6612915039085,45.154775390629,75.5785253906295,80.67771484375,86.54291015625,90.83220703125,91.6670507812527,86.9382812499949,81.7082714843702,66.1177294921914,48.7094726562514,52.9510742187454,-2.99098785400365
