FID,avEG200309,avEG200320,avEG200401,avEG200407,avEG200416,avEG200423,avEG200430,avEG200507,avEG200514,avEG200520,avEG200528,avEG200604,avEG200611,avEG200618,avEG200624,avEG200702,avEG200707,avEG200715,avEG200721,avEG200730,avEG200805
"5986",-0.018167840316892,-0.014791659079492,-0.006475130561739,0.02087914198637,0.030859349295497,0.042778111994267,0.071602210402489,0.0900052562356,0.109028212726116,0.138508662581444,0.213321849703789,0.305033415555954,0.312183618545532,0.304962694644928,0.291635692119598,0.226738631725311,0.239002272486687,0.166377991437912,0.025491811335087,-0.038520056754351,-0.008420753292739
"5987",-0.01912290789187,-0.015461054630578,-0.00472735799849,0.01881960593164,0.028136514127254,0.040125276893377,0.073464080691338,0.093549534678459,0.110848858952522,0.140346795320511,0.226330161094666,0.299039512872696,0.323138177394867,0.308386117219925,0.293315649032593,0.231775924563408,0.248248726129532,0.198752611875534,0.044973727315664,-0.038185112178326,-0.000425729056587
"5988",-0.020906468853354,-0.015382550656796,-0.00745156686753,0.018933299928904,0.029025290161371,0.040080156177282,0.075946800410748,0.092219673097134,0.114691868424416,0.140324980020523,0.228921815752983,0.291353315114975,0.325535714626312,0.310695022344589,0.289280623197556,0.227070957422256,0.248426258563995,0.187188699841499,0.031137643381953,-0.04353017359972,0.000783782801591
"5989",-0.019454155117273,-0.01590982824564,-0.012588887475431,0.019328309223056,0.026529328897595,0.04123367741704,0.067227892577648,0.091480985283852,0.109418153762817,0.141932353377342,0.232884854078293,0.288066178560257,0.318988889455795,0.297483533620834,0.28250715136528,0.225874483585358,0.237180799245834,0.183281227946281,0.032791402190924,-0.035796727985144,0.003248680382967
"5990",-0.018110364675522,-0.016376577317715,-0.005267950706184,0.017084244638681,0.031456299126148,0.048379827290773,0.073260866105556,0.093170769512653,0.108439646661282,0.14110042154789,0.230416879057884,0.274120837450027,0.314047604799271,0.289325833320618,0.291474968194962,0.22300086915493,0.231208220124245,0.17574268579483,0.024333709850907,-0.041666466742754,0.003291057189927
"5991",-0.019226836040616,-0.01739726215601,-0.009066914208233,0.021659683436155,0.03331708163023,0.043412663042545,0.068092465400696,0.093083001673222,0.10527515411377,0.141639932990074,0.221849128603935,0.277460843324661,0.313641130924225,0.2812240421772,0.28678235411644,0.216310083866119,0.232984259724617,0.14916729927063,0.015340525656939,-0.047301687300205,-0.002570747863501
"5992",-0.018561067059636,-0.014073154889047,-0.009815132245421,0.030825149267912,0.038644827902317,0.050148271024227,0.076073683798313,0.090370297431946,0.107971906661987,0.139462783932686,0.229828178882599,0.283911377191544,0.313545495271683,0.277717113494873,0.289574325084686,0.220002263784409,0.218524679541588,0.125163048505783,0.007483134046197,-0.044846419245005,-0.001600715098903
"5993",-0.020063742995262,-0.017206585034728,-0.004028704483062,0.028266398236156,0.038852524012327,0.05103562399745,0.076180152595043,0.092475317418575,0.109667107462883,0.142622590065002,0.235459238290787,0.27866268157959,0.303232699632645,0.273478627204895,0.285045742988586,0.221977740526199,0.216507032513618,0.12058661878109,0.001540951663628,-0.043479349464178,-0.002535914769396
"5994",-0.020493930205703,-0.019096370786428,-0.004631199408323,0.024657132104039,0.039773341268301,0.049024481326342,0.076467379927635,0.092397063970566,0.107763536274433,0.139119565486908,0.243044897913933,0.278236627578735,0.307131379842758,0.280403524637222,0.291848093271255,0.228292301297188,0.231401860713959,0.127312958240509,0.006468985229731,-0.04243778437376,-0.004023514688015
"5995",-0.016333390027285,-0.015855137258768,-0.005947938654572,0.025731071829796,0.036671098321676,0.048807259649038,0.077702656388283,0.093138203024864,0.108140788972378,0.143368452787399,0.224540665745735,0.267611414194107,0.296813815832138,0.268827378749847,0.281015962362289,0.219671547412872,0.228259310126305,0.130628883838654,0.006267678458244,-0.045364387333393,0.001795725547709
"5996",-0.0165581908077,-0.013295410200953,-0.005261303391308,0.025621019303799,0.034103106707335,0.049042779952288,0.077273689210415,0.088464438915253,0.100857026875019,0.14146263897419,0.215115591883659,0.258295476436615,0.283448457717896,0.259028047323227,0.26971048116684,0.21050588786602,0.214679658412933,0.126494362950325,0.005764548666775,-0.042793016880751,0.002798953326419
"5997",-0.01263009943068,-0.009507962502539,-0.001260438351892,0.026369227096438,0.043450981378555,0.052002098411322,0.080624915659428,0.087650910019875,0.102898277342319,0.130542501807213,0.206409513950348,0.241772010922432,0.256644904613495,0.238792896270752,0.251527816057205,0.181803897023201,0.179628565907478,0.07357681542635,-0.006348048336804,-0.039053346961737,-0.000834367412608
"5998",-0.01201318576932,-0.007648710161448,-0.00126120983623,0.023528015241027,0.035362966358662,0.047520980238914,0.073804125189781,0.084474973380566,0.098701201379299,0.125964939594269,0.19191001355648,0.227439224720001,0.230540871620178,0.208913713693619,0.223317429423332,0.142317086458206,0.121039196848869,0.029356524348259,-0.015632919967175,-0.041897799819708,0.000484111136757
"5999",-0.015159692615271,-0.009165294468403,-0.005237029865384,0.022591296583414,0.035355612635612,0.046441778540611,0.071301966905594,0.080871127545834,0.093300804495811,0.12650465965271,0.190563231706619,0.211807668209076,0.223150789737701,0.190768986940384,0.198744624853134,0.117425628006458,0.102085113525391,0.0233254712075,-0.017084596678615,-0.038868803530931,-0.000903392676264
"6000",-0.014749646186829,-0.013868596404791,-0.0098911607638,0.023858556523919,0.034587729722261,0.046434227377176,0.072658106684685,0.082622438669205,0.091887660324574,0.123482123017311,0.183036506175995,0.208390817046165,0.214829534292221,0.187573403120041,0.195785835385323,0.121738292276859,0.100109532475471,0.030261101201177,-0.017605042085052,-0.03654720261693,-0.0002178017603
"6001",-0.016977967694402,-0.01020526047796,-0.002482555340976,0.025535782799125,0.039873447269201,0.051391772925854,0.074620865285397,0.085127554833889,0.094270505011082,0.123252175748348,0.196662664413452,0.224962189793587,0.238577395677567,0.2137421220541,0.231481924653053,0.174259349703789,0.156487002968788,0.070336773991585,-0.012555534020066,-0.035477578639984,-0.006990067195147
"6002",-0.017133638262749,-0.010528499260545,-0.005301403347403,0.026709035038948,0.033632315695286,0.049658011645079,0.074697375297546,0.086268298327923,0.103746667504311,0.134084016084671,0.203663468360901,0.237950891256332,0.257933229207993,0.234665036201477,0.252570331096649,0.19605079293251,0.185681983828545,0.096923381090164,-0.000400739110773,-0.043376598507166,-0.015674287453294
