FID,0cc20,12cc20,24cc20,30cc20,39cc20,46cc20,53cc20,60cc20,67cc20,73cc20,81cc20,88cc20,95cc20,102cc20,108cc20,116cc20,121cc20,129cc20,135cc20,144cc20,0ch20,12ch20,24ch20,30ch20,39ch20,46ch20,53ch20,60ch20,67ch20,73ch20,81ch20,88ch20,95ch20,102ch20,108ch20,116ch20,121ch20,129ch20,135ch20,144ch20,0eg20,12eg20,24eg20,30eg20,39eg20,46eg20,53eg20,60eg20,67eg20,73eg20,81eg20,88eg20,95eg20,102eg20,108eg20,116eg20,121eg20,129eg20,135eg20,144eg20,labels
292,0,0.435619057,12.54411332,27.53453123,31.62993446,37.23590586,41.81732146,53.67274139,54.86301536,60.77555874,75.25068066,85.80733962,90.24262145,94.60663872,97.79172365,88.72091048,81.12570699,24.97850937,0.464704312,0.08291419,0,-0.023795128,0.064053583,0.045010853,0.184322548,0.238396454,0.339201403,0.457666397,0.548801279,0.714432764,0.791779804,0.837258625,0.828350687,0.851164293,0.805854988,0.769752073,0.708571434,0.551233339,0.486328602,0.542609358,-0.018368177,-0.008594759,9.79E-05,0.042568814,0.048445653,0.069949672,0.081139162,0.100859299,0.114555739,0.134576663,0.185198054,0.234658226,0.266768456,0.246977583,0.246473178,0.207982481,0.148722813,0.054514039,-0.019589001,-0.026142281,5
2209,0,0.874914224,8.216718949,25.36320683,31.89452827,35.95998297,42.38455192,52.41876774,56.51831859,58.75961562,76.64278082,95.04313337,90.25027701,98.07474587,96.35867394,86.07100391,78.34150307,21.2108496,0.32232561,0.050852858,0,-0.007749414,0.065131474,0.081594563,0.186597252,0.219542694,0.319315577,0.461112452,0.549432898,0.697778988,0.811890984,0.831510067,0.822550964,0.886527729,0.726118088,0.74614954,0.7813972,0.589572144,0.431827974,0.530755997,-0.014013276,-0.008845367,0.011917194,0.037368663,0.048638485,0.068560727,0.084122874,0.094110735,0.114356861,0.119845539,0.18450059,0.238187999,0.2570104,0.238541082,0.255254477,0.175628901,0.143819928,0.046053667,-0.01989376,-0.024611793,5
2210,0,0.821415475,7.802835839,24.51778511,30.49078635,34.21063862,41.55723121,52.52372055,57.43031433,60.12272909,78.27126275,95.32322291,91.65464325,98.64472469,96.07061159,84.46702412,77.25354254,18.75933547,0.370978532,0.069673634,0,-0.010262251,0.063097048,0.076050758,0.177970076,0.196341515,0.30927372,0.448232126,0.543767929,0.688414621,0.81759882,0.847708893,0.837140226,0.913760185,0.759846973,0.777598953,0.791515112,0.581006575,0.440341568,0.518589973,-0.01860917,-0.007551805,0.012324519,0.037158344,0.046503309,0.065847717,0.082429014,0.093370363,0.116516717,0.125697464,0.191756696,0.24646838,0.261482269,0.235236302,0.253074914,0.169919163,0.14052254,0.042840701,-0.019251369,-0.020897172,5
2218,0,0.517662877,9.356313107,24.11217802,30.42692939,34.36355896,41.28588415,52.12878255,58.61610997,62.73872212,75.78977235,92.65072533,90.2577136,98.70811173,97.76207018,91.63653571,87.36077071,34.10150892,0.91181538,0.045226745,0,-0.007629013,0.062845325,0.084203243,0.177510834,0.187467146,0.334102678,0.440363073,0.58048296,0.699490929,0.779951191,0.82805171,0.80028801,0.88285284,0.746060753,0.743249559,0.768534708,0.591990566,0.450596905,0.544792175,-0.016459383,-0.011851125,0.011980125,0.032540996,0.046054967,0.068668894,0.081058942,0.091673613,0.105209418,0.135406122,0.183925986,0.240166754,0.256399393,0.234524786,0.265202403,0.189174548,0.161685899,0.063499637,-0.012051051,-0.024473906,5
2223,0.001222344,0.151196464,9.519890261,24.36560323,29.93492672,34.24858647,43.66097212,56.94751147,60.59173967,67.33177219,80.36153036,86.59662798,90.26155805,98.80815071,98.49380316,94.47390133,95.34385692,18.44979627,0.421886907,0.096326779,0,0.000869846,0.077329731,0.068453884,0.176047325,0.181758595,0.310039043,0.452093363,0.522761059,0.681154203,0.799644041,0.798268461,0.807141352,0.839155197,0.725632381,0.718645763,0.725141287,0.466721869,0.454836798,0.570450258,-0.015164368,-0.007127902,0.000346478,0.035181355,0.043630697,0.061481569,0.081783503,0.102371059,0.12283498,0.139432296,0.191616416,0.228663892,0.243813336,0.231412157,0.246978223,0.189708501,0.170753464,0.053966995,-0.016239118,-0.029548714,5
2289,0,0.83913947,8.218432954,24.55567779,31.80928054,32.32546288,40.40743527,53.22138368,54.1259191,59.34019268,76.07508987,92.21565946,89.17904171,97.93563617,98.10943949,87.41051712,83.35193768,22.11761844,0.361247947,0.056089011,0,-0.006681442,0.07465291,0.082944965,0.186723709,0.201239634,0.302430153,0.418783855,0.539382076,0.672735453,0.771255875,0.841387844,0.838272905,0.884709883,0.730286789,0.750362015,0.791418123,0.584369421,0.441652203,0.553905582,-0.018819988,-0.009006768,0.013192942,0.033684697,0.051085334,0.059726492,0.082929917,0.103941709,0.110486828,0.128883466,0.188839689,0.225959972,0.250639558,0.216985211,0.241206333,0.177690908,0.151737347,0.05199175,-0.015092584,-0.020110654,5
2310,0,0.915535998,8.118811881,23.80088009,30.94447485,34.38993909,40.44080177,52.37144798,53.67577471,59.0981339,75.5068324,92.99270161,91.90996251,98.88444348,97.78990516,94.90341916,93.44924652,50.19837899,2.417924097,0.077007701,0,-0.002496624,0.065364885,0.083798122,0.186750603,0.212764072,0.321537781,0.463755703,0.553656864,0.698650694,0.826068068,0.839291906,0.845907211,0.907794237,0.752903795,0.797986698,0.836489773,0.655699492,0.473741245,0.579158401,-0.015022452,-0.010809091,0.012222343,0.030432882,0.047689307,0.068393052,0.084546834,0.094542108,0.111831903,0.133431181,0.189150319,0.2405148,0.272484273,0.246295273,0.265874326,0.204674765,0.194357246,0.094011471,-0.002817061,-0.022864837,5
2314,0,0.445054108,7.379904657,23.02654152,29.07985161,32.58955178,39.63818583,51.93101022,54.4474508,60.2762746,77.04639256,91.39988623,91.12708966,98.43787638,95.2941746,87.66288917,82.1972876,32.22222222,1.0028959,0.050602042,0,-0.005621815,0.062170506,0.083810043,0.186678886,0.180063391,0.322754622,0.464700985,0.559578991,0.701941633,0.833793974,0.838681316,0.838776445,0.892375803,0.752605009,0.755229044,0.789530039,0.597113895,0.455305862,0.540640926,-0.017913776,-0.012958094,0.006656713,0.030018771,0.042168211,0.060384247,0.078433238,0.094271824,0.117837727,0.138217524,0.194818527,0.245846003,0.264874905,0.233266085,0.254536271,0.178696588,0.151914969,0.067523673,-0.011213795,-0.023685846,5
2315,0,0.683290551,7.750647767,23.69453612,28.03817127,31.87228518,39.79617773,50.30515179,53.11946419,59.52097843,77.62503337,91.43937004,91.58316513,98.0019704,95.86716491,85.31547669,81.16673542,24.37998981,0.940825883,0.0440044,0,-0.005015326,0.064340639,0.089258671,0.194485378,0.175631571,0.325733471,0.464977646,0.548082399,0.701745987,0.837696218,0.849284458,0.836440897,0.906938553,0.777103949,0.770015907,0.802001238,0.594518661,0.461537504,0.540046263,-0.018706173,-0.012208122,0.005846622,0.033641338,0.04071033,0.057962902,0.082652748,0.089639403,0.113590933,0.13744466,0.195833772,0.24188669,0.26815176,0.226356313,0.255873859,0.170796826,0.147383079,0.056124557,-0.012368893,-0.023562666,5
2395,0,0.444809332,6.476693461,23.91037952,30.71726871,33.6404549,40.23976955,47.59518552,53.32572982,60.40610061,76.70083877,93.41136982,90.23763068,98.56322706,98.34441505,85.97516435,84.04838749,32.95566502,0.840725499,0.060356653,0,-0.004011869,0.069307375,0.087973881,0.185262728,0.190318155,0.329086304,0.406825066,0.555964804,0.694023466,0.796799707,0.842594147,0.858965302,0.898328352,0.741089821,0.761363268,0.813019562,0.61307354,0.463535738,0.570173073,-0.017099211,-0.014576047,0.006135697,0.033776026,0.050943691,0.066596545,0.084929094,0.093684621,0.115655817,0.144102037,0.197636396,0.23546949,0.251811355,0.217697963,0.241530612,0.172756791,0.151794225,0.067287423,-0.013729128,-0.024873,5
