FID,0eg20,12eg20,24eg20,30eg20,39eg20,46eg20,53eg20,60eg20,67eg20,73eg20,81eg20,88eg20,95eg20,102eg20,108eg20,116eg20,121eg20,129eg20,135eg20,144eg20,150eg20
20,-0.012748972,-0.013968668,-0.009821446,0.016834131,0.034978859,0.050224833,0.076790363,0.104307525,0.1291008,0.166406572,0.265747339,0.274725914,0.283619344,0.305306047,0.304263949,0.252374768,0.249253407,0.17042926,0.015500478,-0.028975029,0.001223217
21,-0.015828652,-0.010951771,-0.010832786,0.010537148,0.025233049,0.042333767,0.072004206,0.103126951,0.122751713,0.173277095,0.271475554,0.280919552,0.294557929,0.30721584,0.312396795,0.26128298,0.259257793,0.190527052,0.034437638,-0.029541561,0.000254462
22,-0.0128832,-0.01166317,-0.011208807,0.009995498,0.022848226,0.035640746,0.063228585,0.097608693,0.125141487,0.168383554,0.275045097,0.275364727,0.299898982,0.310063183,0.313805759,0.253789246,0.259499818,0.188849732,0.033926949,-0.032646328,-0.0007896
23,-0.012263346,-0.013197097,-0.008416401,0.010229405,0.019470347,0.031938139,0.060448471,0.094519056,0.119676895,0.170204192,0.286421478,0.277797788,0.297061354,0.30558753,0.310482442,0.254671514,0.258433759,0.181965366,0.023327684,-0.034366831,-0.00288231
24,-0.01838471,-0.012470286,-0.010632091,0.008312706,0.019743882,0.030393552,0.06547948,0.098763496,0.121807061,0.17371802,0.281927466,0.278890878,0.294053197,0.304615736,0.319008172,0.261358351,0.264736563,0.18668592,0.022136275,-0.034357917,-0.003799773
25,-0.015193798,-0.013148331,-0.011642559,0.010659683,0.013828182,0.02470088,0.058766309,0.090494789,0.116136439,0.167194083,0.266610116,0.273230821,0.290199131,0.302375168,0.321202129,0.270598739,0.2842215,0.19644177,0.027521167,-0.031049997,-0.002435568
26,-0.012741319,-0.017957691,-0.012292296,0.006958545,0.020991087,0.030933782,0.067035854,0.096531913,0.12823236,0.181849599,0.287353486,0.290687203,0.302394092,0.326056033,0.341943949,0.287730664,0.294563264,0.202778727,0.032584421,-0.035176136,-0.003234891
27,-0.015281677,-0.015502994,-0.013291815,0.00572343,0.02201671,0.038463544,0.067969911,0.100431181,0.12716502,0.171855703,0.279037237,0.274677455,0.29003951,0.308657557,0.327973813,0.270088375,0.269320577,0.183009356,0.027278224,-0.031534139,-0.005618831
28,-0.017855154,-0.014182041,-0.013028803,0.009893009,0.019136732,0.025217323,0.057090085,0.089521587,0.11981789,0.165963635,0.271151453,0.273745567,0.292926461,0.311932832,0.323961973,0.273077339,0.278115183,0.194862783,0.033636387,-0.031709228,-0.003042139
29,-0.014565136,-0.010860415,-0.012499128,0.00977002,0.017201325,0.028864101,0.06174672,0.090363063,0.119943976,0.167125538,0.266783416,0.275452793,0.295848101,0.325194001,0.324794441,0.262430102,0.26945743,0.196163863,0.02920969,-0.037306465,-0.004883215
30,-0.01417374,-0.012594318,-0.01596728,0.005946733,0.015348678,0.028027935,0.058602873,0.087291367,0.117960572,0.163979873,0.262783349,0.279461324,0.29206112,0.32154566,0.32355243,0.257813364,0.258606106,0.180496231,0.019889908,-0.0287982,-0.003775652
31,-0.01780206,-0.015706591,-0.014085093,0.005952823,0.019468002,0.033641007,0.062406108,0.088975258,0.1216648,0.17480959,0.278756648,0.285075396,0.298415214,0.329074293,0.310865343,0.244949073,0.223828211,0.109882869,-0.003642646,-0.032813683,-0.005115146
32,-0.01559005,-0.016076393,-0.011462978,0.009680833,0.016797669,0.033441376,0.060111053,0.090521954,0.119195648,0.165935695,0.267538518,0.279510379,0.2949512,0.305190802,0.274734527,0.165710166,0.1135787,0.017784642,-0.039783135,-0.035002626,-0.010453008
33,-0.014342097,-0.010756327,-0.007973569,0.027829172,0.032023624,0.051429857,0.077016667,0.102310628,0.123955913,0.166810542,0.261030763,0.275058717,0.293547183,0.302865624,0.281748831,0.16464746,0.107919864,0.01437996,-0.035262868,-0.034780722,-0.009548903
34,-0.0149691,-0.01858547,-0.003864667,0.026597798,0.04420067,0.058161296,0.086552352,0.107079424,0.129729271,0.16535458,0.255218178,0.272613704,0.286741048,0.282610774,0.254867107,0.12889123,0.087447494,0.007817402,-0.037076976,-0.028157551,-0.01080761
35,-0.015914101,-0.013745632,-0.002647533,0.034967616,0.043244235,0.066266023,0.084854282,0.109761558,0.125530496,0.152089208,0.229378045,0.25559774,0.275356591,0.285126925,0.253689736,0.131519228,0.086983263,0.004400124,-0.034738734,-0.031952903,-0.010634747
36,-0.019967536,-0.017824147,-0.005307179,0.034563158,0.045903843,0.068912461,0.08950831,0.108976804,0.125559568,0.158686876,0.234512031,0.261853755,0.29592219,0.317341447,0.282638431,0.209653571,0.166552603,0.040930893,-0.031508353,-0.032525048,-0.011163935
37,-0.016196609,-0.015794789,-0.00635121,0.033281576,0.048028346,0.0672414,0.083058894,0.107234575,0.130050108,0.16492866,0.239942566,0.26525864,0.292506307,0.323893189,0.312799603,0.238989726,0.217634648,0.101779602,-0.007097424,-0.035490222,-0.009479537
38,-0.018431474,-0.012258391,-0.003914904,0.039557956,0.048921637,0.067437515,0.090319052,0.109200232,0.124553971,0.163163856,0.236025214,0.266763449,0.290807635,0.331103832,0.318534672,0.265622169,0.247323349,0.145273134,0.002244805,-0.034329716,-0.010391911
39,-0.015457482,-0.01147553,-0.002790774,0.040158395,0.053966504,0.067640856,0.089631766,0.101944402,0.118925862,0.141723439,0.214162037,0.242337927,0.269842625,0.299524486,0.302884847,0.252943337,0.230051383,0.128478914,-0.004498507,-0.028932843,-0.010218906
40,-0.012302185,-0.010427756,0.001099542,0.041538503,0.053644512,0.071436696,0.08988294,0.099343978,0.119399823,0.144423023,0.216360614,0.251379907,0.276857078,0.306775421,0.311788142,0.259273529,0.231428593,0.124436297,-0.005339538,-0.024979105,-0.017019749
41,-0.012305312,-0.010216529,0.00133726,0.038064115,0.049169868,0.068262823,0.087283038,0.099843673,0.117041826,0.143658683,0.213852927,0.241509482,0.26553297,0.294997752,0.29408136,0.23994936,0.209722579,0.099206053,-0.014132832,-0.024554249,-0.008922407
