day,average_ch_20_5
0ch20,0
13ch20,0.014269981
25ch20,0.082394602
35ch20,0.154836636
41ch20,0.185905145
49ch20,0.227329825
55ch20,0.395062589
62ch20,0.459235163
69ch20,0.523407738
77ch20,0.653633735
84ch20,0.726012371
91ch20,0.798391007
97ch20,0.860429838
111ch20,0.81050052
116ch20,0.79
121ch20,0.81
124ch20,0.827011644
