FID,CC200309,CC200320,CC200401,CC200407,CC200416,CC200423,CC200430,CC200507,CC200514,CC200520,CC200528,CC200604,CC200611,CC200618,CC200624,CC200702,CC200707,CC200715,CC200721,CC200730
"5464",0,0.09289817870676,3.76311145966082,18.6975919814204,27.1909019035456,29.4028349336991,39.2932789484514,53.3384697517533,56.2631949331457,63.6635964222171,85.5839757559659,94.8396911541875,96.0940887411476,99.826138401077,99.9745827332034,98.5094275522337,96.683432403597,70.0106691053193,3.30110077236514,0.094497789971041
"5465",0,0.12712382349346,5.30130790856863,21.5296448712087,27.2608404792313,32.0671410326583,40.8569729913368,52.9878181950545,55.7117377271955,61.6303147015678,84.2116411081928,93.0117296210662,95.1047093553236,99.604952546129,99.8406268676539,96.6576294162501,93.6355896126011,60.5791800030483,2.10148268582106,0.124980948026216
"5466",0,0.173144337753391,5.6544701499853,21.8960524310319,29.4131241257678,31.7719859777473,40.5227013516465,52.3593147128055,54.7143827804606,58.6896793793345,79.407663191447,90.4158793593683,90.534518475695,99.2097748854506,99.915483944968,97.3561600621224,96.9306087696892,71.0507544581619,1.54412211883476,0.041559711526708
"5467",0,0.073951839628407,3.08670718557004,17.1005989487838,22.9167172219661,28.0064465121936,38.4673250988862,52.1469824552889,55.5194253682448,64.0030984858571,87.4801805836289,94.2926132581305,95.9553030806102,98.5824059353471,99.3458079664976,97.8069111116504,97.938119189148,77.7339901477832,3.34123943319346,0.045724737082762
"5468",0,0.039115022613372,1.32991076885466,9.46136259716507,13.870339962294,18.2703856119494,30.8269084131153,47.4859860710039,51.3213133053459,61.8129773302187,88.2915079475276,96.0307638440317,98.257214433685,99.8382121232244,99.8146683650369,97.1121143534937,96.3528553183725,75.6628562719098,6.49273246974396,0.109129705837525
"5469",0,0.03840877914952,2.72522301735124,14.4770614235635,21.8317825214377,25.2186340692088,38.5467980295566,52.6674998180009,55.2056983091466,64.8152406773096,89.3780031711066,96.0567223466486,97.6474352395728,99.8671890563783,99.929194756781,95.0229318838118,91.1396947029131,52.0213382106386,1.02708146278726,0.124371284865112
"5470",0,0.079452389683413,3.2031536486982,15.1659807956104,22.428353029678,26.8660265203475,37.6337693222354,51.8491106311728,54.216311970686,61.5264806910999,87.3509649922426,93.885263418433,96.3283810949659,99.386351592234,99.2967056849121,89.3166541289524,78.1752781588172,21.1540923639689,0.131971051511281,0.037799115988416
"5471",0,0.151806127114769,5.22068914812273,22.5418652976409,29.2823693973119,33.0110077236514,41.1178756006342,53.8511004877575,55.6158848795166,60.9669454497041,81.7116713668438,90.7587730683554,92.4489328901094,98.8083236240484,99.409956306508,83.3015846053047,70.7133734719942,15.9359853680841,0.310162379127896,0.057308337143728
"5472",0.000609663161103,0.161960640508495,5.70895978486738,23.411065386374,30.3235419327373,33.9716506630087,41.3920502802786,52.2106970382833,52.9471717343299,58.521441280062,76.8619188766609,88.1277157139226,90.4321788842673,99.1526954762249,99.7687882208767,91.710339986202,88.531898072128,32.3146627744329,0.464027245636441,0.045226744896712
"5473",0,0.31292018090698,6.33148710910695,23.8780673677793,30.964544182935,34.0649516511586,41.5461428328763,53.6351282486835,53.4021694290082,57.859987170332,75.013432015889,86.8806935146002,88.7086284145108,98.6163514419043,99.7101221239152,92.0921400664903,89.35960591133,35.334247828075,0.573297095294717,0.10303307422649
"5474",0.000609663161103,0.081694863587868,5.00550055005501,21.7008923114534,28.8966002572254,32.2834933699131,40.3959086607295,51.4790458395011,54.210245334757,57.2772055530676,74.5016400188814,86.5178781640698,88.4394110438336,97.5254906458838,99.5122216252437,83.978621174986,80.7645176040238,20.6425849718031,0.452472176610108,0.071940253010212
"5475",0,0.107566312186774,5.82786001372414,22.3380582228319,29.2799367512011,33.1527093596059,41.2485929727309,51.8709505205174,53.2092504064646,58.0269123266666,74.4749440081135,86.794366401246,89.885842957096,98.5366382425206,99.6583136632277,87.2005906488665,81.0138052666788,23.0556317634507,0.833181292951408,0.071940253010212
"5476",0,0.036579789666209,4.87329673561416,20.641975308642,28.4510125889436,31.9640298734949,40.8745662355311,50.9797617025407,51.3116066878594,55.6226625192142,71.4346231587611,83.6881664467871,85.5753480753481,96.8378921695875,99.4880236259547,83.2354582736781,83.2895457033388,26.7587258039933,0.655598126862495,0.096326779454351
"5477",0,0.121012101210121,5.89536731450923,21.8457401295685,28.8395738794923,32.9191753329684,40.9103593875124,53.6490815113203,53.454342497998,58.9051209740865,75.9183574908391,88.0180381408883,88.1399827345773,96.5993399816929,98.2885498856015,68.1556213448519,61.6381649138851,9.88446883097089,0.336698294061977,0.093509350935094
"5478",0,0.116733895611783,5.82847269875502,22.232586495961,28.9077418962476,33.2189989661254,39.5008532939567,52.2622485379407,52.3059283166299,58.0324614807373,76.0641967538519,88.1230795235709,90.0256539962422,98.4938031621078,99.4613960131202,89.0052165914235,85.1347077783859,30.7133734719942,1.11415191874962,0.114007011126353
"5479",0,0.067062947721384,6.18750763965285,22.6008230452675,30.7948671167062,34.2423411065386,41.1815380135407,53.9809264966391,53.8717270499163,60.5832657556795,78.7273089484392,91.1988602406293,93.6679364197792,99.2436286553934,99.7929356651715,89.5908660729452,85.1541689472724,29.5564700502972,0.605120720063249,0.123761621704009
"5480",0,0.073951839628407,5.0142142927164,21.7576588934614,28.1882868089765,31.3920817369093,39.1407216870101,50.0976728384576,50.8098958965275,56.6656001545436,74.2570133233524,86.5583251332637,88.3394758394758,97.5580896956818,98.964548964549,87.3577373874639,86.04420057918,35.8122237463801,1.29538405400474,0.098155768937662
"5481",0,0.102676934360103,5.55249969441389,22.3120645397873,28.7952874372103,33.3625971650663,40.3136006584282,51.879443810818,52.5898468781091,59.1447694895971,81.8908025804578,89.3840549012963,91.5948783270651,98.4690520317056,99.1023187583384,91.6456356621126,90.0723712217965,45.6509678402683,1.30978669708074,0.079865874104557
"5482",0,0.107910379515318,5.4290020586217,21.4802621551593,27.7230432402846,32.7239554825762,39.5198864325754,51.4280860976971,52.2216020772161,58.64550174895,84.2480184003525,88.7823047528207,90.9084872229835,98.4667822903117,99.6822841650428,92.1854008060905,92.351152466095,47.6134735558604,1.15246609499483,0.096326779454351
"5483",0,0.054394328321721,5.2016868353502,21.1022709952751,28.2977558839628,32.6157597927145,39.8389914824432,52.8670921400665,52.0207964279648,59.199235061304,88.3818883818884,90.2697873213844,92.1098906393024,99.1548394496797,99.9722304390609,95.3420369336795,93.0480109739369,41.761843945752,1.53013440369762,0.077618872998411
"5484",0,0.101813747904283,4.47260072541908,19.7812003422564,27.4645745910114,31.572097549109,38.6741973840666,51.2685335727632,52.1930888883496,59.0061848682538,90.3506812597722,89.5520045397195,92.892803457914,99.0689887748711,99.6005858074824,87.6701691378097,81.2655841391474,21.4156378600823,0.282098570700575,0.029263831732968
"5485",0,0.054394328321721,4.74034408391334,21.7607072092669,29.1495789754665,32.8236549306508,39.8324881083502,51.7659977189449,51.8503239583586,57.8270922251266,87.371249440215,87.4269253579598,90.4785132726309,97.0860071597172,98.2662134996287,75.9812880502536,68.2928905917412,18.4971803078799,0.363072432037949,0.049382716049383
"5486",0,0.192519251925193,7.29006233956729,23.1964639536656,30.6641123882503,36.0360031624399,42.3056856511927,54.3321847169308,54.3651129858026,60.664358940221,89.6353132225368,89.5296681537468,91.9824448079976,97.7850756720536,99.6100187746379,85.8974981193429,81.1101966163694,28.0835238530712,0.596606458675424,0.056089010821521
"5487",0,0.111568358481939,6.38295265170081,22.6258192348727,30.2730645259381,33.8856881572931,40.2618360066976,51.2661069183916,50.7067630857337,56.0686750341923,82.4206605533387,84.0850231513622,87.0399142457966,96.2380160909573,98.8005470764091,88.5613579557864,85.9916073709177,28.6998933089468,0.431186523140546,0.061575979271453
"5488",0,0.088008800880088,5.28602860286029,21.7699547732551,28.2238103326943,32.3560177583166,39.6001016690672,52.1585090635541,52.7936858453251,57.9241355103424,87.0553491243146,87.7270614371351,91.2091229044546,98.6495541778097,99.8364010649023,94.6006940231503,93.4981451073405,44.2407103326644,1.85578393069475,0.032392128101699
"5489",0,0.135680234690136,4.95294578962847,21.0534979423868,27.689594356261,31.9676878524615,39.7831784318959,51.3862263097867,51.5118056735179,56.6345118069256,82.2178220212618,85.4113215292576,89.3715023936154,97.6273064508359,99.0777163190956,91.6946054877089,89.9326322206981,43.3549763755525,1.20902511707109,0.071940253010212
"5490",0,0.185337600975461,6.77973352890845,23.4543514708124,29.7652496503071,33.391108678465,40.0440437768449,51.6690671863086,51.8727705112961,57.0127196662823,82.1110855593614,84.7744520158313,87.3681167798815,96.9368966911965,99.3009314876637,87.5209298939552,84.2078696101685,28.1188843164152,0.416590646475704,0.074988568815729
"5491",0,0.193130424153526,6.92640427409077,22.2827282728273,28.8797664659734,32.6724584666972,39.9882307262977,50.0715863039627,52.6092601130821,57.6197334818024,84.864381915979,85.5894089309323,89.0551708733527,97.7549742255625,99.5267546991685,87.2606712125992,81.0448215045916,23.6591982929431,0.298607310101563,0.006706294772138
"5492",0,0.173754000914495,6.90986177825703,23.5793324188386,29.3588779150186,33.9506172839506,40.2676075089868,50.8074692421558,52.0729694969545,57.8109681557957,83.904818387577,85.4632385344916,87.5072264778147,97.4452003936033,99.5762123526251,83.7299233850958,74.6111873190062,17.1156835848194,0.262078672134728,0.020118884316415
"5493",0,0.168683535020169,7.57547977019924,24.3542142966011,30.0760201909627,34.7617741197988,40.6410007522629,50.8523623480308,51.8721638477032,56.9915638881156,83.8972767719696,84.7828842914838,89.4656774263654,97.6860711504446,99.088004260418,91.7518017908709,88.1420665328711,32.5554031397653,0.92379736057897,0.060356652949246
"5494",0,0.143014301430143,6.49507401235173,23.1037951531779,29.5633400231101,32.628474122727,40.100463490985,48.0780897376787,52.5540537261278,58.4936033211895,84.3367602581362,86.599375788565,89.4963144963145,96.6137929373224,98.1635868613756,83.1250454997695,79.1260718846926,19.0488353706745,0.545520890348477,0.06967363403007
"5495",0,0.321902149062643,8.55396650776189,24.8294829482948,30.7578441602563,33.7442463039171,40.5459870977112,47.593365526948,51.9425368244801,58.2472577558573,82.957722612895,86.0374481064136,88.6682080785275,96.7443208229449,98.6513652361318,82.2290942980598,76.8785246151501,20.6785550983082,0.302256279267774,0.096326779454351
"5496",0,0.129568512406796,7.26215567101265,23.1190367322055,28.0259076810801,31.7721826917229,39.1844014656992,47.0231017496178,52.5498070809775,59.2609627092386,88.2927153197423,88.3162590779298,91.1879938906966,97.9753817989112,98.9506299851128,76.9625567230459,68.7356321839081,14.6093583295229,0.245092091533403,0.069501600365798
"5497",0,0.383204987165383,7.5638674978609,23.7116293247981,28.6620446390561,33.2408927811227,39.6867189206241,50.0412531243175,52.5419204542697,58.4760533036395,85.9539342297963,87.2592047039221,89.4963144963145,97.5937071760167,98.8403189877391,87.3716906501007,84.2504409171076,29.2693187014175,1.0034665207079,0.118884316415181
"5498",0,0.184118274653254,6.75914126066072,22.3878498961007,27.6032354193274,31.7921048620637,38.4824916887088,49.9417602950812,51.7314178941493,57.9937304075235,87.7180061455246,87.9015267221655,90.8300080290252,98.217918611039,99.5654857723823,93.7434783663763,91.2110958695321,37.5070873342478,0.947515660159338,0.067672610882487
"5499",0,0.274416330521941,6.80173572912847,22.2703856119494,27.8725521124026,30.3831417624521,38.3952021883056,48.6738333859108,51.2212138125167,56.6871618595757,83.4636472567507,85.7929582067513,89.0663390663391,98.0910054439466,99.7090232962469,93.7824524031421,93.8259441707718,43.0724320379493,1.04346137979568,0.0666177728884
"5500",0,0.292638317329675,6.90067150279384,22.144185337601,27.261448640759,30.3404968754763,37.6877623820039,49.5468222961004,52.1063359945643,59.7977511770615,87.3883935308997,87.7270614371351,90.2872942184981,97.3129931360889,98.6904055869573,81.8431653279623,79.8698534330718,24.1457094955037,0.916499422246549,0.040847431793934
"5501",0,0.251191785845251,7.35650916576806,22.2338058222832,27.9717813051146,30.8520343003102,38.494018296974,49.8713873183043,50.7073697493266,59.3483812157031,87.5888173185471,87.5308634522394,89.8127969381041,97.7176374235198,99.2580697740403,84.0847873037443,79.9628105471727,21.8113092516385,0.730401994769811,0.091449474165524
"5502",0.001222344456668,0.232856618995233,6.85246302408019,21.3256325632563,27.1440734659125,30.0131077579637,38.2687210273417,47.7007449828921,50.9057487442064,59.0364435192021,86.7557884799264,86.6615554576242,88.2587801705449,96.1370125989291,98.4144466903088,84.6080294356156,83.3759046402725,26.2459990855053,0.791826309067688,0.056089010821521
"5503",0,0.249352232891328,6.91108714831879,22.3106233805822,27.5795335970298,32.5706987775953,38.9550826275814,48.5185275061273,51.4330497089118,58.8766778421951,87.2549789011705,89.0292123707357,91.4089430059946,98.2112780638579,99.7398112877228,92.1358198451795,91.1652374870766,36.2286236854138,0.80746924215584,0.062185642432556
"5504",0,0.540887422075541,6.72961740618506,22.4039018442311,28.3908045977011,33.0669105319311,39.1176684704797,50.0436797786891,52.2495086024897,60.4362087120708,86.4834606213917,88.996138996139,91.8684058389941,98.5366382425206,99.6154519496043,91.1008517556844,88.2874171379919,41.5674439871971,1.20902511707109,0.106343967730106
"5505",0,0.246913580246914,6.10846975786688,20.0873976286518,25.84017515052,30.0012163230554,37.3797218624805,49.1543109514912,51.42869276129,60.6165502717227,89.14994959221,89.7608799328701,90.1194694806488,92.3156795392668,94.0099974582733,63.7029326684499,54.562414266118,6.6794380587484,0.246913580246914,0.039628105471727
"5506",0,0.318244170096022,6.93252658599193,21.4863587867703,26.6246451017982,29.6406035665295,37.1314518673105,48.3874881700599,49.7767477978112,55.961098467241,84.5196741748466,87.6721260013643,89.0085272438214,95.0287854699619,97.0654818320666,60.5741464243248,48.3305966064587,2.80262155159275,0.083926290822843,0.075598231976833
"5517",0.001222344456668,0.10905793549652,6.83901723505684,19.1669722527808,25.2504191434233,27.4718725293438,38.5809903051282,51.9728700041253,55.8009172753525,62.7544953772234,84.2758863355092,87.5809693991512,89.1614876908994,95.9694319988438,98.9547186294256,96.0099735494673,96.8647625518697,33.101661332114,0.55723212924859,0.064784256203398
"5518",0.001838055092638,0.091675834250092,5.35406188081085,17.2375015279306,21.5448864502362,23.914072168701,37.3207309082967,50.5362906161275,56.9948312261885,64.0818753184984,86.0005325522567,91.7367445622974,95.1869473279508,99.176999231065,99.732513525617,98.7065932199277,98.8788856803125,66.6124066453285,4.71269623532998,0.148757811309252
"5519",0.001225370061759,0.055141652779139,4.8973230656399,16.2070651509595,21.478433165676,25.2001989856585,37.1356985124609,51.0774345409983,57.4831954184766,65.1932830206994,87.1013422737561,92.6677237022065,95.1155032037385,99.4784891843715,99.7718944890679,98.7097711235642,98.468649273247,73.5486225141398,6.60813900320073,0.191434232586496
"5520",0,0.049627487501225,6.97332723670172,20.8790804823057,26.7572827342942,30.15082405887,39.2073443797582,52.0298963818583,56.0939357907253,62.7915421018869,80.1681671479531,86.6500854215842,89.2355103806228,97.4117165293636,99.375461444427,94.2603557475309,92.7964764978524,38.7349489407103,1.04847047375783,0.096936442615455
