day,average_eg_20_0
0eg20,-0.015614231
13eg20,-0.011308137
25eg20,-0.000861139
35eg20,0.027349856
41eg20,0.036156955
49eg20,0.047899754
55eg20,0.083291534
62eg20,0.098952704
69eg20,0.114613874
77eg20,0.18821574
84eg20,0.21215919
91eg20,0.236102639
97eg20,0.256625596
111eg20,0.237126448
116eg20,0.224
121eg20,0.215
124eg20,0.222336019
