day,average_ch_20_1
0ch20,0
13ch20,-0.01101638
25ch20,0.063431385
35ch20,0.127249777
41ch20,0.155422811
49ch20,0.192986857
55ch20,0.375829616
62ch20,0.440239865
69ch20,0.504650115
77ch20,0.637847186
84ch20,0.710716854
91ch20,0.783586521
97ch20,0.846046236
111ch20,0.774936501
116ch20,0.727
121ch20,0.724
124ch20,0.78855386
