FID,0ch20,12ch20,24ch20,30ch20,39ch20,46ch20,53ch20,60ch20,67ch20,73ch20,81ch20,88ch20,95ch20,102ch20,108ch20,116ch20,121ch20,129ch20,135ch20,144ch20,150ch20
3406,0,0.018482637,0.089748383,0.11135416,0.219650364,0.21016326,0.334428215,0.408284903,0.499031401,0.72876687,0.789217758,0.861755514,0.877355862,0.918733025,0.769560862,0.843058395,0.869637775,0.652479601,0.517210722,0.622219896,0.056789589
3407,0,0.018974304,0.089253712,0.119339037,0.220998001,0.213126564,0.339168739,0.41903882,0.500328732,0.724897051,0.77841301,0.838762283,0.841180325,0.891163635,0.741485596,0.805482054,0.829624939,0.628819847,0.502476978,0.602024126,0.057446814
3408,0,0.018017673,0.093443108,0.121050358,0.220478916,0.221682405,0.347103786,0.426345587,0.50236268,0.720628357,0.775774479,0.84200654,0.848366308,0.894371557,0.738762808,0.810308266,0.832516861,0.632702875,0.512116051,0.59838624,0.055139637
3409,0,0.018385077,0.090057468,0.118205547,0.217579794,0.200558662,0.33768611,0.412510014,0.490373611,0.718033457,0.776093435,0.843589258,0.856750917,0.902417374,0.746287394,0.815178251,0.83888669,0.640322256,0.5154212,0.605952692,0.060250664
3410,0,0.017444229,0.090876341,0.115592289,0.216748857,0.219524908,0.351759481,0.440621138,0.505528927,0.727839279,0.783906746,0.832604504,0.849570513,0.892604733,0.72876687,0.80718627,0.8302279,0.63610673,0.516638803,0.610570145,0.05558033
3411,0,0.018235779,0.091591883,0.117395973,0.221436596,0.212493706,0.351839304,0.436097002,0.501237869,0.719445372,0.774905157,0.837470436,0.85102787,0.900863361,0.744036961,0.813517332,0.830389404,0.627293634,0.520466471,0.59420681,0.054887819
3412,0,0.01929388,0.091729212,0.120288038,0.226890564,0.225899839,0.36401763,0.450635099,0.506279898,0.729365396,0.78581419,0.833155441,0.848481703,0.904766655,0.733753204,0.795832634,0.809384346,0.622741985,0.519639349,0.592376661,0.054227304
3413,0,0.018997288,0.091279221,0.117707539,0.226089716,0.222523832,0.36622467,0.460966682,0.510701513,0.726289892,0.786641359,0.832376003,0.850101614,0.905670404,0.731812096,0.815502644,0.836270475,0.659772921,0.54587841,0.593489647,0.045824051
3414,0,0.018611717,0.092082357,0.117263889,0.222370291,0.221892548,0.365498877,0.467969179,0.52074914,0.729760599,0.79316535,0.829371786,0.843485737,0.902521229,0.72608285,0.795033884,0.812569571,0.63949399,0.530811596,0.562095785,0.051779985
3415,0,0.01999855,0.09075079,0.119823647,0.225045395,0.226527882,0.368270969,0.440492916,0.509193659,0.720043516,0.787754583,0.838424349,0.850117016,0.900657368,0.720689774,0.761009455,0.766711855,0.60539465,0.519054413,0.551643658,0.058734417
