FID,0cc20,12cc20,24cc20,30cc20,39cc20,46cc20,53cc20,60cc20,67cc20,73cc20,81cc20,88cc20,95cc20,102cc20,108cc20,116cc20,121cc20,129cc20,135cc20,144cc20,0ch20,12ch20,24ch20,30ch20,39ch20,46ch20,53ch20,60ch20,67ch20,73ch20,81ch20,88ch20,95ch20,102ch20,108ch20,116ch20,121ch20,129ch20,135ch20,144ch20,0eg20,12eg20,24eg20,30eg20,39eg20,46eg20,53eg20,60eg20,67eg20,73eg20,81eg20,88eg20,95eg20,102eg20,108eg20,116eg20,121eg20,129eg20,135eg20,144eg20,labels
35,0,0.078230045,10.10623958,24.86084438,30.06988765,35.28173457,41.41985694,58.17236526,56.98391128,64.64607246,84.90516939,92.54990975,94.12251206,95.37017013,93.76573357,57.41700052,41.05656531,3.558603871,0.029263832,0.078036885,0,-0.029380751,0.067052746,0.047822046,0.17956605,0.257525587,0.387709093,0.486130762,0.57462616,0.737987518,0.874038792,0.905505323,0.934285688,0.901254129,0.871083689,0.752986002,0.664099789,0.482759619,0.518579388,0.477202988,-0.015914101,-0.013745632,-0.002647533,0.034967616,0.043244235,0.066266023,0.084854282,0.109761558,0.125530496,0.152089208,0.229378045,0.25559774,0.275356591,0.285126925,0.253689736,0.131519228,0.086983263,0.004400124,-0.034738734,-0.031952903,1
85,0,0.141180785,10.30842564,26.30301919,31.61770966,36.8795232,42.60902192,56.20980854,56.97784465,62.76298867,81.80912653,87.27610791,91.66188748,93.20213379,95.71113881,77.236162,61.00730423,9.786313062,0.307879896,0.128638927,0,-0.026987886,0.051646376,0.025130844,0.163629532,0.25086441,0.352688646,0.438009262,0.506613064,0.662903929,0.791638184,0.821679211,0.830026388,0.840550613,0.78264637,0.736104155,0.67103591,0.52823329,0.497726822,0.517580509,-0.019639838,-0.011927783,0.003565502,0.038693327,0.048392922,0.066923857,0.086265564,0.099243991,0.117613547,0.142170608,0.216633797,0.256887645,0.272735029,0.254386097,0.241393819,0.167178974,0.110086612,0.020863257,-0.026886601,-0.024160679,1
86,0,0.167047706,8.959293207,25.45587563,32.21444345,38.03295397,42.80557082,56.19342862,57.83991361,64.28935427,83.60223188,90.20821134,92.15626054,91.89128969,93.62567839,61.55819949,46.9348659,6.689224204,0.129538405,0.112178022,0,-0.026340437,0.054574156,0.029166603,0.170996952,0.25158596,0.364917231,0.46174345,0.539626789,0.700374126,0.825373554,0.861577129,0.872644472,0.876280832,0.816353321,0.753857708,0.676932955,0.531374216,0.516010618,0.516275597,-0.020306468,-0.012897739,-0.002917048,0.035743732,0.052491929,0.07275445,0.084913298,0.099360645,0.122384079,0.146593481,0.222841322,0.274057865,0.277456343,0.250797272,0.235592902,0.137396455,0.08894217,0.011033478,-0.034577135,-0.025225898,1
87,0,0.117345068,10.83913947,25.64609053,31.89259867,36.84911512,42.96970504,55.79849062,57.25084326,63.30352593,80.07413265,87.17408496,90.23718827,89.48186154,91.18686532,64.56174622,53.5326021,8.007925621,0.232891328,0.087791495,0,-0.026053286,0.051340675,0.026856804,0.165336609,0.240561104,0.353146648,0.457053709,0.521690416,0.685987949,0.811351061,0.851066494,0.851347685,0.851568365,0.789442492,0.713906622,0.644730663,0.524910069,0.501024437,0.499947548,-0.023440477,-0.01278615,0.001352386,0.036682617,0.048732895,0.069446407,0.087539181,0.097987086,0.12053398,0.145503446,0.213079914,0.258811295,0.273634046,0.235939741,0.232906073,0.139811605,0.098435305,0.01738671,-0.031885933,-0.029474225,1
88,0,0.227356069,12.59680423,26.61057766,33.22508058,37.45541023,43.6904661,55.44905239,57.14225048,62.62345604,78.6904841,87.20245821,90.56824204,91.41856498,92.76965149,61.73166056,47.29913368,6.407589856,0.128029264,0.069062462,0,-0.025584936,0.055672979,0.030483246,0.17490139,0.256946754,0.365497398,0.479943275,0.535276461,0.701125622,0.812115431,0.843006754,0.837799358,0.828101349,0.782164383,0.723596478,0.652189922,0.531877565,0.517902756,0.519184113,-0.021902828,-0.010075145,0.00283679,0.039410494,0.053705748,0.070767298,0.088623837,0.098991252,0.118822895,0.14194797,0.208653063,0.254256517,0.264541775,0.231941998,0.226092115,0.134439886,0.084729739,0.011749985,-0.032869522,-0.028320566,1
89,0,0.15424478,11.5095954,25.73157316,31.92809823,35.61089825,42.79349709,55.35259288,56.81950545,61.44019075,76.36496774,87.32767698,87.76448998,87.4259286,89.43488943,54.63502015,42.08356139,6.292333486,0.415180613,0.086572169,0,-0.02528944,0.057323551,0.030860233,0.169920063,0.257849693,0.363735628,0.465680695,0.526458216,0.686723566,0.79832058,0.849015474,0.843891096,0.842916155,0.800855875,0.71382575,0.621320772,0.523019886,0.508385611,0.491437769,-0.021096075,-0.00962341,0.000619385,0.037235636,0.05018634,0.062756293,0.087954968,0.098710291,0.120044723,0.139208853,0.198574811,0.251650423,0.25259921,0.216703296,0.210857958,0.121492051,0.074123353,0.013151445,-0.030228926,-0.026145725,1
90,0,0.135069062,10.74710813,24.41579028,30.46037828,35.70761241,41.66797787,56.7303259,57.12344391,61.79354025,77.41429166,86.9247626,88.64587169,88.80418589,90.72330279,56.19585527,37.86308816,5.067520195,0.079060999,0.095107453,0,-0.026466322,0.05880928,0.032594252,0.173306561,0.246288586,0.360154438,0.460270357,0.533744907,0.686757183,0.792743206,0.839033031,0.827385044,0.825054598,0.778742218,0.698323774,0.612391281,0.520302057,0.508236408,0.483485508,-0.019842332,-0.015731007,-0.00093663,0.0342637,0.046541352,0.066467598,0.083245799,0.103970684,0.118531793,0.136500165,0.198199302,0.243689209,0.247432217,0.217132047,0.223895013,0.125670388,0.070324697,0.01026901,-0.032649163,-0.027302481,1
91,0,0.108788657,12.21672167,23.85611949,30.37037037,35.73794559,41.79022282,54.39831105,55.38292606,61.11225703,76.25180039,85.57552415,88.6604519,89.34696729,90.29997163,58.39197748,44.53214104,6.602042372,0.195092212,0.103033074,0,-0.024629498,0.059745836,0.035920858,0.172235298,0.242419624,0.355775833,0.460537004,0.540824986,0.690384102,0.789586496,0.834230852,0.822837925,0.816317081,0.766353512,0.697831345,0.629829311,0.512621498,0.501717281,0.496487379,-0.02018767,-0.016308846,0.003919856,0.033469103,0.047576047,0.066410139,0.083165385,0.097904488,0.111254558,0.133220538,0.199492484,0.23795931,0.254407227,0.220671818,0.222117215,0.125062421,0.077203572,0.010575377,-0.029877719,-0.025799934,1
92,0,0.081694864,12.00556318,24.85576335,29.81998419,35.32080521,41.45374663,52.95991167,55.45087238,61.11893033,75.49758827,86.37601193,90.76360256,95.20222094,95.86303724,74.53954233,58.16700116,5.762536199,0.168876696,0.139003201,0,-0.02414341,0.058726311,0.032946253,0.17053628,0.238833523,0.346294165,0.452716017,0.531802273,0.670067739,0.771055222,0.826094723,0.819576263,0.818218613,0.775002527,0.720359612,0.66225667,0.510133076,0.497675896,0.500433922,-0.022513438,-0.013221345,0.003966721,0.036462974,0.044136167,0.065992489,0.08133474,0.093578681,0.112214185,0.137400195,0.196455792,0.240497559,0.265706509,0.239673495,0.244524986,0.16133289,0.102988563,0.014940352,-0.028205214,-0.024582524,1
93,0.000609663,0.214521452,10.95587337,26.03017833,32.28784974,36.02004417,43.44306334,53.31298988,56.28624815,61.60547453,74.1790828,84.63647257,86.87189864,89.93235775,92.85235649,64.83097518,51.91948361,9.555433923,0.15933832,0.114289207,0,-0.024013472,0.061933517,0.031685877,0.172830725,0.238786507,0.34742403,0.467995358,0.536399937,0.672930098,0.776228905,0.823609734,0.828483391,0.814343786,0.776603031,0.712531757,0.648483515,0.527440405,0.504489231,0.49767561,-0.021008488,-0.014924628,-0.001754549,0.037521381,0.050738398,0.066432282,0.086300321,0.095144048,0.116471514,0.134805113,0.19912529,0.236891434,0.253057718,0.220691934,0.225501657,0.133970544,0.090549678,0.019888267,-0.030499751,-0.027700257,1
