FID,CH200320,CH200401,CH200407,CH200416,CH200423,CH200430,CH200507,CH200514,CH200520,CH200528,CH200604,CH200611,CH200618,CH200624,CH200702,CH200707,CH200715,CH200721,CH200730,CH200805
"3869",-0.01360502243042,0.069453239440918,0.046770095825195,0.163455295562744,0.199851417541504,0.319423818588257,0.44701919555664,0.52135181427002,0.680407333374023,0.845348024368286,0.808223915100098,0.808339548110962,0.842783117294311,0.804032468795776,0.720181083679199,0.715369844436645,0.508052825927734,0.494792795181274,0.494299125671387,0.003185415267944
"3870",-0.014485168457031,0.068570280075073,0.044925689697266,0.153881025314331,0.182288599014282,0.305407762527466,0.418196249008179,0.480862760543823,0.64613356590271,0.818083095550537,0.774138784408569,0.786731195449829,0.798490333557129,0.769644832611084,0.702357196807861,0.694761800765991,0.48222017288208,0.481667613983154,0.484261798858643,0.004162883758545
"3871",-0.015763902664185,0.074759769439697,0.050022411346436,0.165051794052124,0.191975212097168,0.318079948425293,0.434034729003906,0.499828338623047,0.664527559280395,0.828335380554199,0.787519741058349,0.804765796661377,0.806052207946777,0.780584859848023,0.704382133483887,0.698435163497925,0.496388578414917,0.479654502868652,0.481684732437134,0.008786201477051
"3872",-0.01608829498291,0.081756591796875,0.048986434936523,0.167727422714233,0.208763551712036,0.333060312271118,0.458490371704102,0.517751598358154,0.692892503738403,0.864369535446167,0.835054063796997,0.915825939178467,0.87607831954956,0.855120038986206,0.794746828079224,0.786764764785767,0.598371601104736,0.506254148483276,0.52480034828186,0.020170545578003
"3873",-0.017245674133301,0.070212745666504,0.030265426635742,0.12641749382019,0.139943408966064,0.283150434494018,0.408414983749389,0.509821844100952,0.710238552093506,0.905297374725342,0.896441841125488,1.01539058685303,0.981011533737182,0.95508770942688,0.910535001754761,0.900225067138672,0.729196214675903,0.534608507156372,0.599683809280395,0.023992252349854
"3874",-0.018641471862793,0.065069484710693,0.018900871276855,0.103677082061768,0.101633548736572,0.251505994796753,0.381546354293823,0.479205417633057,0.705003881454468,0.904513025283813,0.905785703659058,1.03530135154724,1.0008159160614,0.984833192825317,0.955110168457031,0.938611030578613,0.773674058914185,0.536015796661377,0.638477563858032,0.017348289489746
"3875",-0.019257545471191,0.064062166213989,0.019543552398682,0.093168258666992,0.089154434204102,0.227443218231201,0.358981418609619,0.47430853843689,0.694752502441406,0.897724676132202,0.903579139709473,1.02782769203186,0.997365283966064,0.984897804260254,0.971418809890747,0.946184539794922,0.811023664474487,0.530705165863037,0.63387713432312,0.021284198760986
"3876",-0.017434072494507,0.070083618164062,0.022708129882812,0.099947071075439,0.097382307052612,0.242396926879883,0.369926595687866,0.488268089294434,0.706057596206665,0.9059250831604,0.925894260406494,1.04353442192078,1.03676357269287,1.01564040184021,1.00147948265076,0.980816698074341,0.833675956726074,0.55306248664856,0.664684009552002,0.023543453216553
"3877",-0.017185115814209,0.064560079574585,0.017138576507568,0.092984390258789,0.096618223190308,0.22885046005249,0.364865827560425,0.469899463653564,0.703464603424072,0.914662075042725,0.929181337356567,1.04800291061401,1.04196095466614,1.03740653991699,1.02987809181213,1.01103138923645,0.875238752365112,0.629721069335937,0.69139986038208,0.025291442871094
"3878",-0.016630172729492,0.065369701385498,0.013309669494629,0.092379665374756,0.096508598327637,0.228158950805664,0.354689931869507,0.481260824203491,0.715582990646362,0.937899398803711,0.954865550994873,1.05456223487854,1.10293712615967,1.11015167236328,1.13608455657959,1.11327500343323,0.962424278259277,0.789530038833618,0.710466718673706,0.028057289123535
