FID,0cc20,12cc20,24cc20,30cc20,39cc20,46cc20,53cc20,60cc20,67cc20,73cc20,81cc20,88cc20,95cc20,102cc20,108cc20,116cc20,121cc20,129cc20,135cc20,144cc20,0ch20,12ch20,24ch20,30ch20,39ch20,46ch20,53ch20,60ch20,67ch20,73ch20,81ch20,88ch20,95ch20,102ch20,108ch20,116ch20,121ch20,129ch20,135ch20,144ch20,0eg20,12eg20,24eg20,30eg20,39eg20,46eg20,53eg20,60eg20,67eg20,73eg20,81eg20,88eg20,95eg20,102eg20,108eg20,116eg20,121eg20,129eg20,135eg20,144eg20,labels
0,0,0.102676934,8.463631017,22.35817711,29.52867482,33.6216019,42.20912894,56.73881919,56.76065908,64.72008542,84.53601385,90.86864394,92.39778085,98.27829166,99.89954128,97.43805965,96.79074959,47.25560128,0.540161561,0.071507151,0,-0.013605022,0.069453239,0.046770096,0.163455296,0.199851418,0.319423819,0.447019196,0.521351814,0.680407333,0.845348024,0.808223915,0.808339548,0.842783117,0.804032469,0.720181084,0.715369844,0.508052826,0.494792795,0.494299126,-0.018107198,-0.012327276,0.002446456,0.026859419,0.04380529,0.06025885,0.085465126,0.107998729,0.121047854,0.149420366,0.212603658,0.254903555,0.258426696,0.281624436,0.294174224,0.224743605,0.201530293,0.089914694,-0.010160519,-0.021150624,2
3,0,0.044615573,8.241046327,23.03813715,28.3360431,33.01344037,39.93081757,55.99747628,55.45633235,63.29262536,83.17861076,90.98998485,92.95237751,95.87187455,97.42467507,85.7494722,80.63044481,36.9151044,0.188530074,0.067672611,0,-0.016088295,0.081756592,0.048986435,0.167727423,0.208763552,0.333060312,0.458490372,0.517751598,0.692892504,0.864369535,0.835054064,0.915825939,0.87607832,0.855120039,0.794746828,0.786764765,0.598371601,0.506254148,0.524800348,-0.019618012,-0.016066646,0.004842492,0.031226372,0.040084258,0.062436674,0.081288904,0.10384009,0.116002254,0.141341269,0.210522547,0.247627527,0.254455388,0.258994162,0.269607604,0.190833211,0.150421292,0.068098225,-0.017074134,-0.024856146,2
33,0,0.057308337,6.336388589,20.58527663,25.23444627,29.77868912,38.76738359,55.51760538,57.12344391,68.83326458,91.87736774,96.967081,98.02956855,97.8956411,97.92633822,69.3094955,48.78428511,9.105319311,0.116158852,0.058061362,0,-0.028562498,0.057684946,0.039574623,0.164319801,0.216819572,0.359867907,0.477504444,0.561204338,0.749663925,0.901442719,0.952377748,1.018174267,1.012770081,0.989545965,0.910862207,0.812993526,0.541590834,0.545551825,0.508179808,-0.014342097,-0.010756327,-0.007973569,0.027829172,0.032023624,0.051429857,0.077016667,0.102310628,0.123955913,0.166810542,0.261030763,0.275058717,0.293547183,0.302865624,0.281748831,0.16464746,0.107919864,0.01437996,-0.035262868,-0.034780722,2
34,0.000611172,0.055616673,9.09485393,22.03825938,29.49400961,32.87964483,41.37543843,57.64092795,58.97255454,69.68325244,90.60664417,95.43094371,96.36086621,94.48559522,93.11676208,54.11014584,39.79409838,4.137322873,0.081694864,0.160341411,0,-0.029366302,0.06859684,0.047425699,0.181966591,0.250410843,0.388582325,0.502891684,0.581698656,0.758842564,0.919857407,0.94877739,1.00169282,0.998936939,0.974919939,0.86533289,0.781675434,0.50675931,0.544772577,0.506821012,-0.0149691,-0.01858547,-0.003864667,0.026597798,0.04420067,0.058161296,0.086552352,0.107079424,0.129729271,0.16535458,0.255218178,0.272613704,0.286741048,0.282610774,0.254867107,0.12889123,0.087447494,0.007817402,-0.037076976,-0.028157551,2
36,0,0.07133059,9.515611215,24.34324036,30.33083987,35.2466095,41.73999346,57.79926715,56.65327962,65.97709238,86.58850944,93.93416199,96.36327504,97.91696777,98.11549122,85.77191876,73.80161771,18.27587258,0.157293096,0.125590611,0,-0.030101776,0.067970467,0.042890072,0.169428253,0.24817543,0.375161362,0.484030914,0.569072151,0.734396935,0.864486885,0.889060974,0.920291805,0.898112488,0.876663589,0.831294298,0.779727173,0.580517769,0.530714083,0.526085281,-0.019967536,-0.017824147,-0.005307179,0.034563158,0.045903843,0.068912461,0.08950831,0.108976804,0.125559568,0.158686876,0.234512031,0.261853755,0.29592219,0.317341447,0.282638431,0.209653571,0.166552603,0.040930893,-0.031508353,-0.032525048,2
37,0,0.110011001,8.876665444,24.28737318,30.83561394,35.03724914,41.13663596,56.95721808,57.83324031,67.43308501,87.81278486,94.60908306,95.80860736,97.5586313,98.32899685,93.28120071,88.33507244,49.89178479,2.421699203,0.099984758,0,-0.029482698,0.068735123,0.043807554,0.173940468,0.243450356,0.384088659,0.494324875,0.568861961,0.748686075,0.882535839,0.920359802,0.952916145,0.94633007,0.932242727,0.903016806,0.857571793,0.713097954,0.571221638,0.598967171,-0.016196609,-0.015794789,-0.00635121,0.033281576,0.048028346,0.0672414,0.083058894,0.107234575,0.130050108,0.16492866,0.239942566,0.26525864,0.292506307,0.323893189,0.312799603,0.238989726,0.217634648,0.101779602,-0.007097424,-0.035490222,2
38,0.000611172,0.108177484,9.501519459,26.18442311,31.50763243,35.94542454,42.4499997,57.49047538,56.77825232,66.85250795,86.15303615,94.2333063,95.84784695,98.57397504,99.59998063,98.36746827,96.46436458,70.65325408,3.640298735,0.083119423,0,-0.02918334,0.065348959,0.042982292,0.181936407,0.266874409,0.402750444,0.515342283,0.590189552,0.758292055,0.888171387,0.91057148,0.950903416,0.933355618,0.903786325,0.878791332,0.826612568,0.700503969,0.562166309,0.589670181,-0.018431474,-0.012258391,-0.003914904,0.039557956,0.048921637,0.067437515,0.090319052,0.109200232,0.124553971,0.163163856,0.236025214,0.266763449,0.290807635,0.331103832,0.318534672,0.265622169,0.247323349,0.145273134,0.002244805,-0.034329716,2
39,0,0.045724737,10.11123335,26.38926993,32.45468223,36.00133796,42.00505925,55.02499454,54.60639666,61.14244563,81.09255112,89.19160393,92.68861107,97.44664451,99.61062246,98.54758475,96.70521003,67.64702305,1.607681756,0.14083219,0,-0.030535698,0.062220907,0.040633726,0.181638622,0.258500385,0.392850065,0.483800125,0.532766581,0.712580681,0.831779814,0.865777493,0.887104416,0.867105007,0.84968195,0.815583181,0.768569708,0.624989462,0.535631609,0.541955566,-0.015457482,-0.01147553,-0.002790774,0.040158395,0.053966504,0.067640856,0.089631766,0.101944402,0.118925862,0.141723439,0.214162037,0.242337927,0.269842625,0.299524486,0.302884847,0.252943337,0.230051383,0.128478914,-0.004498507,-0.028932843,2
40,0,0.070284806,11.00321047,27.381127,33.01222405,36.83054673,41.79930042,54.63369652,54.26302507,61.17413672,80.54126675,90.77627997,94.05429553,98.05423395,99.87957057,99.10456454,96.60159338,64.38469745,1.539256827,0.160951075,0,-0.030073166,0.06193738,0.04266386,0.186579275,0.252776575,0.39912796,0.48663249,0.550845146,0.724926472,0.855533838,0.891807508,0.925686026,0.904878616,0.876429129,0.833802891,0.781741667,0.636406231,0.546360064,0.551006317,-0.012302185,-0.010427756,0.001099542,0.041538503,0.053644512,0.071436696,0.08988294,0.099343978,0.119399823,0.144423023,0.216360614,0.251379907,0.276857078,0.306775421,0.311788142,0.259273529,0.231428593,0.124436297,-0.005339538,-0.024979105,2
41,0,0.080475537,10.88619973,25.94177717,31.35072675,35.36398467,40.74156801,54.99041472,52.92897183,60.88293819,80.13269021,88.07357726,91.49262899,96.01098425,99.07817131,95.30199714,91.62864908,47.35863435,0.923030026,0.14266118,0,-0.03026185,0.062713242,0.043584585,0.190220499,0.267509127,0.415503407,0.484932041,0.549088717,0.716343737,0.837814331,0.877323246,0.921532822,0.912380075,0.877260399,0.850447178,0.795129108,0.636760712,0.535235691,0.543830347,-0.012305312,-0.010216529,0.00133726,0.038064115,0.049169868,0.068262823,0.087283038,0.099843673,0.117041826,0.143658683,0.213852927,0.241509482,0.26553297,0.294997752,0.29408136,0.23994936,0.209722579,0.099206053,-0.014132832,-0.024554249,2
