,0ch21,13ch21,25ch21,35ch21,41ch21,49ch21,55ch21,62ch21,69ch21,77ch21,84ch21,91ch21,97ch21,106ch21,111ch21,116ch21,124ch21,132ch21,134ch21
1848,0,0.006927391,0.030648669,0.034417596,0.07225889,0.179176137,0.27912727,0.399264127,0.502777934,0.58403945,0.725154936,0.762042642,0.834193051,0.845556021,0.843341112,0.781006873,0.876599073,0.248848096,0.46795997
1849,0,0.007537506,0.034279577,0.038065929,0.076537579,0.187449738,0.278893381,0.386241227,0.485061347,0.591402233,0.71594882,0.74068296,0.813019633,0.830825865,0.822578132,0.756440163,0.853112817,0.233874038,0.453842342
1850,0,0.007585607,0.038397759,0.04607093,0.091686711,0.217027143,0.317600846,0.455879122,0.538485587,0.667172492,0.774956286,0.789687991,0.854634821,0.874438107,0.868246138,0.797184289,0.881774962,0.279934257,0.504404545
1851,0,0.008274172,0.040423688,0.048256896,0.097682536,0.234966874,0.338766813,0.492582262,0.570432425,0.723372698,0.805526674,0.832072616,0.894090235,0.92761749,0.918652892,0.84558022,0.948150575,0.306724459,0.531201899
1852,0,0.008322601,0.040311128,0.049511649,0.094209179,0.219210058,0.328492373,0.481066257,0.566057205,0.729084134,0.781780362,0.835499465,0.880174637,0.907605827,0.903462231,0.828607023,0.931080937,0.29369843,0.523467541
1853,0,0.00856154,0.037660215,0.046587076,0.088562027,0.214072362,0.315263152,0.457732767,0.5479213,0.696666658,0.757863045,0.813499033,0.858557224,0.890009582,0.890651226,0.802849948,0.911508322,0.272630662,0.501602888
1854,0,0.007990981,0.038822211,0.046722021,0.09552972,0.230760664,0.337963253,0.491656452,0.578635454,0.718858719,0.788480401,0.838608503,0.888982177,0.915085912,0.922948778,0.826528788,0.930774868,0.299554706,0.528665006
1855,0,0.008219115,0.038173251,0.046322688,0.092455402,0.227816403,0.338906854,0.49079892,0.582987785,0.735750794,0.796080709,0.851271749,0.902478814,0.933110893,0.936274886,0.842839479,0.957232893,0.306705385,0.540929258
1856,0,0.008433711,0.040906686,0.048810609,0.098024018,0.234312713,0.334722281,0.48675251,0.574067831,0.73147285,0.749721646,0.782628179,0.820886135,0.810557783,0.842191458,0.660438955,0.746793389,0.291773498,0.518363476
1857,0,0.007969944,0.042224534,0.051322173,0.101441741,0.247899905,0.345074117,0.489011705,0.573316932,0.736992002,0.762014031,0.79643029,0.832790196,0.82502377,0.850070357,0.681005955,0.764108062,0.303327471,0.526437402
1858,0,0.008154279,0.040203191,0.04781843,0.102616698,0.243266463,0.336779684,0.478821993,0.572660923,0.750284553,0.794792056,0.833616197,0.891660273,0.90430212,0.919309914,0.825308919,0.932176471,0.300331354,0.536608934
1859,0,0.008952739,0.038604885,0.047076881,0.099764407,0.236869544,0.333423764,0.476885229,0.568035841,0.761435747,0.806299269,0.840023458,0.898463428,0.915692866,0.924993217,0.825647593,0.936723769,0.294011593,0.534629226
1860,0,0.008896711,0.03898954,0.046480462,0.095377207,0.218969658,0.315653175,0.457862258,0.556853056,0.750571549,0.77159512,0.804397821,0.863820076,0.878297269,0.891154289,0.792864084,0.9066872,0.279782504,0.521873534
1861,0,0.009306778,0.037198458,0.045795348,0.09136159,0.211214349,0.310479313,0.453435153,0.550473273,0.750724137,0.770415425,0.815466285,0.869837582,0.888595462,0.905348659,0.801312149,0.918139935,0.269048721,0.516239107
1862,0,0.009325888,0.040135752,0.04922159,0.096081413,0.214721635,0.31239751,0.453013569,0.547789037,0.738265514,0.745496511,0.797881365,0.84897536,0.870771348,0.884372175,0.768884063,0.889505506,0.278617322,0.513016701
1863,0,0.01007916,0.038174599,0.046989799,0.093033738,0.211116895,0.310315281,0.443611801,0.542121351,0.72818625,0.74182266,0.798925102,0.847458482,0.872082889,0.886700511,0.779150188,0.904167712,0.267320484,0.513751864
1864,0,0.009479744,0.036159988,0.042581286,0.081112742,0.191160828,0.28263548,0.411818594,0.517028034,0.722617507,0.709644139,0.764839709,0.813698471,0.818193436,0.849958003,0.745076358,0.858977079,0.250219882,0.498552233
1865,0,0.008141503,0.040194906,0.04725166,0.093415767,0.207011327,0.319369674,0.468415201,0.563029051,0.789777517,0.783509731,0.82499373,0.873851717,0.894951642,0.912594795,0.810663521,0.921711028,0.292956024,0.539032817
1866,0,0.006465404,0.037670169,0.041360598,0.080353759,0.192480713,0.291126281,0.415658921,0.526841223,0.752881944,0.761230052,0.800141454,0.859582245,0.865430951,0.88935858,0.79368639,0.897767723,0.257731646,0.514524341
1867,0,0.006819402,0.039183892,0.04493098,0.08533255,0.200248867,0.296483517,0.403861791,0.516592026,0.719716847,0.73051697,0.782081187,0.827058434,0.8367154,0.856123209,0.747590542,0.846172571,0.257926702,0.514342546
1868,0,0.007388655,0.039486907,0.046123046,0.084546261,0.20086351,0.290275425,0.394831508,0.513038754,0.70644182,0.728283405,0.781804144,0.839050472,0.832116306,0.851064563,0.750906408,0.853726029,0.256268591,0.510604084
1869,0,0.007015183,0.036498047,0.041082669,0.078189805,0.195537582,0.278127104,0.386726081,0.500610828,0.723759115,0.69585675,0.757603765,0.813687265,0.817163408,0.820618868,0.713247538,0.823828697,0.234114632,0.48950842
1870,0,0.006689102,0.036778279,0.038639996,0.085224755,0.189338073,0.26641959,0.361860335,0.48941946,0.789569557,0.669437289,0.737761676,0.797556996,0.792018831,0.805769086,0.702715456,0.818565488,0.236504838,0.483647853
1871,0,0.007055604,0.036845639,0.041256249,0.080342166,0.190874293,0.269738823,0.378111809,0.503812253,0.790126264,0.714248002,0.767703235,0.833673537,0.832327127,0.841697812,0.746877968,0.849033833,0.251615912,0.50532645
1872,0,0.008090276,0.031892739,0.034318402,0.071724921,0.169871777,0.235818177,0.313745737,0.437039196,0.699602783,0.6183725,0.658836424,0.734211802,0.734573662,0.747299731,0.634858549,0.737169325,0.208073154,0.45229885
1873,0,0.00625686,0.021325855,0.023346027,0.044362996,0.131588653,0.172103137,0.209978446,0.358179778,0.63869381,0.584005296,0.637679279,0.71199882,0.701711535,0.722433329,0.619841218,0.700035989,0.178033829,0.409855008
1874,0,0.006485009,0.021893585,0.01332105,0.036619026,0.136555195,0.173528209,0.17468214,0.375896722,0.638125956,0.628793895,0.672083259,0.767512798,0.740093112,0.764565527,0.661107838,0.733744621,0.211865276,0.442807972
