FID,0cc21,13cc21,25cc21,35cc21,41cc21,49cc21,55cc21,62cc21,69cc21,77cc21,84cc21,91cc21,97cc21,111cc21,116cc21,121cc21,124cc21,0ch21,13ch21,25ch21,35ch21,41ch21,49ch21,55ch21,62ch21,69ch21,77ch21,84ch21,91ch21,97ch21,106ch21,111ch21,116ch21,124ch21,0eg21,13eg21,25eg21,35eg21,41eg21,49eg21,55eg21,62eg21,69eg21,77eg21,84eg21,91eg21,97eg21,106eg21,111eg21,116eg21,124eg21,yield
485,0.00122537,0.679467699,15.86892242,20.55357415,29.93884831,46.34303186,61.89524508,78.41520323,90.8165261,98.21123354,98.52082773,99.6001075,99.93657619,99.98914365,99.98710024,99.53363054,89.27674861,0,0.006415405,0.031772312,0.030672982,0.073258974,0.15520367,0.227214381,0.336683542,0.426472366,0.677145422,0.641055703,0.663566649,0.724151492,0.747862577,0.746451378,0.669151306,0.761108577,-0.006141352,0.008259828,0.019087626,0.05883383,0.110294737,0.180040374,0.222132117,0.308997124,0.315123737,0.263252288,0.282455713,0.288147986,0.27826649,0.259492338,0.244619846,0.182747155,-0.009881526,30.91
486,0.001838055,1.095480835,16.30544124,20.9498552,30.04135498,46.84049601,63.68003137,80.49587877,89.87410456,98.77129804,98.56959177,99.57569913,99.86713811,99.96417405,99.98495028,99.43083449,90.23835203,0,0.006895527,0.032520518,0.028715521,0.070526905,0.152914837,0.233256727,0.344204217,0.439878076,0.715284586,0.657785654,0.674607635,0.740542412,0.760294676,0.759969115,0.684997201,0.774658561,-0.007399707,0.008560211,0.020096201,0.057848886,0.109542742,0.181344941,0.225286573,0.296976417,0.319387168,0.265975833,0.285064697,0.28708756,0.284291595,0.256773382,0.24065809,0.184583917,-0.007904846,31.45
487,0.001838055,0.851019508,14.46766899,19.63115379,28.6626528,44.62071392,60.86297519,77.65516242,87.94330133,98.35528084,98.05751142,99.26793873,99.68180597,99.88889978,99.95038827,99.46437846,92.69823407,0,0.006728273,0.028738555,0.025310053,0.062612049,0.138270468,0.211578757,0.312136322,0.40017429,0.649806261,0.598079741,0.635549247,0.689692676,0.72080338,0.722046673,0.643942356,0.733937502,-0.006552127,0.005661742,0.01872511,0.054242451,0.104632862,0.172226936,0.210544214,0.286007732,0.302320033,0.262490273,0.278656811,0.285552323,0.283211321,0.259051591,0.251160741,0.195431396,-0.004125657,34.36
488,0.012253701,0.474218214,15.04831581,19.841878,29.56514354,44.91737242,59.79989707,76.96031971,87.23261215,97.35017468,97.74361731,99.22923945,99.65923139,99.75138961,99.65278151,98.49809557,90.08396814,0,0.007191794,0.029894745,0.023824865,0.064251348,0.142860115,0.214600205,0.309042037,0.400533438,0.664190352,0.617670596,0.638775945,0.693099022,0.719175994,0.722729206,0.640544116,0.727984548,-0.009931982,0.007192303,0.018643025,0.057611629,0.105399415,0.168435127,0.20998542,0.279813558,0.296768427,0.263202906,0.281843305,0.286341697,0.28728506,0.260887712,0.251706183,0.18915756,-0.007041083,43.97
489,0.00612685,0.4870846,12.96021948,18.80688919,28.18950313,44.65226043,57.90612395,76.09203471,86.27587258,96.48911583,98.51494696,99.45462338,99.70213222,99.87515199,99.91587575,99.58015928,93.52168456,0,0.006387807,0.02693324,0.02336253,0.053491917,0.133560404,0.203484491,0.310648501,0.387929469,0.673968017,0.626922727,0.653435767,0.703605533,0.734424531,0.732354164,0.658874512,0.738253951,-0.009967147,0.002921403,0.017305939,0.052459471,0.101386242,0.160759598,0.203610599,0.276952654,0.293773025,0.263042063,0.285439014,0.283967555,0.289578766,0.255873144,0.254897654,0.190464884,-0.00131264,47.39
490,0.003063425,0.707651211,14.51839628,20.81816796,28.49480022,45.33657696,60.03333007,78.5727653,88.99984758,97.42972319,98.61757592,99.60440742,99.73447998,99.91966302,99.93335125,99.5049505,91.28830506,0,0.006715195,0.030967636,0.026545089,0.058663636,0.144211248,0.22015959,0.323009551,0.428652346,0.709869981,0.659699678,0.702230334,0.745785594,0.771879315,0.777666032,0.696884692,0.771958947,-0.006637791,0.003448448,0.022726459,0.054751042,0.103788793,0.166859418,0.213761359,0.289595991,0.312500566,0.271265358,0.285378665,0.285069942,0.285572559,0.255415261,0.246819794,0.183946326,-0.002250426,50.35
491,0.003063425,1.00112734,14.38073464,20.11278768,29.03613288,46.56507074,60.54027625,82.35666983,90.50876391,98.12416017,97.83284063,99.89572696,99.81999357,99.63184437,99.54420855,98.54354224,90.4594478,0,0.007000409,0.032629941,0.032394633,0.066065207,0.146603137,0.236419365,0.330610603,0.446618199,0.752943575,0.662980318,0.701719046,0.741766751,0.768975377,0.767092347,0.675415397,0.762904942,-0.008482454,0.002495836,0.019325478,0.057524748,0.109816976,0.171980202,0.227092862,0.300362408,0.327020675,0.265824616,0.289195657,0.28073144,0.27407524,0.254616588,0.250084132,0.185934633,-0.004402999,41.28
492,0,0.906161161,13.51318397,19.13945144,28.02043423,44.91069912,59.49539261,78.96176517,89.74147415,97.30610051,96.54237651,99.63677274,99.66030637,99.88709397,99.94499569,99.14084141,91.9310509,0,0.007269283,0.032712337,0.029211938,0.067305028,0.13746506,0.213376537,0.303303778,0.414573908,0.718897879,0.637574136,0.679078102,0.721972466,0.754886448,0.751207352,0.656724989,0.737846375,-0.006397019,0.003894445,0.019917706,0.055636644,0.106632896,0.171901956,0.215015471,0.299766213,0.33089751,0.258329004,0.295256197,0.275937319,0.273237258,0.255813658,0.251018345,0.185381129,-0.004925185,47.82
493,0,1.049529458,16.05732796,21.24066453,29.93371039,47.93491713,63.53624251,85.09197158,93.23517756,99.56678312,99.57430798,99.99140016,99.95071253,100,99.99677506,99.8030644,93.7619027,0,0.007119806,0.035272572,0.029935559,0.062609904,0.152400687,0.239875123,0.351204008,0.476202458,0.78536582,0.701857507,0.733128548,0.779221535,0.805730343,0.803141057,0.706800044,0.794047594,-0.005716114,0.008267523,0.021999769,0.058681145,0.113722861,0.184764251,0.237684548,0.318763733,0.366488814,0.30011791,0.327388048,0.296251029,0.290897876,0.254267573,0.260974586,0.193918273,-0.003014669,48.57
494,0.001838055,0.514042741,15.42203932,20.24447493,28.8875003,48.26309068,63.16782668,86.86922348,93.45587563,99.98710024,99.77210427,99.98821386,99.99032518,99.99565746,99.99677506,99.80955679,96.84686634,0,0.006198545,0.031740699,0.026660824,0.063260645,0.154220864,0.238489062,0.360834569,0.475545108,0.795147479,0.730142295,0.774234831,0.817725778,0.845904469,0.855312049,0.757127643,0.848390043,-0.00656389,0.008006242,0.01941824,0.054347444,0.117123336,0.188574731,0.239955977,0.326039135,0.363108456,0.324420869,0.343345821,0.306833923,0.296857029,0.265955687,0.27044031,0.218904704,-0.00162766,48.97
495,0.005514165,0.577761984,16.46578266,22.14540466,30.51572098,49.87927395,65.50705813,89.93657787,94.29959663,100,99.90999679,100,99.99247514,100,99.99892148,99.88205506,97.14876212,0,0.005049786,0.031350724,0.025283927,0.066592596,0.160052881,0.24961105,0.372417778,0.488920659,0.803318977,0.761349618,0.794658899,0.841506064,0.880008936,0.879365623,0.785534441,0.876262903,-0.006266431,0.008306105,0.021639721,0.060133956,0.12189018,0.195499346,0.251066178,0.331031531,0.366676122,0.344125777,0.355187207,0.32010138,0.305184036,0.278102428,0.289984405,0.225112185,-0.003342574,50.18
