,0cc21,13cc21,25cc21,35cc21,41cc21,49cc21,55cc21,62cc21,69cc21,77cc21,84cc21,91cc21,97cc21,111cc21,116cc21,121cc21,124cc21,132cc21,134cc21
3340,0,0.015929811,8.402395795,13.72351776,21.83386679,42.83166299,59.95919518,73.08948439,91.15073922,98.85192153,99.52485891,100,99.99785707,99.98160492,99.99785004,99.85716759,98.61495845,1.180085114,0.93263589
3341,0,0.023894716,7.376924249,15.18792867,21.82509274,43.64580553,61.37819337,73.19271472,93.424398,99.52378393,99.5767706,99.96667562,99.8720774,99.88421918,99.92342537,99.72948407,98.71667244,1.754385965,0.93263589
3342,0,0.007964905,7.764060357,15.53305358,22.31915866,43.99827708,62.19488285,74.09919996,92.66575217,98.57780167,98.61220102,99.22816447,99.573233,99.48060942,99.62053212,98.77618594,96.10781683,1.146946378,0.605841972
3343,0,0.028183511,9.938882777,15.78295991,23.24645633,41.81246815,60.80613617,74.03968632,92.64197531,99.24643913,99.10131685,99.42676524,99.57569913,99.609375,99.69255576,99.32587431,94.42515099,1.200712176,0.354380418
3344,0,0.022669346,8.16582838,14.08017071,21.68217479,40.97951904,62.71382708,77.72337895,95.80551745,99.96345069,99.92392585,99.98495028,99.9785004,99.9750304,99.98382226,99.91127078,95.18589855,1.295080003,0.441383993
3345,0,0.072909519,9.242493522,14.71787837,22.66788599,41.2834575,60.38137147,77.27030658,91.59271483,98.34775598,97.88336469,99.59498554,99.7771349,99.8063106,99.9838753,99.74679709,96.42053324,1.144259163,0.440322974
3346,0,0.057592393,9.504950495,14.70690444,22.0057918,41.89315441,61.37511028,77.60988596,93.26017375,97.82316582,98.42730449,99.66675625,99.81725343,99.83119806,99.92881795,99.6807912,94.02592625,0.766458225,0.468970493
3347,0,0.20831291,13.67657369,20.02128565,29.31521012,50.67096993,69.92115878,89.29181583,98.60265203,99.97957538,99.99892853,99.99892502,100,99.99783587,99.99785004,99.9642919,94.09085007,0.895337058,0.401065263
3348,0.00122537,0.1923831,13.18640451,19.89330895,28.40847432,50.93850858,70.31663562,89.78952082,98.10719961,99.65923139,99.76242945,100,99.99677506,99.98914365,99.99892502,99.94373269,94.8242019,0.686121244,0.58143853
3349,0,0.39947064,12.47096932,18.45206523,26.63313519,49.96229399,69.27759443,88.12549427,97.91860997,99.51948401,99.62483203,99.8559527,99.85487772,99.87664474,99.92018982,99.81172091,92.21455159,0.446579311,0.545363877
3350,0,0.088226644,11.38728852,18.1978357,26.25737396,49.54500231,66.6092785,81.88639835,97.01630849,99.25826391,99.3539055,99.7495297,99.83499411,99.94156856,99.94517603,99.75437154,95.72584834,0.661151641,0.602658914
3351,0,0.048282606,10.73372961,17.75953293,25.43514708,47.42289306,64.74880821,82.25693226,97.18640451,99.36361193,99.44316044,99.69677488,99.81402849,99.91559903,99.90862671,99.82195588,94.21853359,0.744745527,0.547485915
3352,0,0.063719243,11.99853319,18.18137479,25.32845603,47.2888204,62.35479365,77.45956812,92.80405818,96.8212846,97.12980382,97.84789035,98.13350477,98.76780441,98.90207075,98.15291724,94.22886109,0.741757344,0.588865664
3353,0,0.014704441,7.148910227,13.73449169,21.20963328,43.1180082,59.34237868,73.149853,92.63283036,97.94463854,98.29208186,98.53851923,98.95619457,98.98718837,98.91104542,98.58790686,95.11015409,0.899991315,0.602658914
3354,0,0.00857759,7.011736016,14.81298583,22.42889803,44.73476668,60.79367219,74.71647644,92.57613169,97.55119592,98.39720505,98.79064768,99.23282974,99.49143006,99.38740293,98.64092798,95.60032895,0.6535307,0.552791011
3355,0,0.587564945,15.9265371,22.50440917,29.60707209,51.50452571,67.92995966,80.10069484,96.29996333,98.83794679,99.38618651,99.76780435,99.86347756,99.98268698,99.8290782,99.27068906,97.55020776,0.606869898,0.571889357
3356,0,0.436231742,15.4141137,22.44048163,29.70808247,48.70841321,65.08185472,73.90868644,93.02057613,98.12093523,98.78067074,99.73749062,99.99571413,100,99.9731255,99.69810422,96.9345135,0.388657287,0.493373935
3357,0,0.510979316,15.09038256,21.51623228,28.231672,49.15309762,64.27209388,74.10246968,91.69943606,98.20048374,98.64445042,99.73662994,99.9677506,99.99350762,99.98058671,99.61262119,97.20987921,0.668779749,0.430773801
3358,0,0.308180571,14.57645765,20.69318701,27.96037189,47.92217719,62.25982747,72.26552571,90.48864502,97.08895458,97.19430261,99.05831766,99.71405536,99.63426247,99.53668369,99.06617902,96.32963989,0.439682126,0.493373935
3359,0,0.526909127,15.43423259,20.96880131,28.75874232,48.39445357,63.5014057,77.74994114,92.07981909,98.56167697,98.53851923,99.32069002,99.99892853,99.99891794,99.98817522,99.20143698,94.28237535,0.385583113,0.342709206
3360,0.00122537,0.69417214,17.01874714,24.32982777,32.65843621,53.03999126,67.88366337,85.86167137,96.13656455,99.6162322,99.733405,99.95377587,99.99892502,100,99.99676445,99.65049342,95.20753982,0.340889352,0.30657214
3361,0,0.647608078,16.30240802,23.53421734,32.97850937,54.91882841,70.59711527,86.19721378,96.1274196,99.77102929,99.71835528,100,99.98499946,99.99026143,99.9946251,99.63859072,92.3781277,0.347403161,0.287536207
3362,0.00367611,1.208827566,19.073312,27.07879896,35.47041294,58.48783033,75.19299578,88.68933709,98.70187019,99.99785004,99.97857066,99.99892853,100,99.99783587,100,99.64075485,92.80752251,0.409545905,0.279048054
3363,0,1.051980198,19.81893004,26.23487198,36.97789971,59.75333058,76.17711771,88.73038775,98.78737997,99.90647675,99.92905133,99.98172534,99.99464267,99.99891794,99.99677506,99.83985457,90.96260388,0.196499913,0.286475188
3364,0,1.423267327,19.60762743,26.49291267,34.82700808,58.27974472,74.74696108,87.99699834,98.81847279,99.95377587,99.95377587,100,99.9946251,100,99.99892502,99.84526489,96.2279259,0.297463957,0.465787435
3365,0,0.233432997,12.36153025,20.92303003,27.1118409,51.3031134,66.19361936,78.89815212,97.82472184,99.94302607,99.99464267,100,100,100,100,99.92400556,96.03964681,0.41717043,0.435017878
3366,0,0.162361533,12.48955952,20.72062186,26.97698522,49.91628042,66.22512499,81.08530688,97.67999022,99.98172534,99.96130073,100,100,100,99.9892502,99.57799515,93.26682485,0.549331249,0.498679031
3367,0,0.148269777,10.63867498,17.59654564,24.06401463,47.77233129,64.94132747,79.2413551,97.17055327,99.65493147,99.73534769,99.99249973,100,99.99242555,100,99.35400796,94.77255021,0.485791153,0.481702724
3368,0,0.185030879,9.409541228,14.88675507,22.71361674,46.62209711,62.08888834,75.47404452,93.96555403,96.91050793,97.38349906,98.11448535,98.18279224,98.64525623,98.63675582,97.9126991,89.11335699,0.474422442,0.524143492
