FID,0eg21,13eg21,25eg21,35eg21,41eg21,49eg21,55eg21,62eg21,69eg21,77eg21,84eg21,91eg21,97eg21,106eg21,111eg21,116eg21,124eg21
17,-0.012168855,-0.004853476,0.015194544,0.027590595,0.065390311,0.112761356,0.147471383,0.206093878,0.181226328,0.165076658,0.175490692,0.198889926,0.204253986,0.22311233,0.233614981,0.245612919,0.021515826
18,-0.016226381,-0.002749186,0.013345384,0.030798562,0.055044986,0.105267592,0.129143417,0.185801968,0.161414519,0.162285954,0.165750548,0.198283836,0.191213593,0.213927835,0.232097939,0.242338762,0.023148151
19,-0.014955733,-0.00715919,0.009695714,0.016390273,0.043126713,0.078877725,0.098899066,0.146801099,0.121802695,0.124426067,0.134632334,0.162545621,0.161515996,0.19971025,0.230942488,0.230314508,0.033988461
20,-0.011950146,-0.008857103,0.004646059,0.015970094,0.04198318,0.07168103,0.102347925,0.145964622,0.13140969,0.135881931,0.138552964,0.162971452,0.174496189,0.194037825,0.222130179,0.247864172,0.023046274
21,-0.012340343,-0.006516234,0.009357851,0.013693508,0.039327379,0.071593553,0.099383302,0.149700597,0.130961195,0.126745775,0.138332337,0.157157227,0.1774946,0.186974302,0.213227808,0.227168038,0.030670006
22,-0.011601096,-0.004998381,0.017147288,0.03573228,0.080679409,0.13576135,0.168663651,0.232184753,0.210570693,0.19372189,0.200836137,0.221736729,0.230163306,0.22339116,0.236116588,0.257133693,0.020875378
23,-0.008339454,-0.005350644,0.017249284,0.037216596,0.081029221,0.137861103,0.171061322,0.229311466,0.203256533,0.185133457,0.186412916,0.209828958,0.224559397,0.218202338,0.227120623,0.266178101,0.023715114
24,-0.01122801,-0.006026858,0.014345703,0.031933978,0.068569846,0.114433713,0.155288696,0.208205938,0.200438872,0.182945088,0.184509382,0.216431603,0.238932341,0.235105604,0.24132967,0.2749345,0.024961023
25,-0.008955413,-0.002183759,0.015753031,0.037104458,0.07230711,0.12101122,0.150616243,0.206034586,0.197317272,0.186559275,0.194956347,0.225609198,0.252745479,0.245633081,0.242759287,0.282193184,0.029449675
26,-0.004990558,-0.003067034,0.013922034,0.034948349,0.075927205,0.127134725,0.166699886,0.226508066,0.244887084,0.226731956,0.249232665,0.276016414,0.288206041,0.290964276,0.294620216,0.328656673,0.050666634
27,-0.00588055,-0.009223627,0.010365358,0.024063187,0.06400466,0.115843281,0.161373809,0.233819231,0.265342444,0.24043645,0.27252686,0.269144624,0.262817532,0.301651597,0.30742234,0.377276123,0.061129414
28,-0.006296869,-0.00808196,0.003994084,0.019962853,0.045472048,0.087343112,0.127251893,0.194451168,0.230805933,0.204942986,0.23884283,0.242200956,0.242918074,0.282229364,0.286856443,0.346747786,0.051042501
29,-0.006087832,-0.010413333,-0.000759903,0.0078451,0.019491788,0.049858782,0.077411793,0.136102021,0.175448194,0.147437379,0.17657885,0.183878586,0.184511065,0.208607614,0.222604662,0.267502517,0.049884778
30,-0.009222656,-0.012479388,0.000897947,0.005311015,0.015065505,0.039371636,0.057239808,0.109436452,0.138206631,0.125951424,0.133590415,0.145647556,0.156908378,0.164927006,0.168662369,0.195337728,0.032893896
31,-0.009479785,-0.013097365,-0.005670089,-0.004000387,-0.005263517,0.009279985,0.017469,0.044048876,0.070537999,0.061718352,0.057968952,0.07830853,0.107682645,0.136192724,0.156333327,0.193967968,0.066458873
32,-0.01433778,-0.02012823,-0.005600656,-0.005358383,-0.011803957,-0.003156356,0.003763341,0.014210842,0.039325062,0.030983396,0.02192387,0.0364643,0.049910914,0.070725255,0.084951274,0.121534295,0.047936425
33,-0.019319637,-0.019525096,-0.005685615,0.007831434,-0.007432604,-0.002268228,-0.001847521,0.007903256,0.019774485,0.016578764,0.020474279,0.041076954,0.06642174,0.088152029,0.092933543,0.122995608,0.047355503
34,-0.006267898,-0.015422814,-0.002013054,0.002069686,0.019189157,0.069921769,0.074320681,0.097682104,0.118044533,0.053833976,0.036393583,0.033601817,0.055497605,0.058578964,0.061342616,0.137633324,0.091572575
35,-0.012843219,-0.006136311,0.009730836,0.026711745,0.044747338,0.104302853,0.1383816,0.21574299,0.240730673,0.235322803,0.225371823,0.236355722,0.240417004,0.255310357,0.269950986,0.286344171,0.0459782
36,-0.01119554,-0.00552142,0.011760938,0.026516756,0.053262107,0.100749932,0.133633241,0.215975598,0.216574907,0.177715555,0.195751101,0.191983312,0.207507536,0.236834496,0.246826142,0.271447599,0.032162279
37,-0.010730256,-0.001191252,0.02713652,0.052058656,0.102915086,0.174254909,0.223728344,0.331862897,0.335278243,0.255854517,0.268676758,0.267639965,0.246446073,0.265526801,0.269764274,0.265866369,0.018959729
38,-0.011153414,0.002218632,0.025895856,0.050878927,0.103132606,0.169548333,0.225914091,0.315799952,0.334712148,0.271023929,0.269928813,0.274709016,0.25965181,0.276626945,0.268969297,0.269365519,0.01625968
39,-0.012110074,0.003255919,0.018907351,0.046042461,0.091165997,0.147185519,0.200960532,0.303935796,0.310034931,0.263605177,0.253664434,0.259826332,0.258112401,0.266693711,0.265277088,0.269551545,0.020541091
40,-0.016498478,-0.001686668,0.009844751,0.026945464,0.051217664,0.092631817,0.121203877,0.184789866,0.18238996,0.179127917,0.172991291,0.198012456,0.166343078,0.228123426,0.222261116,0.234036371,0.029596236
41,-0.011001568,0.000630118,0.017471673,0.03012751,0.060075209,0.105123073,0.134526521,0.202175722,0.189279944,0.190101698,0.194644928,0.218548536,0.126552865,0.235040069,0.237521663,0.236059219,0.025110986
42,-0.010504378,-0.006979523,0.018054247,0.031786114,0.063357115,0.124449544,0.16283749,0.246569648,0.247381374,0.228370205,0.236072063,0.248618439,0.253085554,0.260723442,0.266721785,0.25216946,0.020869741
43,-0.009150505,-0.000763985,0.018618453,0.041186597,0.089909218,0.163101345,0.201354384,0.296246976,0.278679252,0.246485204,0.262748033,0.256622076,0.259227246,0.273482293,0.271137208,0.252133697,0.017286394
44,-0.012049411,0.003821004,0.028469402,0.053647634,0.104842037,0.181990474,0.229058281,0.32059294,0.293750316,0.24323909,0.265094608,0.247525319,0.256429225,0.263108402,0.256328672,0.226531878,0.00775003
45,-0.0105512,0.008328874,0.030305509,0.056299064,0.107304484,0.190501973,0.249958009,0.340866059,0.319221586,0.231991798,0.259218812,0.244542137,0.261318266,0.272132576,0.254790992,0.240979329,0.010689058
46,-0.00985569,0.003529196,0.027799208,0.057710443,0.112772942,0.188214153,0.248275191,0.329904675,0.304794431,0.239436597,0.260610729,0.255430579,0.271884799,0.279675633,0.267337322,0.25383532,0.012868361
47,-0.012236183,0.003469123,0.028481008,0.064758278,0.116933949,0.196366325,0.245290384,0.328872472,0.296165943,0.255520374,0.275105417,0.275096118,0.280084252,0.280021727,0.257224947,0.232521757,-0.003720578
48,-0.012921519,0.00794785,0.03735888,0.081345968,0.132099569,0.214233294,0.25593999,0.352493733,0.336067349,0.288415939,0.305360317,0.298702151,0.295885116,0.289524645,0.274695277,0.247091487,0.003280956
49,-0.012356917,0.007760192,0.035200369,0.070305377,0.120100752,0.193269894,0.236066118,0.324590832,0.309624732,0.263938963,0.288294375,0.280213773,0.246840999,0.277090192,0.265674025,0.253977031,0.010573742
50,-0.012599344,0.006815907,0.035891674,0.060667876,0.120688654,0.193150818,0.231052265,0.313138187,0.294717073,0.257991999,0.27404201,0.263363302,0.250787616,0.271662116,0.262824804,0.276841998,0.015405182
51,-0.014289163,0.0056106,0.029660361,0.057559811,0.11063464,0.166991666,0.198629931,0.277070999,0.268239021,0.217737302,0.230021268,0.23316288,0.237065479,0.252282798,0.237247333,0.272864163,0.016292749
52,-0.012668153,0.00095794,0.025530638,0.04540721,0.09377113,0.142656058,0.172262251,0.242206737,0.238531843,0.19145827,0.194237366,0.210656151,0.227712274,0.240302399,0.220503062,0.258499265,0.017688556
53,-0.011875958,-0.001860289,0.025432006,0.052300487,0.101372391,0.157697037,0.187332556,0.261672676,0.245639548,0.199334651,0.199889511,0.215971172,0.236136913,0.242167279,0.227706447,0.247903794,0.017449353
