,0cc21,13cc21,25cc21,35cc21,41cc21,49cc21,55cc21,62cc21,69cc21,77cc21,84cc21,91cc21,97cc21,111cc21,116cc21,121cc21,124cc21,0ch21,13ch21,25ch21,35ch21,41ch21,49ch21,55ch21,62ch21,69ch21,77ch21,84ch21,91ch21,97ch21,106ch21,111ch21,116ch21,124ch21,0eg21,13eg21,25eg21,35eg21,41eg21,49eg21,55eg21,62eg21,69eg21,77eg21,84eg21,91eg21,97eg21,106eg21,111eg21,116eg21,124eg21,labels
1618,0.001838055,0.000612685,3.397043134,7.900018245,19.93071902,32.18775025,46.28135955,45.1484766,44.98643499,28.8374093,32.92617593,48.53104004,62.3029604,75.56483726,83.89680193,59.34578428,70.2410838,0,0.010513574,0.008721767,0.011468513,0.053376686,0.100472108,0.178564593,0.167860299,0.154330298,0.161408514,0.107569575,0.109230176,0.152455896,0.200724512,0.271026164,0.176236823,0.370221704,-0.020182746,-0.010032877,-0.002203326,0.061243329,0.062742904,0.105871283,0.104674846,0.116559342,0.0729746,0.069073185,0.089489661,0.115583174,0.141907975,0.142903686,0.14470844,0.177868962,0.010544701,5
1619,0.0,0.00490148,2.930650815,7.005029721,18.40418415,31.89897838,45.53233101,43.91135426,42.47830339,24.98360656,29.86401505,45.91556841,56.90881817,72.04707313,74.31550658,54.16810942,67.07506471,0,0.00876685,0.005161783,0.009812297,0.050284091,0.087749183,0.185781494,0.163628981,0.151669651,0.148895875,0.095981367,0.10041476,0.155604586,0.182886824,0.229520679,0.15151906,0.310113072,-0.018561011,-0.007864255,-0.002737561,0.055584963,0.061799068,0.103728741,0.105441436,0.108678348,0.064663619,0.064780541,0.084759854,0.105895765,0.126745254,0.124712244,0.131195322,0.160886347,0.009821477,5
1620,0.001838055,0.00367611,4.537953795,11.06294772,23.50118591,39.47880557,55.29644871,54.08182361,55.0086877,39.00671862,37.18355281,53.88228971,65.77949212,77.37080159,70.35914582,49.25662223,60.09132618,0,0.009872136,0.006171776,0.010161005,0.062393572,0.11859747,0.24410136,0.218873486,0.193658158,0.190813348,0.123891309,0.127437904,0.181898713,0.186013222,0.23890318,0.145679668,0.321024686,-0.016571401,-0.005222487,0.006394329,0.063448392,0.077938601,0.130966574,0.131178766,0.141683131,0.090353481,0.083979882,0.105070896,0.12705788,0.115966268,0.117469095,0.120080732,0.141249001,0.005419877,5
1621,0.0,0.00490148,4.224356043,9.976527968,22.32764687,37.97350093,54.60946095,56.09692784,60.22496571,48.62456329,45.48162434,59.38833647,68.32094494,65.70182652,75.16474066,49.92100935,60.05886427,0,0.009069775,0.004945131,0.012725052,0.062514365,0.123961657,0.228188723,0.232260898,0.207944185,0.225775689,0.143043339,0.146893114,0.187628016,0.20239,0.267392814,0.150513366,0.319308698,-0.017208824,-0.004850456,0.006733686,0.063481867,0.076755933,0.131101966,0.140464962,0.161694333,0.117546789,0.101916552,0.121593669,0.1419034,0.086943433,0.12719126,0.118841544,0.138093278,0.002191929,5
1622,0.000612685,0.003055861,4.367626886,9.131545338,20.29921547,36.83176005,54.22770919,60.0416359,65.25224813,66.12201021,62.66272507,71.28361727,76.87024537,79.51545187,84.92555765,53.13205663,52.18685076,0,0.009147028,0.006136845,0.012442336,0.048065372,0.13202107,0.227824867,0.280837774,0.251029909,0.31862402,0.211471871,0.224646181,0.254570752,0.258448482,0.349373341,0.174946159,0.333239108,-0.017213,-0.006016887,0.006235499,0.059902862,0.075518854,0.134120151,0.159262508,0.185060799,0.159435257,0.141746104,0.153046072,0.175569803,0.114514083,0.156140924,0.122682892,0.121571928,0.000430903,5
1699,0.0,0.0,0.438069797,2.803231215,7.30376467,18.36370696,27.398851,32.02071851,39.00563938,35.72158022,38.25029465,50.50037501,52.26014512,63.22822888,76.74711099,63.65347992,75.80457291,0,0.014469326,0.002724648,0.006112817,0.030888192,0.041919731,0.10658019,0.131031319,0.192774594,0.124863587,0.181583971,0.202144876,0.213893473,0.201471761,0.330696136,0.233334973,0.384077221,-0.015004582,-0.012795565,-0.001585634,0.0122256,0.034160528,0.058708746,0.083658621,0.112223431,0.084035762,0.074353151,0.094926119,0.097895913,0.115238339,0.154633403,0.138732657,0.199434206,0.028643897,5
1700,0.000612685,0.0,1.576213177,4.937663443,13.37955361,26.91887694,38.68432016,45.90549898,48.84549566,46.9228702,38.9102482,54.98521903,58.35958427,66.09136946,78.50086281,67.69693417,78.7564711,0,0.015981004,0.005891467,0.006023787,0.039902683,0.079240449,0.150962994,0.188921273,0.204474911,0.17905277,0.190708548,0.191000417,0.225801572,0.252817899,0.392052025,0.26177451,0.476579636,-0.014697001,-0.008580538,0.002276936,0.035823617,0.055532947,0.092176616,0.12657541,0.142652124,0.110481963,0.086891226,0.113956228,0.110578753,0.127112642,0.175438538,0.162939325,0.232165679,0.035491996,5
1701,0.0,0.00122537,1.032269894,2.975765889,11.51165981,25.27215228,35.8275272,40.30452306,43.62810547,31.04219296,25.89306761,45.81564096,53.22225208,63.65620115,82.2026337,61.60946157,81.40929858,0,0.013030692,0.004133636,0.004708013,0.034673214,0.073917568,0.122877121,0.152430966,0.166477516,0.127104104,0.135312334,0.141603962,0.149408832,0.188276872,0.336967468,0.236073211,0.427841336,-0.012431921,-0.008569315,-0.001528748,0.032334767,0.046314571,0.081599049,0.108685009,0.119096622,0.080319405,0.057747826,0.079916865,0.097863078,0.113343716,0.172472492,0.151445821,0.234258071,0.045529801,5
1702,0.0,0.018993236,1.307469856,3.733577199,12.87059899,24.19859739,35.99892167,38.4306576,39.27145252,23.73018006,22.13650488,45.07553841,45.88771028,64.14690097,82.03063693,60.02748442,76.29098361,0,0.014059189,0.004007854,0.009688028,0.03779484,0.080531843,0.143380448,0.163593575,0.170916632,0.126315355,0.109276302,0.125977144,0.132220045,0.183592245,0.324397475,0.234278321,0.427030295,-0.016321039,-0.010888634,-0.002199293,0.04362499,0.045730162,0.079704113,0.1063537,0.10349191,0.069968171,0.05611733,0.081074856,0.088578999,0.106199399,0.168401554,0.155030847,0.212113142,0.040006205,5
1703,0.0,0.0,1.696614106,6.656302393,17.83798577,30.69232449,45.34042293,43.89039475,43.85527442,16.59768879,14.61403734,48.06772373,51.3281376,70.02467105,86.56600518,65.79704813,79.60310613,0,0.01273607,0.004606414,0.007572943,0.054770458,0.087555446,0.166842431,0.156016245,0.138910905,0.111615099,0.06475319,0.079069272,0.119550049,0.19522509,0.297801882,0.213052332,0.457511783,-0.017573006,-0.008150245,0.005004243,0.056406148,0.065122195,0.103850819,0.109130651,0.110898107,0.064039908,0.054246575,0.082921267,0.098971814,0.101692796,0.171155319,0.175109059,0.226701334,0.032318346,5
