,0cc21,13cc21,25cc21,35cc21,41cc21,49cc21,55cc21,62cc21,69cc21,77cc21,84cc21,91cc21,97cc21,111cc21,116cc21,121cc21,124cc21,0ch21,13ch21,25ch21,35ch21,41ch21,49ch21,55ch21,62ch21,69ch21,77ch21,84ch21,91ch21,97ch21,106ch21,111ch21,116ch21,124ch21,0eg21,13eg21,25eg21,35eg21,41eg21,49eg21,55eg21,62eg21,69eg21,77eg21,84eg21,91eg21,97eg21,106eg21,111eg21,116eg21,124eg21,labels
1,0.0,0.052690913,10.52949246,22.57033989,28.5331144,42.83707353,60.39665078,69.51868107,86.72167217,97.33727493,98.89277076,99.66675625,99.78392905,99.08698107,99.0346681,97.78176939,93.12132098,0,0.00470809,0.022080246,0.022767548,0.039292,0.169692695,0.253505677,0.343782008,0.425923884,0.615179658,0.6869151,0.714741468,0.771066785,0.841204762,0.833313584,0.726894557,0.8612445,-0.010406367,0.004092682,0.027053464,0.059558179,0.093953274,0.173158839,0.208971485,0.294805557,0.307536989,0.296111941,0.289976686,0.303889692,0.290809602,0.291395277,0.290281236,0.249101669,0.01839268,0
2,0.00245074,0.229144202,11.00660066,20.87088731,26.1065499,43.2830207,58.5154702,67.94124927,83.39887212,96.73098629,98.9563913,99.51569699,99.65498768,99.51739958,99.89680193,99.58665166,98.42667936,0,0.006395773,0.022278886,0.032378606,0.036928263,0.170068502,0.255166382,0.348967671,0.422532529,0.621023178,0.683501542,0.711783767,0.761989355,0.836425781,0.838222027,0.749796808,0.898855865,-0.009222757,0.002703821,0.02301378,0.04938874,0.093412831,0.161203086,0.195401743,0.274796367,0.293901473,0.297458619,0.279159516,0.293644845,0.301519066,0.296353012,0.308389753,0.288422257,0.026001828,0
3,0.011028331,0.035535732,11.04648682,22.94650206,27.4412143,44.52122109,60.12406796,72.68491062,87.99329371,98.59392636,99.38296157,99.69363074,99.6957807,99.4871018,99.89646247,99.2281136,97.5967365,0,0.004363311,0.02068758,0.02117754,0.042063557,0.174657732,0.264442861,0.36419484,0.453343332,0.695739031,0.73830086,0.747395277,0.793422163,0.858328283,0.861919701,0.773510993,0.910152256,-0.009530787,0.001344371,0.026146073,0.05426247,0.096740335,0.172409073,0.223395854,0.303475797,0.315299034,0.31159234,0.291301131,0.287231266,0.294311643,0.284714192,0.288764805,0.262162417,0.023475375,0
7,0.011028331,0.18993236,11.31839659,21.03448276,26.40637353,42.60841078,59.02212443,68.82935331,81.37052279,92.95780704,95.43983714,97.17065305,97.38779898,99.07050727,98.96909433,95.7745412,88.88828774,0,0.008466971,0.023924354,0.024440128,0.053141627,0.166828454,0.245139018,0.316527605,0.39124763,0.584489942,0.561447203,0.594351172,0.620013714,0.694884181,0.694424629,0.574595749,0.701063395,-0.021050859,0.003482463,0.022346117,0.05180442,0.102425344,0.169711888,0.216144189,0.288761407,0.267979681,0.24596557,0.274569064,0.273805559,0.279285729,0.275669456,0.249009132,0.205383465,0.007296311,0
10,0.00122537,0.385991569,12.44322512,21.42234415,26.95311075,41.4217768,57.30955647,64.94414253,77.01752782,88.76538565,91.96185578,95.00456866,95.27761354,96.04397507,96.78688525,94.9099723,94.1525277,0,0.008027349,0.027065685,0.026420416,0.057067212,0.166505799,0.239376649,0.307057798,0.367250025,0.539079547,0.47966969,0.518922329,0.573194325,0.622650683,0.640096486,0.524992406,0.651677191,-0.015791336,0.003083447,0.022960695,0.052511699,0.097549178,0.168116465,0.204160377,0.277327031,0.259395629,0.240566805,0.248334169,0.273133904,0.269734949,0.266752511,0.270983964,0.257865399,0.008590565,0
37,0.004288795,0.224855406,10.2927515,22.00213382,26.36136958,44.76995317,60.77345358,75.40767793,91.17589537,99.50443429,95.7387799,97.44115511,97.96445811,98.88137329,99.32706262,98.07717278,98.22757964,0,0.001170703,0.019289492,0.024198355,0.037664209,0.167645872,0.237422228,0.371167421,0.449237138,0.662327409,0.690124929,0.690154731,0.774223745,0.83122462,0.83795625,0.738719225,0.883220375,-0.010730256,-0.001191252,0.02713652,0.052058656,0.102915086,0.174254909,0.223728344,0.331862897,0.335278243,0.255854517,0.268676758,0.267639965,0.246446073,0.265526801,0.269764274,0.265866369,0.018959729,0
38,0.001838055,0.173389864,9.816648331,21.0685398,25.66681908,43.35157369,58.89988999,72.89793152,86.92775218,97.38026358,94.21123354,96.66988107,98.01135755,98.59084593,99.41760138,97.67139889,97.7190097,0,0.00176239,0.014810044,0.021545766,0.034791987,0.154029608,0.229520217,0.351600707,0.419838488,0.620835423,0.636726737,0.634550035,0.703516543,0.773298383,0.777367413,0.68569684,0.827808857,-0.011153414,0.002218632,0.025895856,0.050878927,0.103132606,0.169548333,0.225914091,0.315799952,0.334712148,0.271023929,0.269928813,0.274709016,0.25965181,0.276626945,0.268969297,0.269365519,0.01625968,0
44,0.00735222,0.525071071,12.61459479,22.78798964,27.1245237,44.99502536,61.90869087,73.13576452,87.98496516,93.22977694,94.89707068,96.97096325,97.25960101,98.97081813,99.24966407,96.18788954,91.76984469,0,0.005750294,0.030065442,0.032688178,0.051907767,0.162122905,0.236401081,0.3364003,0.399280041,0.576111197,0.541241765,0.583543718,0.617737651,0.690808535,0.690047562,0.587103963,0.721180677,-0.012049411,0.003821004,0.028469402,0.053647634,0.104842037,0.181990474,0.229058281,0.32059294,0.293750316,0.24323909,0.265094608,0.247525319,0.256429225,0.263108402,0.256328672,0.226531878,0.00775003,0
45,0.001838055,0.746863053,14.3092589,23.5299497,27.85185185,45.49309617,64.27494853,77.29209281,91.75816096,97.40607364,92.87474553,94.84706737,94.75195543,98.99900881,99.51410911,95.87841932,94.24125693,0,0.006362042,0.02936966,0.034083463,0.050888348,0.174090013,0.271004707,0.371869832,0.444853455,0.644313872,0.569275737,0.609609306,0.633800507,0.712675035,0.713134229,0.607486188,0.759759367,-0.0105512,0.008328874,0.030305509,0.056299064,0.107304484,0.190501973,0.249958009,0.340866059,0.319221586,0.231991798,0.259218812,0.244542137,0.261318266,0.272132576,0.254790992,0.240979329,0.010689058,0
46,0.017112822,0.877364964,12.95807359,22.1283341,28.31478441,45.08299158,62.71543821,74.14398276,85.8428065,92.87825853,90.80139747,94.30943962,95.01046606,98.30423832,98.26898188,95.15235457,93.35396468,0,0.005942851,0.028171437,0.036746264,0.054888204,0.17381078,0.258917004,0.370402455,0.424126595,0.590882838,0.561535835,0.60467571,0.627485633,0.713683009,0.710840046,0.617331326,0.753004253,-0.00985569,0.003529196,0.027799208,0.057710443,0.112772942,0.188214153,0.248275191,0.329904675,0.304794431,0.239436597,0.260610729,0.255430579,0.271884799,0.279675633,0.267337322,0.25383532,0.012868361,0
47,0.00490148,1.650573473,13.516685,22.96357112,29.38149672,44.80392633,65.56587589,75.9148487,89.29959663,96.88363343,94.3780135,96.40951463,97.01489339,99.48975161,99.20881483,95.64252943,93.3355696,0,0.007573471,0.028526779,0.033373512,0.066647753,0.171410292,0.270548671,0.349395633,0.411591381,0.591521084,0.561240554,0.609250247,0.632350028,0.713863969,0.707986116,0.597004473,0.740491688,-0.012236183,0.003469123,0.028481008,0.064758278,0.116933949,0.196366325,0.245290384,0.328872472,0.296165943,0.255520374,0.275105417,0.275096118,0.280084252,0.280021727,0.257224947,0.232521757,-0.003720578,0
48,0.00612685,1.361386139,16.14486325,26.95564701,34.36122542,47.99679682,69.01295685,78.00438145,92.93696696,99.02606826,98.63692556,99.04203511,99.48998179,99.90554977,99.71419327,97.75688193,94.30077043,0,0.00934517,0.031200187,0.041765299,0.082140066,0.188771695,0.304910839,0.384750903,0.464341551,0.661606669,0.653039515,0.688360274,0.709399283,0.784685552,0.767998278,0.667521,0.800859213,-0.012921519,0.00794785,0.03735888,0.081345968,0.132099569,0.214233294,0.25593999,0.352493733,0.336067349,0.288415939,0.305360317,0.298702151,0.295885116,0.289524645,0.274695277,0.247091487,0.003280956,0
49,0.00122537,0.874301539,15.19251925,25.79362902,31.9680107,45.04052513,64.36746397,73.56543736,88.38528297,95.45498522,96.22467079,97.89563913,97.70280661,94.16288163,99.05939264,96.4248615,94.73360656,0,0.00940967,0.029157266,0.035513617,0.078790903,0.170635194,0.274962962,0.339137316,0.412979484,0.589749515,0.543071032,0.581428885,0.613550365,0.687278211,0.683850825,0.566034377,0.717788219,-0.012356917,0.007760192,0.035200369,0.070305377,0.120100752,0.193269894,0.236066118,0.324590832,0.309624732,0.263938963,0.288294375,0.280213773,0.246840999,0.277090192,0.265674025,0.253977031,0.010573742,0
50,0.00857759,0.465027938,14.78486738,25.9295839,30.81725347,46.14161955,64.55628896,73.23642894,86.28040582,93.69094329,95.0112504,97.32454731,96.60130719,96.8874848,98.7841978,96.73541378,96.58933518,0,0.008431111,0.025798401,0.032206059,0.064940631,0.16210115,0.265176833,0.339315772,0.422850102,0.616229177,0.58447963,0.606508017,0.647733867,0.701022804,0.690495491,0.601996899,0.745150805,-0.012599344,0.006815907,0.035891674,0.060667876,0.120688654,0.193150818,0.231052265,0.313138187,0.294717073,0.257991999,0.27404201,0.263363302,0.250787616,0.271662116,0.262824804,0.276841998,0.015405182,0
51,0.0,0.798328595,13.00178904,22.38946664,28.59868922,42.97877516,58.36743947,65.95296595,79.34360103,87.46036012,88.11394786,92.27861079,92.8232731,94.79438075,96.52825712,91.89426073,95.17615997,0,0.007357807,0.026181241,0.032075971,0.052020896,0.13934736,0.224651024,0.299676657,0.361378253,0.529162765,0.475632489,0.508297086,0.549708128,0.624706209,0.618791938,0.530070901,0.664628804,-0.014289163,0.0056106,0.029660361,0.057559811,0.11063464,0.166991666,0.198629931,0.277070999,0.268239021,0.217737302,0.230021268,0.23316288,0.237065479,0.252282798,0.237247333,0.272864163,0.016292749,0
55,0.00122537,0.29837761,11.38063806,22.20093657,27.96813234,41.07415856,58.67255661,68.21994408,82.43186942,95.38296157,92.89115829,96.51130398,95.96699882,98.96538996,98.85729643,94.21420533,96.06453428,0,0.007170049,0.02923413,0.035746887,0.067623727,0.134691939,0.221444085,0.271548182,0.347121775,0.543334186,0.396228582,0.45070982,0.499805033,0.578848183,0.571614385,0.476371884,0.61639148,-0.015328933,-0.000856483,0.028634259,0.054814547,0.109294221,0.169882193,0.2118956,0.289105296,0.26681903,0.230334446,0.23823069,0.247149929,0.258546442,0.243071958,0.234840035,0.243139967,0.016255258,0
56,0.000612685,0.340652877,10.79207921,21.53208352,27.65493065,40.71501371,57.17149493,69.16268291,83.04180418,96.31711905,94.13157613,97.2628049,98.03707976,99.61677089,99.37446074,96.52765755,96.9377597,0,0.005714695,0.026323315,0.030637044,0.068952315,0.144568875,0.220536113,0.291497886,0.359697938,0.572427392,0.460737497,0.501672328,0.560525119,0.633166313,0.622866809,0.535570681,0.658021271,-0.011697625,-0.002307502,0.028717387,0.058613293,0.106101431,0.16410777,0.211614922,0.295337796,0.272898763,0.239179358,0.248516634,0.269185573,0.267145604,0.24884519,0.26079911,0.252524525,0.011703627,0
57,0.0,0.424590726,13.20520047,24.34811766,30.12284713,43.81385134,60.38562396,71.54718534,86.73756265,98.88094598,98.41117979,99.55319833,99.48783885,99.7665885,99.94947595,98.5962741,97.54046918,0,0.00549627,0.03026467,0.03613016,0.073369704,0.153952524,0.240841389,0.308124423,0.396520734,0.614065588,0.535020769,0.571401596,0.621109486,0.663814008,0.659708261,0.582743526,0.691247344,-0.009732776,0.00325288,0.033735871,0.060639177,0.116905756,0.176691025,0.224741235,0.309774011,0.287256181,0.259078175,0.267567694,0.288081765,0.235684305,0.255512983,0.279816628,0.250542074,0.019396719,0
58,0.00612685,0.310018626,12.75577558,22.6544734,27.56978654,40.19995632,56.13494683,67.30976386,80.97420853,92.72883633,94.20048374,95.8094932,96.70105515,96.57114226,98.53587745,96.90962604,95.69025022,0,0.005437622,0.028864114,0.032184884,0.057497554,0.133678123,0.216737047,0.287460357,0.369613409,0.552477956,0.48839125,0.531341732,0.573221684,0.619548619,0.622352719,0.53996557,0.64661324,-0.010607813,0.004439617,0.031956609,0.051743716,0.098502822,0.160703063,0.206520393,0.284467965,0.262837499,0.240420893,0.245712072,0.261330605,0.188188702,0.236544877,0.259150654,0.245045602,0.023732603,0
62,0.000612685,0.854695618,12.9006234,23.04160951,29.15470203,42.66786382,59.43718753,69.32587542,84.41696892,93.68126848,92.4975892,95.49983928,97.22490089,99.2854731,98.67450388,96.86093317,97.89863227,0,0.006126839,0.028736519,0.032861732,0.061482206,0.138673827,0.198631108,0.273921102,0.348149836,0.52300173,0.409692466,0.506504774,0.540926337,0.594498694,0.608516693,0.502274156,0.635369182,-0.006918499,0.002968023,0.031329494,0.059518345,0.10999123,0.176982999,0.217623472,0.303889543,0.288571686,0.255543888,0.258734256,0.273798704,0.285952926,0.254227877,0.263486564,0.278762519,0.019775784,0
63,0.00245074,1.213729046,15.15782766,24.06373533,31.22024082,45.87529423,62.18127368,75.37793055,88.02346901,96.94275732,97.19000269,98.45280189,98.76970396,99.65259684,99.40983607,98.12370152,98.55371009,0,0.005586002,0.031264737,0.037510708,0.064749427,0.154052764,0.222562253,0.328535467,0.400685489,0.613543034,0.550207317,0.608638525,0.643886983,0.681580544,0.694102943,0.591574669,0.717291594,-0.005033769,0.007056139,0.031724982,0.06355197,0.119196415,0.185408458,0.246816829,0.323633552,0.324692249,0.303858072,0.295816004,0.301834702,0.302435964,0.270679533,0.275926858,0.28043142,0.022036402,0
64,0.00245074,0.677629644,16.09583181,24.73037647,30.9548136,46.33514524,61.65081855,75.78581717,89.77936683,98.44665413,97.51249664,97.90251613,99.1856852,99.70470731,99.58261432,98.82596087,98.48402874,0,0.005243708,0.027141519,0.033933077,0.063356072,0.156181455,0.225658834,0.333169788,0.424103707,0.642999291,0.623783112,0.656694293,0.697354317,0.741911054,0.749503613,0.65660882,0.777060568,-0.007451922,0.008947516,0.034207538,0.063819513,0.121694908,0.184862271,0.254550576,0.33333993,0.333013803,0.317338079,0.298498839,0.315503567,0.309134513,0.280270875,0.285406411,0.283909947,0.015942071,0
65,0.00122537,1.362611509,15.24385772,24.35848194,30.04481024,45.81159455,60.65762132,75.36643226,87.02664711,98.96909433,95.95199829,96.69023894,98.45572216,97.56057843,99.26256383,97.48853012,98.56301939,0,0.007193755,0.029647509,0.038063105,0.064252347,0.165332526,0.233536959,0.337281615,0.424747884,0.642327487,0.60471499,0.657723784,0.697605312,0.753300488,0.765183806,0.673711061,0.786739111,-0.003891733,0.007438236,0.033959001,0.061252829,0.118321799,0.182002977,0.249294296,0.318697542,0.330048889,0.292091578,0.302351087,0.302538425,0.293101549,0.283119828,0.29070425,0.294695288,0.027931331,0
66,0.000612685,0.844892658,13.00975395,20.98338668,26.95808566,42.51862457,58.17995785,71.75859642,84.88260955,98.38538027,92.65681268,96.29058181,96.90024644,98.11456393,98.89169578,97.41819598,98.83678151,0,0.005088582,0.027071409,0.029025158,0.04680429,0.147105202,0.19993861,0.286789447,0.373965889,0.597306252,0.533708155,0.594359636,0.629239678,0.680263519,0.718629539,0.624700665,0.758729279,-0.003895721,0.006332496,0.02602124,0.053719673,0.104009263,0.170474663,0.230133772,0.307134837,0.337640584,0.283851385,0.303996325,0.292596132,0.282397389,0.299068272,0.306567371,0.314782441,0.048139356,0
81,0.00122537,0.89145672,13.13092516,23.39414949,29.85464939,49.67543498,66.06710671,82.92141223,92.98643499,98.58425155,99.04746598,99.71498982,99.80713597,99.82412715,99.89430544,99.65049342,98.36067348,0,0.00391946,0.026972659,0.035815571,0.053786296,0.163470864,0.250853032,0.393659741,0.462639004,0.667259395,0.753044307,0.75587213,0.841944039,0.912624896,0.897067785,0.814399302,0.941694498,-0.007657621,0.007443937,0.031578928,0.061000798,0.113666408,0.182173535,0.246977091,0.328442335,0.350034833,0.283203065,0.28523609,0.27699396,0.258784771,0.273530304,0.270120919,0.254324377,0.007001797,0
85,0.00735222,1.216179786,11.79088554,17.93285897,21.84301174,37.25597519,52.46974697,64.43383298,75.86297519,81.04165547,84.26979535,86.25960763,89.5092717,90.63857044,94.63114754,90.86521814,90.13049688,0,0.005789371,0.036904868,0.043676857,0.062358759,0.175304204,0.256704032,0.367140859,0.436361283,0.597921669,0.666452885,0.680869937,0.725429237,0.757610023,0.770008922,0.703586876,0.809090316,-0.007192636,0.007954035,0.025060279,0.041418567,0.085789151,0.150881246,0.187430829,0.270339459,0.26440528,0.258409292,0.237596482,0.261592418,0.207788244,0.243289977,0.250630945,0.220891818,0.00992695,0
92,0.003063425,0.880428389,15.69734751,27.850149,32.57857034,50.17775243,72.25788752,81.27546801,95.81347024,99.88712712,99.96142719,99.98928533,99.98602526,99.99242555,99.98701524,99.60396468,96.90313366,0,0.007525157,0.033077877,0.031843938,0.074410036,0.18118605,0.286171407,0.409960896,0.509078681,0.749756694,0.783850968,0.77693826,0.809360683,0.867537796,0.853444636,0.773413241,0.879127383,-0.00966913,0.006271868,0.041225187,0.066144735,0.129943043,0.213573292,0.254132003,0.358407825,0.355235577,0.322954267,0.327139318,0.315269619,0.305380344,0.290237278,0.281218827,0.242533103,0.002296764,0
93,0.014704441,1.031761592,17.59304984,26.97865353,33.13020738,50.74194957,70.82569368,79.80971814,94.18564243,99.40016125,99.63677274,99.92690137,99.86070931,99.34101963,99.93313201,99.29557652,96.36647972,0,0.008482248,0.033557344,0.032730505,0.078333996,0.18202889,0.275313377,0.39847967,0.494756877,0.731792331,0.745103836,0.75133431,0.79111588,0.852433741,0.830497861,0.755144715,0.855098069,-0.010316223,0.010472673,0.039558619,0.069596663,0.136620298,0.204217643,0.247374713,0.348606288,0.345025986,0.309202164,0.318895668,0.300568223,0.289607286,0.292404324,0.273572415,0.254850388,0.006460219,0
94,0.011641016,1.066684639,16.99801859,27.36422794,34.3600061,50.03154651,69.12178022,80.28588373,93.58939186,99.47003494,99.81097014,99.96130073,99.94947595,99.86474204,99.99676445,99.63750866,97.3251385,0,0.008304575,0.033443451,0.033872686,0.077092431,0.176994205,0.266475797,0.387857348,0.480999589,0.730060399,0.735041976,0.727294505,0.772133768,0.824829519,0.80558753,0.732496858,0.825566113,-0.005647197,0.00962776,0.041163113,0.074124247,0.13440299,0.204678163,0.247807771,0.342685252,0.341363043,0.299139619,0.304459602,0.286463588,0.269441515,0.28818506,0.265862018,0.258371681,0.006826126,0
95,0.000612685,1.09486815,17.16782789,27.31381494,33.90763603,49.92337165,66.86224178,79.66060767,92.60173754,99.04434292,99.78463517,99.90892532,99.91963999,99.98701524,99.9253376,98.67880021,95.81782375,0,0.007990181,0.035504419,0.038485795,0.072746322,0.174585387,0.266081095,0.373917222,0.464023501,0.710371971,0.703084707,0.697795808,0.742596865,0.790599883,0.773208141,0.707715392,0.800100386,-0.009009169,0.010359528,0.040718257,0.071235061,0.135007456,0.198455736,0.246703476,0.334600061,0.334370732,0.280741394,0.293456972,0.275357276,0.276305616,0.280735254,0.257020742,0.251875639,0.006701972,0
96,0.007964905,1.150009803,16.98033836,27.59289667,32.8090981,49.26290373,68.94253925,81.5670484,94.51167339,99.66998119,99.92178292,99.99140016,99.98710024,99.99783587,99.98166523,99.5855696,96.74407029,0,0.007962421,0.034477502,0.036007393,0.076992907,0.176750466,0.270065308,0.393251657,0.485247731,0.741620302,0.715699613,0.702011049,0.750192642,0.788493037,0.771689773,0.708601713,0.796714067,-0.010261885,0.011674548,0.042476669,0.066898309,0.132071108,0.202464044,0.257971406,0.34763813,0.357956707,0.295190096,0.288723975,0.286818743,0.283336699,0.27775231,0.256124288,0.242781207,0.010181956,0
98,0.003063425,0.817321831,14.39616184,25.68691845,33.38210639,45.98631367,65.55647005,76.36870733,89.22908093,99.17119054,98.85674488,99.61300726,99.53023381,99.81218517,99.94265062,99.48493767,97.13685942,0,0.007361309,0.032977,0.037383843,0.078993872,0.161037356,0.233890682,0.336085677,0.425323844,0.667797685,0.622000039,0.638450921,0.684783578,0.731252909,0.709777832,0.65107888,0.741425395,-0.011061173,0.002487964,0.034090903,0.069679625,0.120751761,0.188659444,0.237258345,0.315806955,0.33466965,0.289577097,0.280098557,0.285825223,0.287622094,0.270344287,0.269785643,0.248906389,0.013989456,0
99,0.0,0.533035977,14.2557537,24.8616807,30.97488293,43.52568614,63.40117345,72.97719878,87.8346168,98.80247245,98.5363763,99.73018006,99.27546359,99.77601281,99.90077653,99.05860457,95.95740997,0,0.007261406,0.031799916,0.034147561,0.074371129,0.144318402,0.209053993,0.294551998,0.376924366,0.617472112,0.553046882,0.584269464,0.632996619,0.677461505,0.664473236,0.601293921,0.697820961,-0.012355991,0.006120962,0.033577144,0.063942485,0.113517962,0.182155266,0.220570534,0.305493087,0.295190275,0.279442251,0.281183302,0.28586629,0.286975354,0.263440043,0.273373455,0.243346885,0.008912087,0
