,0cc21,13cc21,25cc21,35cc21,41cc21,49cc21,55cc21,62cc21,69cc21,77cc21,84cc21,91cc21,97cc21,111cc21,116cc21,121cc21,124cc21,0ch21,13ch21,25ch21,35ch21,41ch21,49ch21,55ch21,62ch21,69ch21,77ch21,84ch21,91ch21,97ch21,106ch21,111ch21,116ch21,124ch21,0eg21,13eg21,25eg21,35eg21,41eg21,49eg21,55eg21,62eg21,69eg21,77eg21,84eg21,91eg21,97eg21,106eg21,111eg21,116eg21,124eg21,labels
459,0.00367611,0.083325164,11.52751105,13.64653652,26.79133978,48.58708049,65.21696614,81.00984612,95.36838897,99.00886858,99.37973663,99.72249009,99.82963677,99.86972381,99.84627788,99.70351454,97.71570319,0,0.005509986,0.020770716,0.014842317,0.051823519,0.20979467,0.295938194,0.462200731,0.554113209,0.756096184,0.882933617,0.892537296,1.000873566,1.054866195,1.045244575,0.957302094,1.124153137,-0.006374415,0.001542614,0.011252095,0.056245811,0.112321854,0.183930248,0.234068453,0.318078637,0.322114348,0.308158666,0.285015285,0.289127648,0.267963856,0.25568676,0.269388258,0.270935476,0.01323762,4
526,0.0,0.035535732,8.087642098,12.12538523,25.81984454,47.66616516,65.20225575,81.07442418,95.91586648,99.63988175,99.83337812,99.99893203,100.0,99.99242555,99.99245039,99.7316482,97.55931838,0,0.002355199,0.010349567,0.008350795,0.031485908,0.153421476,0.248940721,0.425609887,0.53249979,0.730847299,0.867243409,0.870966494,0.977011144,1.033356309,1.008757234,0.929929256,1.072334409,-0.00450319,-0.000511294,0.010439343,0.04876972,0.102297343,0.170836851,0.221599877,0.305604875,0.318390965,0.286932558,0.277371705,0.287276357,0.25020352,0.24620752,0.251534015,0.248388827,0.013289116,4
596,0.000612685,0.042275267,8.171983865,13.49855205,22.897729,44.85670606,60.7808058,73.19029997,90.17662877,94.86589626,96.53124867,98.52727761,99.07229239,99.27934557,99.57937877,98.43317175,97.73415859,0,0.003469148,0.010140311,0.008991532,0.036284167,0.146035269,0.256374598,0.435971975,0.526014268,0.706256926,0.822413981,0.823763251,0.925695896,0.980124474,0.969491422,0.894267023,1.045288801,-0.006658301,0.000441152,0.011028414,0.040755894,0.094990954,0.155236229,0.190707862,0.283944815,0.289390445,0.266137838,0.258715004,0.276320487,0.235116825,0.240254074,0.23866111,0.242390662,0.015091337,4
668,0.0,0.079036369,9.955384427,17.4034446,26.449553,47.3422068,66.00843418,79.31046973,96.36800314,99.48293469,99.72570449,99.92499732,99.9871424,99.98485111,99.96872304,99.57150277,97.92385677,0,0.003774736,0.010369939,0.007723084,0.039224949,0.171681285,0.260577112,0.432886839,0.540109336,0.744243383,0.887496054,0.883109868,0.977743924,1.029766321,1.004968524,0.926937342,1.065294147,-0.009370912,0.003477487,0.016117299,0.054226436,0.106825359,0.177998781,0.212058783,0.302623183,0.318813473,0.287667572,0.267418146,0.286974669,0.24842456,0.236830473,0.239617512,0.236369878,0.014883908,4
741,0.0,0.118860896,11.67838937,18.57460753,29.00045725,48.49911427,67.25321047,83.5441204,98.02285784,99.98602526,100.0,100.0,100.0,100.0,99.99350762,99.9523892,99.22524238,0,0.004345232,0.013745935,0.013485871,0.051531184,0.200260848,0.301432639,0.500852883,0.59313941,0.790072203,0.922671974,0.902454972,0.995667934,1.03810358,1.016560197,0.933323085,1.065839052,-0.012047369,0.002793757,0.018261958,0.066219755,0.118040137,0.18671304,0.228603125,0.314068198,0.320593834,0.29234165,0.267448604,0.286150426,0.250495106,0.232075334,0.246957988,0.222122326,0.016376937,4
802,0.00367611,0.003063425,7.047706142,12.71240041,23.34914553,46.19015264,64.84537343,80.13943186,96.0365481,99.98602526,99.983928,99.99785707,99.99892502,99.98805802,99.99892148,99.83119806,98.48402874,0,0.00423508,0.00654878,0.007632033,0.032651618,0.155685455,0.243891567,0.394670069,0.514852047,0.719991624,0.793330789,0.801272452,0.909862399,0.916909575,0.922445774,0.809719265,0.966726184,-0.00747758,2.33e-05,0.010857443,0.045789354,0.094271183,0.177354217,0.222923592,0.313168317,0.304483265,0.302807182,0.280551225,0.27643767,0.25952515,0.234568015,0.24485831,0.237211853,0.016503088,4
803,0.0,0.019605921,7.912818168,14.20624136,23.46532541,46.3873183,65.38820302,81.67172995,95.52202408,99.97527546,99.96345069,100.0,100.0,100.0,99.99892502,99.83336219,97.74173303,0,0.003976896,0.008739857,0.007335202,0.035608575,0.162333518,0.251110852,0.400840819,0.518683016,0.714690208,0.792307675,0.803952873,0.901678264,0.914712489,0.917024136,0.799532712,0.955224276,-0.006208518,0.0010938,0.015273723,0.048706312,0.095173076,0.178996459,0.231832296,0.305947334,0.301307499,0.304451376,0.273127347,0.269147575,0.251181841,0.238810092,0.241397426,0.233850777,0.010068135,4
804,0.0,0.024507401,9.220144237,15.87666484,25.39612864,47.64007862,67.01992421,84.49003858,97.29980186,99.99247514,99.98817522,100.0,99.99892502,99.99891437,99.99892502,99.55527181,96.27878289,0,0.004680173,0.00950209,0.008849287,0.043790951,0.17631118,0.278695345,0.44213292,0.552044213,0.747565627,0.825169206,0.828477561,0.922398984,0.930971622,0.929531217,0.809178472,0.955403566,-0.005409423,-2.47e-05,0.016086012,0.054842852,0.100680828,0.186702982,0.246228769,0.331871212,0.310590118,0.290848792,0.272141069,0.257582039,0.237581611,0.227804348,0.219970644,0.211094886,0.00770396,4
805,0.0,0.033084992,9.508916324,15.33540108,23.7243812,46.42978476,65.80277397,82.05904068,97.83081847,99.98495028,99.98928533,99.99892502,100.0,99.99673235,100.0,99.72316311,95.90222472,0,0.005075186,0.00861292,0.008891972,0.038124062,0.164344549,0.267234176,0.42441687,0.551367104,0.745496154,0.830483198,0.819304943,0.916473031,0.928480387,0.923780799,0.803153038,0.940554619,-0.000563982,0.002542548,0.01379509,0.048255283,0.09732683,0.17755875,0.228630647,0.32099691,0.304149866,0.285115898,0.272687346,0.265040308,0.232122213,0.223239824,0.223630756,0.194022372,0.007850865,4
806,0.0,0.044113322,6.519737845,10.12771392,18.97637555,41.44604334,60.79757976,74.84658864,92.98313165,99.29911314,99.78500403,99.97635044,99.99142827,99.99457183,99.99785004,98.65715893,93.71872304,0,0.004876629,0.008123917,0.008994567,0.0351119,0.134201407,0.23073253,0.355013251,0.485203475,0.689326882,0.764159739,0.763713479,0.858502269,0.867329001,0.862789869,0.733607411,0.882454038,-0.003173694,0.001811397,0.00841764,0.036592465,0.083035372,0.161588877,0.199854538,0.285070717,0.297999948,0.280280352,0.273934454,0.266511083,0.238934323,0.22521086,0.216027588,0.180166826,0.001745962,4
814,0.000612685,0.014704441,6.288675507,12.38399319,20.88000973,42.34572545,60.69123579,74.79999032,94.80384088,99.66030637,99.93442623,99.99677506,99.99677506,99.99891437,99.9838753,99.10946157,97.42468837,0,0.004767297,0.006579791,0.007075022,0.029607119,0.137747809,0.220559299,0.366452098,0.489997923,0.665437043,0.792838812,0.768322885,0.868205369,0.8987993,0.88748461,0.78404212,0.924756944,-0.006888332,-0.001554052,0.012495066,0.047624707,0.090865687,0.161330163,0.193720803,0.293820351,0.291188061,0.265419364,0.259063661,0.262116104,0.240718529,0.223589525,0.218322009,0.202515706,0.010678103,4
815,0.0,0.022056661,6.706294772,13.8756097,22.02530102,43.06219515,61.51440329,76.5834352,94.75506783,99.89035206,99.96452567,99.9935712,99.99892853,100.0,99.9892502,99.43840893,97.48597929,0,0.004152488,0.006376273,0.007300279,0.031560898,0.142807528,0.236124143,0.393139064,0.513096571,0.693874717,0.822502673,0.789219141,0.885540664,0.919282138,0.904125631,0.807568312,0.950435162,-0.010755611,-0.002071377,0.014817729,0.045915637,0.096118696,0.165680304,0.200385615,0.292135715,0.297576725,0.278479904,0.259832144,0.269159615,0.247415811,0.222114772,0.226485953,0.203419253,0.014095761,4
816,0.0,0.031246937,6.213176873,12.7379432,22.97942387,41.77364168,61.48209265,77.62735866,94.9669967,99.90325181,99.99249973,99.99785004,100.0,100.0,99.99568594,99.80522853,98.79025277,0,0.004365387,0.00681891,0.007770119,0.034336705,0.147698656,0.237018809,0.398002297,0.523636758,0.702533543,0.836980343,0.80292207,0.890955567,0.926216781,0.915848672,0.817200661,0.957884729,-0.012366548,-0.005726602,0.011820837,0.049098726,0.099929549,0.165778905,0.202098846,0.2923114,0.307164341,0.286931008,0.26225701,0.278910667,0.249249741,0.221267238,0.234605908,0.20757921,0.011446898,4
817,0.00122537,0.035535732,9.372351776,16.51401812,26.39481846,45.70906841,65.29553422,81.73760586,96.80658436,99.89895189,99.99892502,100.0,100.0,100.0,99.99785004,99.82686981,98.46455159,0,0.003084691,0.009003515,0.009532054,0.043984625,0.17196846,0.265003592,0.442350596,0.548323929,0.721798182,0.870166659,0.851908445,0.939819098,0.97022903,0.963177502,0.871075928,1.00191009,-0.007976172,-0.000458879,0.017202251,0.059946328,0.114202261,0.183844104,0.224140927,0.313652575,0.306960851,0.301161557,0.271969676,0.280848861,0.255846739,0.226562127,0.233289465,0.218375862,0.003045756,4
