,0cc21,13cc21,25cc21,35cc21,41cc21,49cc21,55cc21,62cc21,69cc21,77cc21,84cc21,91cc21,97cc21,111cc21,116cc21,121cc21,124cc21,0ch21,13ch21,25ch21,35ch21,41ch21,49ch21,55ch21,62ch21,69ch21,77ch21,84ch21,91ch21,97ch21,106ch21,111ch21,116ch21,124ch21,0eg21,13eg21,25eg21,35eg21,41eg21,49eg21,55eg21,62eg21,69eg21,77eg21,84eg21,91eg21,97eg21,106eg21,111eg21,116eg21,124eg21,labels
0,0.0,0.136628762,9.152873038,16.19935985,20.04659176,33.23181829,45.99847584,55.12823616,68.5675964,81.813491,84.13544746,86.93881924,89.54141219,91.43654778,93.54831752,89.81669841,86.26941329,0,0.005883961,0.026388792,0.032495443,0.040879019,0.173196644,0.235328674,0.321583539,0.383665413,0.491745055,0.565417349,0.589018404,0.654058695,0.67731607,0.721060216,0.608200252,0.729416966,-0.011779341,0.001820144,0.015754478,0.039046083,0.070544101,0.130894646,0.15663144,0.227833584,0.248920262,0.231048226,0.229424581,0.249003246,0.250503927,0.254986614,0.258325368,0.225403145,0.015691746,1
4,0.0,0.031859622,7.765279683,19.17451608,22.80848993,40.70470043,55.49336991,67.62069195,82.63862216,96.43859178,98.80139747,99.29158828,99.34533376,99.36050035,99.5624832,97.95922784,94.85979292,0,0.005194708,0.01606011,0.020776166,0.029216008,0.146550894,0.231934264,0.318539888,0.395604342,0.629610777,0.67724514,0.703970313,0.748898149,0.809233725,0.814206243,0.722992301,0.838811696,-0.010406374,-0.000623463,0.021355066,0.042489655,0.081188478,0.152005464,0.200541392,0.27891168,0.279232949,0.270348191,0.283422291,0.268540084,0.279358894,0.281397641,0.28320998,0.24348928,0.011876628,1
5,0.001838055,0.012866386,3.451900746,12.35055632,17.10150216,31.55378679,45.40154015,55.14431116,70.40092898,87.13356625,95.44626594,98.36708454,98.66595001,99.42678478,99.7441548,97.32405644,96.86093317,0,0.005480216,0.012034626,0.013738517,0.021188498,0.115153879,0.173225373,0.231961474,0.297563523,0.403797239,0.485104114,0.566072583,0.610405385,0.704360604,0.715573728,0.613202631,0.754482508,-0.010545976,-0.006550638,0.011942799,0.030365547,0.053170454,0.117762096,0.153942391,0.2328991,0.234781697,0.229267836,0.251223058,0.252245754,0.254648417,0.278342992,0.27113238,0.25568819,0.016919155,1
6,0.006722895,0.19115773,8.688309709,16.78463649,20.45062972,34.95352957,49.22237464,58.56177822,72.80963268,85.61891965,87.92475141,90.73689868,91.9061395,93.5054536,94.2094478,92.03060076,90.83059211,0,0.007832583,0.021871695,0.022289209,0.03619973,0.161088422,0.231844425,0.307912529,0.384438455,0.539907455,0.597956061,0.631107092,0.661595166,0.72213918,0.729310215,0.635404766,0.747972071,-0.013262467,-0.002215746,0.017517244,0.03721521,0.074569933,0.139990509,0.181635916,0.262193084,0.254024833,0.232298464,0.246009961,0.242638245,0.247531399,0.258677632,0.245335743,0.224078596,0.012465372,1
8,0.0,0.207700225,11.07627429,18.98978814,25.12376087,39.05457546,55.96463954,63.87723439,76.19545288,87.51948401,92.64176297,96.64095146,96.01504972,97.48528393,97.59167386,92.27514716,82.07345048,0,0.008451014,0.02413898,0.024767628,0.05449326,0.159112886,0.238421768,0.303230733,0.353216022,0.507779717,0.440994769,0.507557094,0.539946616,0.626600802,0.6380983,0.498724729,0.636611402,-0.019996125,0.002379337,0.018361691,0.048634313,0.091553099,0.159504861,0.195799857,0.266092867,0.250084758,0.231318057,0.260080427,0.264701247,0.264733613,0.258526295,0.246397302,0.202389687,0.002982942,1
9,0.0,0.113959416,8.82731291,16.88462125,23.30680191,37.68108908,54.68952451,63.33512427,75.87562872,87.42273582,92.83525934,97.01263101,96.90560377,97.90255341,97.80489116,95.65335007,93.25927524,0,0.008116285,0.02112828,0.019052111,0.043892831,0.13745822,0.211926535,0.273109943,0.323368669,0.479612976,0.404565841,0.494166851,0.533250272,0.619438648,0.628796339,0.494659454,0.648703873,-0.016663834,-0.001669395,0.013400307,0.043570261,0.083734684,0.150806502,0.194024369,0.269173115,0.248199344,0.230835319,0.25349018,0.269847572,0.267598718,0.261113524,0.274670541,0.234593362,0.006476127,1
11,0.000612685,0.122537006,10.79330155,19.76829046,24.26077966,37.5466764,53.65725461,60.81473477,74.02530102,85.88443967,88.9384574,92.17293475,94.09086039,87.36041378,96.57571182,92.08145776,92.30219875,0,0.008379398,0.024587307,0.026156589,0.047395058,0.139688715,0.212120771,0.265242904,0.327000767,0.507027507,0.41906628,0.452439725,0.529554844,0.599629581,0.599249542,0.495525658,0.616118491,-0.020853639,0.001487058,0.021735847,0.046553478,0.088198021,0.150831938,0.182800874,0.25705117,0.245953798,0.218873993,0.222319886,0.246125415,0.186708227,0.254578859,0.23907195,0.244695067,0.01371438,1
26,0.0,0.183805509,8.052805281,15.10562414,19.86681263,32.88420005,44.02823616,54.3850837,65.35509106,86.3574308,85.20935232,90.57242677,94.10911045,96.14816745,96.96103198,95.17291378,96.32747576,0,0.005438,0.019531731,0.025211815,0.03039242,0.120837711,0.157849282,0.245336145,0.28521809,0.425365299,0.405132443,0.503191471,0.551359236,0.618442297,0.664111137,0.571772039,0.705489516,-0.004990558,-0.003067034,0.013922034,0.034948349,0.075927205,0.127134725,0.166699886,0.226508066,0.244887084,0.226731956,0.249232665,0.276016414,0.288206041,0.290964276,0.294620216,0.328656673,0.050666634,1
27,0.005514165,0.015929811,3.623228166,10.75107949,15.53180131,31.22740178,43.17207743,54.33537178,66.87090383,86.72722386,88.06449879,95.13661202,96.0355727,96.46814404,98.78990509,97.08816655,98.76402071,0,0.004260977,0.012715952,0.007996266,0.01929117,0.09776184,0.148734361,0.224195182,0.276572317,0.4317303,0.411884159,0.513847232,0.576513171,0.652003109,0.711614668,0.61501658,0.776970685,-0.00588055,-0.009223627,0.010365358,0.024063187,0.06400466,0.115843281,0.161373809,0.233819231,0.265342444,0.24043645,0.27252686,0.269144624,0.262817532,0.301651597,0.30742234,0.377276123,0.061129414,1
35,0.015929811,0.00490148,3.454956607,11.29522939,15.88599299,29.10832585,42.26975297,53.99656262,69.08507517,86.0370868,89.08680462,91.24825887,93.50249904,94.98219559,95.98684211,94.57777874,96.17126833,0,0.0,0.012158233,0.010867861,0.012055495,0.098067842,0.165840358,0.24041073,0.315400869,0.419904768,0.530425847,0.55200547,0.645472109,0.720421731,0.743614256,0.652259469,0.814825714,-0.012843219,-0.006136311,0.009730836,0.026711745,0.044747338,0.104302853,0.1383816,0.21574299,0.240730673,0.235322803,0.225371823,0.236355722,0.240417004,0.255310357,0.269950986,0.286344171,0.0459782,1
