,0cc21,13cc21,25cc21,35cc21,41cc21,49cc21,55cc21,62cc21,69cc21,77cc21,84cc21,91cc21,97cc21,111cc21,116cc21,121cc21,124cc21,0ch21,13ch21,25ch21,35ch21,41ch21,49ch21,55ch21,62ch21,69ch21,77ch21,84ch21,91ch21,97ch21,106ch21,111ch21,116ch21,124ch21,0eg21,13eg21,25eg21,35eg21,41eg21,49eg21,55eg21,62eg21,69eg21,77eg21,84eg21,91eg21,97eg21,106eg21,111eg21,116eg21,124eg21,labels
82,0.012253701,1.616875796,17.59609816,26.15569414,32.95900015,52.20582882,69.89178479,86.95977639,95.2487471,98.99067824,98.81710061,99.48078474,99.62590701,99.5466153,99.76519217,99.34535145,97.67572715,0,0.003953772,0.034303132,0.039034031,0.068772852,0.196911976,0.28566736,0.440312773,0.502789021,0.718391418,0.777986586,0.759866834,0.835449457,0.893741786,0.876374304,0.788275063,0.922550261,-0.008202081,0.015126368,0.036414575,0.073084801,0.129518524,0.204215616,0.271916956,0.354711533,0.382380515,0.304495782,0.299098223,0.297186613,0.268324792,0.27394107,0.262851536,0.245203361,0.007624373,2
83,0.016542496,1.669566709,18.30033003,27.44693791,33.5771986,52.89560533,71.46803569,86.35850503,93.73388203,96.43536684,97.19018326,97.84466541,98.61112604,98.58249654,99.50819672,98.80864785,98.26869806,0,0.005611127,0.041378122,0.043037128,0.086936608,0.233582869,0.34331727,0.498809248,0.554733217,0.765809,0.828795969,0.82381767,0.887423992,0.940216184,0.9296543,0.842261732,0.972077012,-0.009686612,0.013904002,0.039438386,0.072271287,0.130418643,0.209196359,0.272652537,0.347994089,0.351825178,0.313002855,0.287664622,0.293490916,0.269279659,0.275004238,0.276212245,0.258010477,0.01039448,2
86,0.012866386,1.555607293,17.74599682,28.13159747,34.73860692,53.64847485,73.20164609,88.81671486,96.90230148,99.25826391,99.8430091,99.99249973,99.9903568,99.98701524,99.9935289,99.81929536,97.25913262,0,0.005689834,0.039201315,0.045072086,0.082880326,0.216530979,0.318881035,0.47018072,0.534736574,0.772023618,0.842052042,0.855195463,0.898748934,0.966651618,0.959150076,0.880452752,0.992976367,-0.002449618,0.011585396,0.039806832,0.073603667,0.130439326,0.213950977,0.275476336,0.368081897,0.358750552,0.314622402,0.298900992,0.285312563,0.277168006,0.263525635,0.279575437,0.241264582,-0.000972135,2
87,0.0,1.414077051,18.84773663,27.88603053,34.39396704,54.36555121,72.22527808,85.51397345,95.30071635,98.83902177,99.70427515,99.97420048,99.86777748,99.77493075,99.14192348,97.89061143,93.62339855,0,0.006537672,0.037655037,0.040473863,0.084892027,0.212624684,0.307562858,0.433622599,0.507089257,0.73262459,0.791711092,0.786373556,0.827231765,0.888125598,0.868061364,0.787560046,0.891806841,-0.007994783,0.013988822,0.037228353,0.070641898,0.138528198,0.219290569,0.267146289,0.360950232,0.347360134,0.287391007,0.304006726,0.280658692,0.275446743,0.263993829,0.256992698,0.214887485,-0.005601872,2
88,0.00735222,1.68794726,21.19676879,31.90597823,38.2142966,58.3883375,78.08139003,92.89340714,98.94772138,99.92367643,99.9935712,99.99355012,99.94642666,99.8777268,99.50172563,98.44074619,95.74956859,0,0.005768872,0.040356047,0.048413649,0.099970184,0.242659226,0.364753962,0.527921617,0.596009672,0.844403565,0.879411519,0.876951635,0.91248244,0.970366657,0.957197547,0.880375564,0.979868054,-0.010029929,0.017472815,0.048986703,0.082331657,0.148749679,0.237929851,0.31658569,0.402574033,0.36923033,0.319102198,0.322312057,0.292501926,0.283667207,0.272537142,0.265214086,0.230544701,0.002183246,2
89,0.00122537,1.545191648,21.42708715,31.01927872,37.48879744,55.50668543,74.06490649,90.06996722,97.89573402,99.82370331,99.98825238,99.9967856,99.99892502,99.99782873,99.99892148,99.6688885,96.97996018,0,0.006605801,0.040915657,0.045743216,0.096028797,0.224669486,0.341265202,0.493153304,0.563623965,0.8154127,0.83276391,0.833799958,0.85898596,0.924846768,0.909681976,0.837178349,0.946669221,-0.007608117,0.02022285,0.04611212,0.082351401,0.139958158,0.222657397,0.302212805,0.380396366,0.356496811,0.317023546,0.317557067,0.298610955,0.284172386,0.281528085,0.271123588,0.235278577,0.002658029,2
90,0.0220022,1.605234781,18.8928517,29.40521803,35.75138357,54.88546191,75.77747295,91.65886905,98.47340344,99.96345069,99.983928,99.9946251,99.99892853,99.99458968,99.99567175,99.79873615,97.85967798,0,0.007033831,0.041878045,0.044076599,0.091790065,0.225095972,0.353584111,0.511900783,0.581688285,0.842558384,0.86859858,0.875501812,0.901892066,0.972696066,0.955371618,0.884393513,0.98503828,-0.005380926,0.012091683,0.044172831,0.075729363,0.141278312,0.225761637,0.313455075,0.402789325,0.38351813,0.328784615,0.324335724,0.308401436,0.29889977,0.291936636,0.28929171,0.254097968,0.005924877,2
91,0.022056661,1.570924419,17.05044963,26.76660438,31.83661027,49.67543498,72.50091676,83.2675712,96.17436366,99.60763236,99.90495109,99.96882558,99.97527546,99.96753809,99.98705781,99.58340547,97.8023286,0,0.007343556,0.034661729,0.033045463,0.077277772,0.191268697,0.288001776,0.405237377,0.494622916,0.746719241,0.77750361,0.780751646,0.81291455,0.876634598,0.862828434,0.784802198,0.896316051,-0.005341067,0.011287623,0.038216766,0.065182462,0.126954406,0.215534642,0.263264447,0.360550791,0.35446018,0.326925129,0.32379657,0.312967598,0.303410232,0.301747561,0.290735036,0.249657691,-0.004077477,2
97,0.0,0.683756494,18.01859473,30.13562002,36.31458619,50.79472931,71.73389561,83.21129011,95.1361073,99.22708949,99.82592165,99.9742848,99.92928319,99.98268698,99.95901639,99.49359418,97.21958585,0,0.007609613,0.037746936,0.045333154,0.096099555,0.197075143,0.288969159,0.422703028,0.501287818,0.756759524,0.73680377,0.727553368,0.772523105,0.815127373,0.795835018,0.735572815,0.822800457,-0.011960843,0.009290147,0.04661461,0.078488775,0.14100945,0.214391172,0.269712329,0.35691312,0.379414618,0.304952085,0.291734844,0.289517879,0.290691644,0.276981473,0.268119812,0.255086899,0.01030054,2
121,0.364547593,0.642093912,17.89267816,27.3173995,32.07443897,51.92373025,70.63561912,89.58520728,94.57460753,99.49368449,99.87678131,99.9677506,99.96689308,99.95779952,99.98602526,99.66128192,97.26056946,0,0.005012808,0.02378441,0.03098679,0.058785826,0.172193661,0.273421824,0.409609944,0.504948616,0.699316621,0.794404685,0.782456577,0.86940062,0.923244894,0.908064723,0.797048151,0.938645184,-0.006110955,0.017224958,0.043415025,0.073062733,0.127207115,0.203100875,0.247301519,0.339721084,0.364037544,0.340879887,0.303151906,0.30599001,0.27778396,0.285215765,0.294857681,0.230626449,0.006603612,2
133,0.006739535,1.067297324,17.38173817,30.17210971,32.74706562,53.42279599,71.87446522,93.70717602,97.94848346,99.89787691,99.99142827,100.0,100.0,99.98917936,99.9892502,99.78683345,98.33584987,0,0.006095984,0.040024314,0.04216456,0.074702226,0.210095212,0.325271606,0.479260653,0.558751166,0.789774358,0.859321594,0.850482702,0.888861775,0.948893785,0.942081571,0.866085768,0.981656015,-0.005007982,0.011372216,0.046793122,0.070129998,0.140671089,0.213934407,0.284983546,0.383927166,0.367239356,0.309063822,0.301075429,0.281264693,0.277462006,0.254351407,0.266923994,0.224823639,-0.003493469,2
134,0.0,1.320336242,19.60188996,32.34202103,36.11832367,55.97502973,74.26477796,92.59086673,98.31428136,99.92152647,99.99785004,99.99892502,100.0,100.0,99.99784297,99.45609693,97.88071613,0,0.00670908,0.04503677,0.046699025,0.089775726,0.237340376,0.360460252,0.513822615,0.582586229,0.815623343,0.882098317,0.883907557,0.922510147,0.986877084,0.976016998,0.902321279,1.006860256,-0.005929144,0.013622572,0.050760251,0.081668481,0.15096882,0.227142483,0.294712842,0.392033935,0.374196231,0.313057542,0.311864108,0.282155037,0.281570345,0.260520756,0.273415297,0.230199292,-0.00426374,2
135,0.00367611,1.063008529,20.8407255,32.18289895,37.021833,54.53602368,75.34959051,93.72830503,98.34598384,99.96667562,99.9892502,100.0,100.0,100.0,100.0,99.65482168,97.46734749,0,0.005705449,0.044565275,0.049400572,0.089119591,0.224524125,0.357601643,0.50905472,0.587075233,0.81794852,0.879885435,0.874325156,0.907521904,0.969326854,0.95160234,0.880568564,0.987737894,-0.009530783,0.017603377,0.052451476,0.085285366,0.146980405,0.231226936,0.30196622,0.3928729,0.381070375,0.323037028,0.316817403,0.29229784,0.290002465,0.269787222,0.273252428,0.226875067,-0.000866326,2
