,0cc19,27cc19,53cc19,63cc19,77cc19,90cc19,97cc19,103cc19,105cc19,108cc19,0eg19,27eg19,53eg19,63eg19,77eg19,90eg19,97eg19,103eg19,105eg19,108eg19,labels
0,0.950435677,23.1747397,54.98414405,65.22762698,75.48805314,81.39283241,68.80931838,0.267032465,0.068114091,0.152648543,-0.003107636,0.050832763,0.112959839,0.16698581,0.176121369,0.176998571,0.143749833,-0.00645814,-0.034629434,-0.041885622,5
2,1.032762494,40.61977684,74.65305026,80.08492341,79.81142184,76.95528913,27.37837604,0.040237769,0.083523853,0.097546106,-0.005125909,0.092616752,0.149761632,0.231858313,0.175949603,0.145905942,0.058889166,-0.018912315,-0.03810247,-0.042944927,5
3,0.719012595,41.92485287,81.7919914,88.5717347,89.46640951,82.61540121,21.38049688,0.027434842,0.068114091,0.12924859,-0.007642223,0.094161108,0.171689779,0.251497447,0.20314312,0.1501984,0.053395752,-0.019007022,-0.034942385,-0.039625768,5
4,1.251081872,38.00695668,68.08062349,78.11845871,86.77858943,88.69823123,60.85418109,0.158512422,0.080079594,0.162780064,-0.005840377,0.076712333,0.141246706,0.207472041,0.207726195,0.184711054,0.120195083,-0.006219274,-0.032290764,-0.036872089,5
5,0.824037932,34.22181983,65.76941682,71.03503697,70.87551796,75.85272776,42.49264197,0.171925011,0.091832391,0.099375095,-0.005633803,0.071381442,0.131484658,0.184489265,0.154090449,0.141534954,0.083687924,-0.009786298,-0.031226063,-0.041559577,5
6,1.651253027,30.62788592,68.21177103,80.09964642,81.06070315,82.47842968,57.82679034,0.112178022,0.180179087,0.236574834,-0.00735321,0.064352006,0.136886552,0.223307863,0.190800563,0.166147545,0.114970677,-0.011272256,-0.037071567,-0.046541188,5
10,1.0759762,34.75900077,67.67320613,79.40123623,84.40236661,82.37534626,47.27351165,0.181679622,0.045724737,0.154473028,-0.00742961,0.070809655,0.14884536,0.204485759,0.185521305,0.162829861,0.098034188,-0.007489142,-0.028954014,-0.033428445,5
11,0.453683805,41.74188011,73.58882021,84.60306369,88.1549341,86.3757358,41.75034626,0.096326779,0.102779298,0.184881104,-0.009543994,0.083005585,0.155727759,0.21672149,0.195428327,0.164101496,0.089897737,-0.012804253,-0.036392998,-0.045802694,5
12,0.930653208,38.9562795,71.96237571,82.46973106,83.85022854,83.21178151,40.5622403,0.132296906,0.055342699,0.078452837,-0.008253673,0.078160904,0.154980212,0.221803024,0.194110304,0.163365349,0.086730845,-0.011819663,-0.040973283,-0.048652112,5
26,0.874736218,32.61430512,75.96130073,87.9731255,89.59908582,83.73441828,35.15625,0.032921811,0.059453032,0.123151959,-0.010070331,0.057555884,0.16840525,0.234623075,0.180758014,0.160569668,0.078257963,-0.019388054,-0.036099695,-0.041778564,5
36,1.284228299,37.23540063,77.21472722,90.11571842,87.05839634,80.07920706,26.58846953,0.022557537,0.054734537,0.109739369,-0.004303216,0.071786165,0.16749078,0.253411084,0.183024094,0.151166126,0.062001027,-0.020421484,-0.035865922,-0.04431612,5
46,1.79858214,35.34399422,73.49099704,89.09647944,91.50967577,84.78645384,37.0466153,0.040237769,0.073406295,0.081694864,-0.00488571,0.066534676,0.15409337,0.235716864,0.188425824,0.157661274,0.079053663,-0.015000354,-0.030451017,-0.04009283,5
235,0.135845834,16.11826354,57.37704918,77.29212577,79.54205647,84.91695427,73.11797904,0.29507697,0.11647941,0.203627496,-0.010275614,0.022931403,0.130128145,0.183770582,0.165540203,0.175550774,0.142728761,0.0014048,-0.024670783,-0.04268064,5
255,0.168237205,17.06880942,59.53453373,83.45976642,85.29838951,86.62100949,83.61842105,0.319463496,0.077046276,0.22374638,-0.006800992,0.025410645,0.137004703,0.211380929,0.202286959,0.191297933,0.160427734,-0.000509413,-0.028930137,-0.04149013,5
1476,0.57063774,32.30151325,77.34264983,90.48212846,81.34798582,64.33409799,55.3375755,0.41457095,0.115266083,0.179240969,-0.001646961,0.054139279,0.172270328,0.237121776,0.182334408,0.152469739,0.081698038,-0.013795961,-0.026999472,-0.044620156,5
1841,1.052320053,34.66356535,76.85998388,88.55994857,88.91138969,76.64798303,50.36465547,0.133516232,0.137174211,0.219546312,-0.004130324,0.061864827,0.151630968,0.207260609,0.180674344,0.13999407,0.06426996,-0.023969732,-0.027711377,-0.054286022,5
2457,2.067282501,39.44211049,78.18543402,89.63611932,83.50207185,73.49052112,44.2390928,0.080674734,0.126792691,0.406035665,-0.002430483,0.070402697,0.159407169,0.214747429,0.178795516,0.137773752,0.081768051,-0.021570235,-0.035743598,-0.053582076,5
2500,2.082543202,42.3079008,78.87234614,80.3042193,49.95514546,23.73073927,7.049180328,0.025669234,0.100346652,0.106691053,-0.002182467,0.07523483,0.157879278,0.178308278,0.100711495,0.041127242,0.006145122,-0.039264347,-0.035860918,-0.05400449,5
2501,2.209942059,40.14984156,83.64955657,94.87879602,86.93771626,71.97238573,32.9324849,0.045115074,0.079865874,0.107300716,-0.004860517,0.074222125,0.174294665,0.225560829,0.188491136,0.125488102,0.062523507,-0.02191769,-0.039546415,-0.051662456,5
