,0cc19,27cc19,53cc19,63cc19,77cc19,90cc19,97cc19,103cc19,105cc19,108cc19,0eg19,27eg19,53eg19,63eg19,77eg19,90eg19,97eg19,103eg19,105eg19,108eg19,labels
1400,0.644297386,30.09732911,82.13168503,99.22493953,99.88786364,99.93744607,99.11703601,0.712086572,0.125889436,0.315027671,-0.002543628,0.050435901,0.187622324,0.29523918,0.238464072,0.24372375,0.177864075,0.011572443,-0.026218103,-0.044104334,2
1425,0.335988175,28.76134978,78.23273314,95.54850847,96.74702668,98.17023026,93.78246191,4.533455266,0.21103205,0.329218107,-0.012034349,0.058057122,0.186992332,0.272587031,0.269788295,0.266471356,0.201524124,0.025552511,-0.023614809,-0.056733388,2
1426,0.616932006,33.22634676,82.53587745,94.82934695,97.998633,99.0099117,95.93793283,5.832647462,0.401004635,0.625514403,-0.008745369,0.067556389,0.198718056,0.267993778,0.282276124,0.269141227,0.204813942,0.034209728,-0.022070099,-0.058980245,2
1427,0.353785653,33.15753735,84.19779629,99.35501209,99.44252211,99.7911617,97.38573407,4.268426843,0.193525686,0.533965821,-0.007350099,0.068469226,0.210400388,0.285284221,0.282960445,0.265746444,0.18294242,0.02944199,-0.021985175,-0.052204769,2
1428,0.631132635,37.32322318,84.61058855,99.22211508,99.69776582,99.81172091,97.6013805,4.801707057,0.176366843,0.280445054,-0.005680917,0.073471762,0.201052561,0.310563952,0.283148646,0.278706044,0.223373264,0.035484374,-0.020547852,-0.058283806,2
1429,0.327471017,34.91936577,80.98468154,98.09943564,99.50339613,99.87489215,96.80466586,4.409693644,0.158945861,0.299344612,-0.006712688,0.064662933,0.194682807,0.282495767,0.260913759,0.282765836,0.216572821,0.026618874,-0.018256789,-0.055484533,2
1430,0.284933532,30.96106836,76.52459016,97.83499059,99.61873638,99.8182133,98.85084834,2.495960982,0.152040382,0.334095412,-0.008922004,0.050593566,0.175033346,0.27236405,0.259008586,0.281120777,0.223380387,0.026863992,-0.019341595,-0.046545386,2
1431,0.516546545,33.21095518,82.23380812,98.83364687,99.88145585,99.92317348,98.05769564,3.670781893,0.152272562,0.365188234,-0.00712996,0.056362651,0.189047724,0.30168435,0.27895236,0.28621313,0.219260648,0.032796167,-0.022294044,-0.045325305,2
1432,0.517033853,32.11996378,82.84869659,99.03036818,99.87825195,99.93074792,98.12122519,2.611187319,0.105559465,0.164203612,-0.007932365,0.053948026,0.190043628,0.303186297,0.271537721,0.28476578,0.209125057,0.025381314,-0.027961012,-0.053394511,2
1433,0.27229143,30.43818042,83.04219296,97.97814208,99.25104468,99.80090028,97.10223338,1.416857186,0.11555069,0.274958086,-0.008398091,0.051950589,0.187372267,0.298039258,0.258284539,0.275903076,0.17599301,0.012240675,-0.025305333,-0.055069495,2
1434,0.438089947,34.1887732,81.55979575,97.21472722,99.79922252,99.85547886,96.68347472,1.912513336,0.300298478,0.776101204,-0.004431022,0.060308807,0.181647226,0.273817062,0.240502447,0.254421145,0.157168195,0.008580983,-0.028323334,-0.047699105,2
1435,0.215877471,26.5101856,73.06100511,96.26444504,99.57494981,99.86690616,97.76986669,2.014327084,0.148999574,0.399939034,-0.004568586,0.043782596,0.162958071,0.266960174,0.23897405,0.263894141,0.175086454,0.021865604,-0.02797205,-0.047524873,2
1436,0.493041982,30.41014033,78.240258,98.25638269,99.64543552,99.88638331,96.44628991,2.108215211,0.122546046,0.281054717,-0.00441152,0.052208856,0.17567189,0.26757139,0.236419693,0.265751988,0.166924119,0.02124575,-0.025251603,-0.043456081,2
1438,0.370841435,28.70031689,78.91319538,97.59884282,99.42223077,99.9523892,98.61604051,1.049382716,0.181840297,0.378884632,-0.004463547,0.047985405,0.178181037,0.263761491,0.236181736,0.248380139,0.170073956,0.017181056,-0.018965239,-0.035413425,2
1464,0.616545594,34.70864268,81.26310132,95.31308788,98.30815386,98.53704986,94.56643658,2.531931108,0.243264611,0.434080171,-0.005179483,0.073293604,0.196730152,0.276007742,0.267187566,0.259412766,0.186788589,0.013708163,-0.024588179,-0.058176581,2
1465,2.126612381,38.65474093,83.21418973,95.93442623,98.30086719,98.60413781,94.08649698,2.224660875,0.363391492,0.527968298,-0.000264775,0.085862063,0.196518585,0.270098656,0.266581178,0.249434754,0.169909507,0.005732313,-0.025195047,-0.058136798,2
1467,0.85431436,40.24303203,86.98199409,98.89103182,99.815242,99.89503982,95.50120935,1.913732663,0.121024144,0.224965706,-0.008068296,0.080122203,0.206769854,0.295688212,0.266650081,0.263659567,0.191005871,0.015568973,-0.024025332,-0.058642656,2
1468,0.283125984,38.79039492,87.53668369,98.96801935,99.62300824,99.76272649,93.4253667,1.563176345,0.139532626,0.252400549,-0.007052775,0.07097251,0.207983956,0.28370133,0.25440827,0.261438072,0.193566397,0.009171741,-0.023205647,-0.055937804,2
1470,0.388384525,33.51538149,80.63638807,98.50362806,99.815242,99.9015322,96.8108283,0.727328151,0.188065714,0.306050907,-0.007917431,0.055704724,0.182682514,0.276914775,0.25877291,0.27276808,0.207024723,0.010629687,-0.023323637,-0.057945766,2
1471,0.398617994,34.76125943,81.74899221,99.40661113,99.67533855,99.79873615,96.89330825,0.671848804,0.101919484,0.201909627,-0.007756444,0.059316024,0.184150577,0.296315759,0.259676069,0.275609881,0.197927311,0.01266768,-0.025541965,-0.054391105,2
1474,0.148628959,25.63807201,74.76377318,97.84466541,99.3197061,99.80739266,98.58390854,1.828989483,0.161162805,0.330437433,-0.006601731,0.042070862,0.164347589,0.277813166,0.237919688,0.265112787,0.182726219,0.023925724,-0.025684746,-0.051586792,2
3076,1.154920106,31.99818923,79.95270089,94.11233539,98.07028822,99.46182053,94.68723037,0.649676079,0.188672377,0.471879287,-0.007225571,0.066786148,0.190947622,0.284962416,0.262577534,0.256328553,0.233284369,0.00752974,-0.028507471,-0.057706334,2
3117,1.129036964,41.29153463,78.29615695,91.34533727,96.90503652,97.75038954,83.84695291,2.014936747,0.16724442,0.349336991,-0.003651116,0.088561602,0.181668907,0.272758126,0.252678335,0.230695099,0.198238745,0.012005449,-0.025546417,-0.047511436,2
3118,1.501396138,36.61204165,74.06181134,88.89531769,95.81464394,98.15616343,89.17719875,2.814814815,0.11647941,0.406645328,-0.006247077,0.078435905,0.173670024,0.256372511,0.248794243,0.247313857,0.217289791,0.017086096,-0.030719601,-0.053084981,2
3160,1.248811349,36.88773201,75.64203171,88.83095942,95.30522449,96.33196721,85.63093184,6.202713001,0.242645938,0.354214297,-0.003754506,0.081900835,0.172407702,0.271126211,0.249390781,0.22627759,0.201923639,0.032361835,-0.020435376,-0.041488681,2
3161,2.292596591,36.92711634,76.73313625,90.69538198,94.61638686,98.66479724,90.57161346,5.196768785,0.23475035,0.373113855,-0.005079506,0.08183226,0.177572101,0.279195249,0.240839541,0.247499585,0.219730273,0.025751745,-0.027313791,-0.054050025,2
3204,2.671910101,41.47897186,83.90110185,96.23435431,99.40941518,99.56392832,88.07349377,1.865569273,0.15530588,0.411522634,-0.002809232,0.088768758,0.191343382,0.31152302,0.261177301,0.233940929,0.191051051,0.012922743,-0.031912509,-0.051062141,2
