day,average_eg_19_5
0eg19,-0.00626265
13eg19,0.030710824
25eg19,0.063220084
35eg19,0.090655813
41eg19,0.107117251
49eg19,0.132073492
55eg19,0.148380539
62eg19,0.167405428
69eg19,0.186430317
77eg19,0.177
84eg19,0.138659683
91eg19,0.102575956
97eg19,0.062
