,0cc19,27cc19,53cc19,63cc19,77cc19,90cc19,97cc19,103cc19,105cc19,108cc19,0eg19,27eg19,53eg19,63eg19,77eg19,90eg19,97eg19,103eg19,105eg19,108eg19,labels
67,0.520757359,32.31960163,81.96828809,95.02839387,97.23347262,97.03839162,70.10690789,0.160341411,0.076020191,0.352733686,-0.00983745,0.056387059,0.189933985,0.270603687,0.212314904,0.203906983,0.142468035,-0.010915679,-0.036846898,-0.046911497,4
79,0.77554434,34.99139882,83.50013437,93.82639076,94.45405613,94.04107514,70.79378775,0.419448255,0.181999078,0.349336991,-0.00546488,0.057903487,0.185003802,0.257402867,0.202635676,0.194900677,0.137709886,-0.0080832,-0.034404036,-0.050579678,4
80,1.291366363,30.93481213,81.17925289,97.20668595,97.7156222,98.51432652,84.51350416,0.151196464,0.104346138,0.24874257,-0.001582228,0.052384574,0.17774415,0.265406877,0.206292629,0.218599543,0.166374207,-0.005582455,-0.033914048,-0.046849966,4
81,0.708545921,32.982789,81.62429454,95.11421661,96.56435559,97.74266609,75.20342798,0.31824417,0.076628352,0.130146567,-0.006436571,0.059962653,0.184578761,0.278136194,0.204828456,0.218466327,0.150832728,-0.002715166,-0.037152298,-0.04918414,4
82,1.129523198,40.87686736,87.85487772,98.65627519,99.22786108,97.826134,64.64573234,0.285322359,0.177145769,0.281054717,-0.006180451,0.074084215,0.193545714,0.286675423,0.21247749,0.201977447,0.123946778,-0.004913651,-0.027929056,-0.042389501,4
83,1.788907894,47.72159348,88.46116635,99.27008869,99.6860182,98.56301939,72.73943054,0.242036275,0.162987289,0.313976528,-0.006423947,0.091737039,0.188689351,0.293720543,0.2349675,0.208118469,0.137098148,-0.006505539,-0.026763245,-0.040616218,4
92,1.122229678,28.5232868,80.22789573,96.39665702,96.19270366,97.69736842,83.75107852,0.475537266,0.178191328,0.35299497,-0.00446974,0.044039093,0.184241176,0.275869191,0.207798824,0.224630892,0.175711334,-0.003077608,-0.034604385,-0.048110139,4
94,0.568688508,32.99299949,82.30798173,97.06203793,98.79533513,98.84383089,74.2934124,0.220088401,0.123151959,0.133187375,-0.004437646,0.053220462,0.187448785,0.269604892,0.20935595,0.210956886,0.14750734,-0.00421402,-0.036695365,-0.045386467,4
95,2.157423345,37.63789131,85.70814297,99.08603879,99.42970652,98.53055748,77.76683691,0.452370066,0.18305662,0.243865264,-0.004260048,0.064550877,0.194701269,0.290508032,0.220106855,0.219455913,0.164221883,-0.003210281,-0.028581215,-0.042697359,4
101,2.137820466,37.883182,81.84789035,97.75099111,99.11465676,98.91252597,80.08353532,0.046449089,0.294958341,0.21216278,-0.00424211,0.072933823,0.166003779,0.254881859,0.227382958,0.219298586,0.141014114,-0.009487695,-0.03608894,-0.050408207,4
102,0.859124112,35.76300143,81.52324644,96.48666024,99.06339442,98.9503982,70.04198407,0.045115074,0.203627496,0.231672001,-0.007035797,0.065383621,0.165314749,0.264352262,0.223387346,0.216588303,0.127135321,-0.006028436,-0.033494793,-0.038897123,4
108,0.456574379,34.88684104,83.97635044,98.83794679,99.60698877,99.4506853,83.20427092,0.337753391,0.157513836,0.294958341,-0.003952587,0.055003878,0.184510469,0.280312032,0.210295781,0.220286995,0.164091825,0.000492966,-0.026826046,-0.040634397,4
109,1.107628714,33.71570847,83.33781242,98.96156947,99.36349267,99.36906816,79.86410699,0.203017833,0.154092553,0.267642128,-0.004735,0.054689068,0.185286745,0.286062986,0.216861263,0.226003021,0.161228478,-0.000899947,-0.026580585,-0.039391957,4
110,1.964874406,39.47215935,84.2450954,98.39505509,99.22892904,99.45427092,78.98521903,0.196311538,0.181232135,0.324950465,-0.004542426,0.06771142,0.179376379,0.263023257,0.224042758,0.221089542,0.149455577,-0.000397564,-0.020672958,-0.039449088,4
111,1.668271241,42.59257583,82.85407149,98.04138672,98.99282117,99.53947368,82.99503883,0.088401158,0.121939382,0.381039476,-0.005665728,0.077719301,0.168488905,0.249835372,0.223848879,0.228026316,0.157681793,-0.003460515,-0.028216831,-0.043714907,4
112,1.152263774,44.30772011,81.99301263,97.78420658,99.21077363,99.45427092,81.08390854,0.055479348,0.07765294,0.289590002,-0.00532658,0.087361485,0.169295624,0.236882165,0.224055946,0.214470536,0.151526392,-0.007123863,-0.033297911,-0.049502812,4
122,0.095999688,30.45676777,85.02553077,99.26283082,99.69883378,99.50008657,87.11262119,0.206675812,0.128612682,0.269471117,-0.007017944,0.046100698,0.188574255,0.282135099,0.217184931,0.223844156,0.169971749,-0.002767429,-0.029173056,-0.050065756,4
123,0.265095585,34.87599946,87.04756786,99.23783929,99.86970823,99.82635893,88.20766967,0.101813748,0.085750775,0.27853798,-0.005215756,0.054571416,0.196113884,0.298094571,0.221409574,0.231497511,0.17029956,-0.002467183,-0.029240064,-0.043656513,4
124,0.68753586,34.02489814,85.64149422,98.78849772,99.42863856,99.07375346,78.02869633,0.141441853,0.129826009,0.323121475,-0.004173384,0.053290572,0.189970553,0.283858836,0.20874612,0.222459301,0.152884066,-0.001749472,-0.029800927,-0.03643772,4
125,0.95268726,39.12313264,84.1655469,98.23595808,99.58028963,99.65049342,82.38783434,0.265203475,0.083318129,0.278616065,-0.004702912,0.065341294,0.178560078,0.261770636,0.22113505,0.222959816,0.157637715,0.002077141,-0.027142167,-0.038069203,4
126,0.789926368,40.41874151,84.57188928,98.58532653,99.66463088,99.78899758,82.97264543,0.128638927,0.120726055,0.18899558,-0.00477232,0.068521798,0.175576687,0.252675772,0.233277231,0.231714576,0.160842925,-0.000757514,-0.029873671,-0.047622036,4
127,0.888350789,44.35876587,85.46089761,99.21140041,99.80563031,99.47195291,75.96195464,0.104862064,0.083719576,0.234110654,-0.005495335,0.086691238,0.180491015,0.253646255,0.232432678,0.220744997,0.145313904,-0.003745338,-0.033850629,-0.04932034,4
129,0.36759343,39.74015392,82.80677237,98.84762161,99.29514289,98.99909107,58.22907679,0.087181832,0.22628552,0.284619595,-0.011302586,0.077194773,0.168495789,0.240448743,0.222456515,0.202246591,0.110678554,-0.012798844,-0.040655445,-0.051894084,4
131,0.683205902,36.3631025,82.69282451,96.79011019,99.12213251,98.82163262,70.07877424,0.031702484,0.165419936,0.11766499,-0.006599101,0.067049712,0.168928698,0.250302106,0.220524862,0.22202903,0.132393211,-0.009564864,-0.037837159,-0.044534687,4
136,0.075852613,25.88003622,77.44799785,95.63773179,97.96659405,98.97636773,89.0271786,0.717573541,0.250562549,0.372194855,-0.006126778,0.038681343,0.173555151,0.257424533,0.204774767,0.233731791,0.183841214,0.003528768,-0.0308512,-0.051522117,4
137,0.100385461,31.98822997,82.67884977,98.18707811,99.29407493,99.34643352,87.27060249,0.282883707,0.145350605,0.234142188,-0.009930385,0.04950298,0.182285845,0.257649094,0.209189102,0.22744745,0.171524122,-0.00289839,-0.029927751,-0.048145186,4
138,0.32942025,36.33012603,86.1972588,98.25208277,99.66359093,99.14797239,75.20667417,0.074378906,0.079865874,0.171079133,-0.008755274,0.057636868,0.186917037,0.263518751,0.2153216,0.208329573,0.135140195,-0.008980357,-0.031089894,-0.043232054,4
139,0.524647237,35.56360344,84.26337006,98.39075517,99.42543466,98.57059384,73.7534626,0.095107453,0.108252752,0.215897342,-0.003737643,0.05655662,0.183060601,0.261353165,0.208757922,0.214111611,0.142432705,-0.008454931,-0.025111984,-0.040348515,4
140,0.625216243,38.38750566,84.50846547,98.28433217,99.39766756,99.45572195,81.51855047,0.149367474,0.10608139,0.200085143,-0.005401418,0.066389568,0.180845618,0.256631911,0.214653075,0.21398358,0.148400679,-0.000655129,-0.022905082,-0.038360339,4
141,0.597926992,40.36260751,83.4238108,98.18543402,99.28854602,99.51198927,89.66953774,0.136564548,0.15143222,0.177583166,-0.005809099,0.069581129,0.174419299,0.244888261,0.221869051,0.219925538,0.170142114,0.000159409,-0.025925754,-0.048486382,4
145,0.647145106,34.07469443,81.40499866,96.98575652,98.78465547,96.1294581,71.1175554,0.052560812,0.223803442,0.171501551,-0.008407596,0.060916014,0.166474551,0.246879727,0.228714168,0.208605066,0.129796386,-0.012874636,-0.042643558,-0.047124896,4
146,0.647145106,35.6882143,81.08035474,95.5893577,99.34320133,99.29774065,79.39858899,0.049992379,0.179850633,0.110685398,-0.0061482,0.065744534,0.169826001,0.24964036,0.235370457,0.237442464,0.154595122,-0.008392058,-0.038255084,-0.04662336,4
147,0.416703134,34.24717067,81.34372481,95.56305582,99.30795848,99.23101812,86.47203947,0.073769242,0.201909627,0.174542358,-0.008699435,0.062741324,0.178324685,0.246405423,0.229781777,0.253025234,0.184469789,-0.00271626,-0.036941569,-0.043668739,4
152,0.266354868,27.47351743,78.42730449,95.12496641,98.61698492,99.19278047,90.48964625,0.499314129,0.237812128,0.563328761,-0.003201943,0.037799049,0.168729201,0.244458616,0.201061487,0.227903739,0.177875459,0.000895089,-0.028736439,-0.046010319,4
153,0.137118184,31.77953825,84.426767,97.85278046,99.6336879,99.26960699,79.38560422,0.053650358,0.130432672,0.288370675,-0.010285177,0.045449939,0.190860003,0.25834918,0.207214475,0.214600116,0.143897623,-0.012153274,-0.031613659,-0.051716484,4
154,0.303896685,34.84121606,81.5361462,97.18032787,99.42329873,99.14473684,78.13149238,0.054260021,0.078452837,0.229885057,-0.005247009,0.054448929,0.174384862,0.244861305,0.203783572,0.209077433,0.139656305,-0.007745517,-0.028109653,-0.04675594,4
155,0.476915911,36.20823902,82.91534534,97.75759205,99.23747277,98.28925727,73.07717278,0.105471727,0.136499308,0.229233349,-0.002284576,0.058254011,0.1764808,0.251524657,0.203350186,0.206190124,0.132817417,-0.001554898,-0.022296576,-0.042105842,4
156,0.372455777,38.95246718,83.83230314,98.0962107,99.31757017,99.10513331,79.20081967,0.149367474,0.134403698,0.318853833,-0.006383555,0.065280102,0.174545974,0.249138653,0.216207549,0.212520078,0.145860374,0.000639131,-0.024397109,-0.043417159,4
157,0.360786144,36.79402445,80.83633432,97.19967751,98.7495982,99.21009349,80.10409453,0.14266118,0.144385935,0.193263222,-0.006589962,0.064548902,0.167987838,0.236337945,0.2160189,0.212980852,0.14582935,-0.000236181,-0.029180886,-0.050134826,4
