,0cc19,27cc19,53cc19,63cc19,77cc19,90cc19,97cc19,103cc19,105cc19,108cc19,0eg19,27eg19,53eg19,63eg19,77eg19,90eg19,97eg19,103eg19,105eg19,108eg19,labels
7,1.461436877,45.9370756,84.29669444,95.58769956,93.09240036,89.37446074,48.74805229,0.043393228,0.143779272,0.272519433,-0.002150007,0.100609988,0.174212679,0.262277275,0.225661933,0.173225433,0.094147131,-0.023030816,-0.042853843,-0.046939529,1
9,1.251568107,47.86328656,82.54877721,93.52385835,94.45726003,79.84197796,21.91503636,0.0231672,0.165619161,0.188385917,-0.003101084,0.110041842,0.169921696,0.253463298,0.216631576,0.144673049,0.059125807,-0.022732299,-0.035753362,-0.043560795,1
13,1.175874352,47.76799024,83.32921258,90.19295888,89.04908369,88.18485764,33.00402528,0.263374486,0.156073769,0.178191328,-0.006892465,0.103508323,0.176588923,0.262815297,0.217584983,0.168312326,0.07647308,-0.009389884,-0.041335512,-0.047560297,1
14,1.872003579,43.77015856,81.97043805,93.29642569,95.85202273,94.5907635,42.79551337,0.120713306,0.313811348,0.33427164,-0.005111279,0.089063205,0.16937077,0.268962413,0.231913686,0.191313371,0.091589063,-0.014178808,-0.037875913,-0.047023915,1
15,2.298632126,45.79346795,82.73689868,97.61784467,97.93348712,92.8464768,35.767616,0.041559712,0.206166758,0.254211519,-0.00501092,0.096633948,0.167328134,0.26227659,0.238056675,0.174168393,0.077420168,-0.022087181,-0.044615138,-0.046854272,1
16,1.883932966,45.53351274,81.68664338,96.29669444,98.28164381,86.59755886,21.98969875,0.007315958,0.129858253,0.125889436,-0.00778399,0.097449198,0.167180732,0.28057152,0.234483004,0.159800455,0.061315093,-0.026982067,-0.045974158,-0.045832492,1
17,3.081269267,45.36838777,83.01424348,97.36954891,98.23144944,81.03429681,18.75865651,0.014022253,0.158730159,0.18305662,-0.002448,0.10055957,0.17319198,0.25541383,0.22860238,0.151501641,0.056101803,-0.028208548,-0.038271446,-0.045757145,1
21,2.145753712,48.50656406,81.93926364,95.09486697,96.52911273,90.23943054,21.84641933,0.025605853,0.136228182,0.266422801,-0.00693081,0.103438035,0.169814885,0.257188767,0.226873741,0.162279546,0.060974177,-0.021260083,-0.038302474,-0.047530852,1
22,1.124609443,43.54142146,81.44369793,94.51545284,94.95920373,90.24194945,33.07605482,0.067062948,0.2566187,0.432402846,-0.008785903,0.09223789,0.16662851,0.261140704,0.22400786,0.177514642,0.075524107,-0.021113908,-0.039579105,-0.046600975,1
23,1.727591874,43.75282933,81.26740124,98.01881215,98.70882994,94.57345048,42.13869715,0.031169784,0.217185566,0.173144338,-0.00552868,0.093031302,0.164501339,0.266055703,0.241344318,0.179864392,0.087911248,-0.016623223,-0.043255389,-0.053752512,1
24,2.193404713,43.47065998,79.83015318,95.69685568,98.54649921,87.39395776,17.40940466,0.01341259,0.122848629,0.139612864,-0.004896388,0.093318902,0.164512038,0.273002326,0.242096186,0.160809293,0.054641228,-0.021543643,-0.046229675,-0.049944758,1
25,3.15453434,43.6926211,81.11690406,97.10703954,98.48455722,81.32118205,15.33973253,0.012193263,0.131039336,0.120103643,-0.00361356,0.09612865,0.167564645,0.254822642,0.231356233,0.149744287,0.048497606,-0.025060644,-0.043244392,-0.046508905,1
29,1.077982321,44.88503411,80.15802204,93.03225115,93.29638173,83.76146988,23.0230696,0.005486968,0.105559465,0.148757811,-0.005251306,0.092195667,0.169380724,0.261457831,0.222787783,0.150322348,0.061511584,-0.022596905,-0.034185119,-0.047467694,1
30,1.29477752,46.69760072,83.09594195,96.19994625,94.66658123,83.15681622,15.7353705,0.029263832,0.110077237,0.251181222,-0.006367637,0.099891134,0.174131259,0.267821759,0.221119866,0.149142057,0.049162697,-0.02176214,-0.040106393,-0.048232455,1
31,1.28706324,44.36034405,80.24939532,94.16715937,96.20765518,86.59864093,22.3781277,0.037799116,0.15530588,0.388007055,-0.005769072,0.095607698,0.163220182,0.247322559,0.230921119,0.157420829,0.056552131,-0.018286359,-0.038987003,-0.043340296,1
32,1.094981214,44.06473517,79.67428111,97.97903789,98.67038319,91.35539301,32.34504848,0.014668133,0.141959281,0.201798506,-0.005068246,0.094504528,0.161158517,0.266510129,0.245063066,0.167517841,0.072686404,-0.023619328,-0.042897921,-0.049241055,1
33,1.669030111,44.1012784,80.19887127,96.77936039,98.69815028,87.98584661,24.94156856,0.010364274,0.088791583,0.096936443,-0.007058995,0.095196277,0.165773675,0.275404334,0.240721077,0.162331343,0.064469621,-0.019720457,-0.042398684,-0.047238875,1
34,3.088076553,45.16523314,80.33109379,96.02807243,97.30338759,80.30198447,19.63729224,0.014022253,0.161979179,0.120103643,-0.001591759,0.099990606,0.165551111,0.245364085,0.223612741,0.150785401,0.058000382,-0.017578954,-0.036611944,-0.043351866,1
39,1.616080265,48.58788454,79.07766729,95.62454611,95.92571233,85.78492902,23.99043456,0.015851242,0.091832391,0.16582838,-0.003520195,0.099822365,0.168232813,0.248979151,0.22671707,0.150865898,0.06087647,-0.021238867,-0.033599317,-0.041248109,1
40,2.233762192,46.22136713,84.26444504,97.59991428,96.76086121,85.64495255,22.76012812,0.039018442,0.101813748,0.206675812,-0.003130319,0.099524997,0.177914634,0.271837533,0.232143462,0.156444177,0.059731677,-0.023699624,-0.040769879,-0.048602432,1
41,1.375439073,41.04617474,81.78769148,97.02025072,97.74766116,93.2371018,38.27653149,0.065233958,0.172109712,0.370978532,-0.009634145,0.084964655,0.170976758,0.261611164,0.236875117,0.180758908,0.081662923,-0.022827823,-0.040546082,-0.045559101,1
42,1.273448668,43.88501584,80.693362,97.5184828,98.68747063,91.65404259,31.94901316,0.01650165,0.173934197,0.181069959,-0.007039651,0.092362426,0.167920455,0.254831374,0.238188595,0.168423921,0.068944685,-0.024231737,-0.03921571,-0.049249049,1
43,1.963415701,43.39386547,80.06987369,95.50519661,98.07552651,89.4412223,27.25610284,0.014631916,0.117055327,0.117055327,-0.004968016,0.091767825,0.164220482,0.258460432,0.228333816,0.166512892,0.064351201,-0.020237576,-0.040214047,-0.047060262,1
44,3.297172466,44.03168855,80.32141897,95.88085779,98.20581828,83.92471959,24.64183691,0.016460905,0.105211944,0.178021643,0.00049624,0.095584311,0.165343702,0.241255313,0.226165533,0.16173543,0.063372068,-0.020957526,-0.037618995,-0.038900517,1
48,1.736278623,47.48836789,85.26847622,96.74388605,97.7092039,90.86712683,30.36811807,0.035970127,0.070372977,0.172534675,-0.003555217,0.097448066,0.180197582,0.273459852,0.236550272,0.162371024,0.072826713,-0.015161747,-0.040415235,-0.046257578,1
50,2.315687908,47.72507567,83.25933889,98.21230852,97.94309881,88.74173609,20.26056094,0.017680232,0.119199659,0.215211096,-0.002998607,0.103299588,0.171542361,0.267495543,0.230252489,0.154417291,0.056836694,-0.02295953,-0.039421942,-0.047720153,1
51,1.416887903,43.48150156,82.68207471,98.23058318,98.82417019,93.58067299,43.25388266,0.089010822,0.259045354,0.318068479,-0.007936067,0.092736132,0.170490399,0.273114651,0.248071879,0.185197696,0.092511781,-0.014514336,-0.040437758,-0.050308805,1
52,1.506269218,42.48994895,80.24402042,97.16742811,98.53902345,93.99374461,44.36569425,0.0220022,0.189279041,0.210333791,-0.004240579,0.090145558,0.161052957,0.253939897,0.236282125,0.182725847,0.087956496,-0.016975595,-0.041688122,-0.049016207,1
