FID,0cc19,27cc19,53cc19,63cc19,77cc19,90cc19,97cc19,103cc19,105cc19,108cc19,0eg19,27eg19,53eg19,63eg19,77eg19,90eg19,97eg19,103eg19,105eg19,108eg19
1084,2.006734597,43.66953373,84.94490728,97.73286751,99.45890925,98.77402181,59.1145384,0.018899558,0.102779298,0.157293096,-0.002746184,0.092849731,0.17478843,0.24973923,0.226758763,0.202195331,0.111890465,-0.016164405,-0.050862752,-0.058925681
1085,1.76990288,44.38660027,85.75651707,97.55872077,99.40446117,97.98195118,49.77817694,0.010973937,0.10980611,0.166438043,-0.003448996,0.09152399,0.176010132,0.250535071,0.225953966,0.188047469,0.096697755,-0.02340807,-0.050257429,-0.054398336
1086,2.323715611,49.48638027,86.69927439,98.78281367,99.1792564,97.22667071,53.59894391,0.062795306,0.249338737,0.282883707,-0.001542533,0.105379865,0.176538691,0.254591674,0.224061757,0.183656201,0.097780772,-0.018515788,-0.04716539,-0.056913074
1087,2.982812645,50.23268447,87.47325988,98.91964526,99.48998179,98.67450388,63.02371884,0.074378906,0.224411604,0.292638317,-0.001181588,0.112508491,0.18338877,0.2672939,0.234986737,0.203955159,0.114444852,-0.022705555,-0.047567714,-0.064012669
1088,2.504594918,48.12765957,86.30475679,98.87019618,99.65927355,98.92334661,62.25194133,0.032921811,0.121332719,0.126497598,-0.002837524,0.104117297,0.178540617,0.261498213,0.233653784,0.203346491,0.111644402,-0.022791294,-0.046719786,-0.063357294
1089,2.027201536,41.01674966,83.68825585,97.83391561,99.48998179,97.68871191,43.58769044,0.030558611,0.065519668,0.124371285,-0.002041709,0.080247216,0.171335265,0.241084263,0.231060281,0.19134596,0.092185177,-0.019598911,-0.045788355,-0.052632686
1090,1.18415859,36.98378281,82.55737705,96.89330825,98.01457195,93.63638331,27.94537742,0.028654169,0.105211944,0.221307727,-0.00584059,0.070093341,0.173105583,0.235109493,0.210522816,0.173824251,0.074622862,-0.018686002,-0.040616427,-0.041205961
1091,1.121257208,34.37799909,80.5708143,97.0631094,99.04746598,94.95793788,29.22870499,0.045115074,0.149239244,0.324340802,-0.005975479,0.060792066,0.168803826,0.228755131,0.217303589,0.174422294,0.080001034,-0.016270485,-0.040587179,-0.040182561
1092,0.236274719,24.94929833,71.53345875,95.49341048,95.20803964,96.53523199,95.36345988,0.750495351,0.102423411,0.216430422,-0.00902621,0.043390766,0.172801763,0.288919032,0.288129061,0.296926439,0.246241748,0.015193091,-0.03365102,-0.060312297
1093,0.261594266,27.95591092,75.18731524,95.79037893,94.48395916,96.58218292,96.0309903,1.59122085,0.086358937,0.270690444,-0.007773441,0.049508568,0.174812302,0.292518407,0.27345407,0.28735739,0.248448938,0.02226774,-0.028106498,-0.05177727
