,0cc19,27cc19,53cc19,63cc19,77cc19,90cc19,97cc19,103cc19,105cc19,108cc19,0eg19,27eg19,53eg19,63eg19,77eg19,90eg19,97eg19,103eg19,105eg19,108eg19,labels
1,1.099376647,41.38841105,79.38403655,88.53641494,91.73363334,90.7829813,44.52692175,0.050116123,0.119199659,0.269471117,-0.003480929,0.092390731,0.163676128,0.232074708,0.212771311,0.172067791,0.086425535,-0.017362418,-0.042542417,-0.043014698,3
8,1.376157966,42.7415639,80.11072292,90.36537019,91.00025631,85.29551337,30.84855436,0.018289895,0.094265037,0.179240969,-0.004800288,0.092309028,0.161672875,0.257859588,0.209465638,0.163577408,0.068762347,-0.021643257,-0.036292311,-0.043621372,3
18,1.104238994,32.50248981,73.52754636,86.6509003,91.59724892,87.74671053,43.19269014,0.134125895,0.06750593,0.235939643,-0.00682441,0.062489934,0.159634322,0.233852103,0.202758461,0.168280944,0.095903695,-0.008182291,-0.030547652,-0.037601147,3
19,1.4869057,45.1539158,80.37839291,91.93980113,94.26765242,88.02155471,34.8177308,0.051821369,0.101919484,0.214601433,-0.005376117,0.089748435,0.170042604,0.245214358,0.214617953,0.158689693,0.076782919,-0.019326659,-0.03482135,-0.044025403,3
20,1.20951309,46.18421647,75.11636657,89.24354441,91.06326627,87.44806094,40.2771786,0.017070569,0.046713097,0.145099832,-0.006694844,0.092418015,0.160737038,0.246577129,0.216459081,0.169887036,0.08747755,-0.017014803,-0.038317844,-0.046415858,3
27,0.615470082,38.68673608,79.42488578,92.89868315,96.01755735,88.70650104,24.13179465,0.024386526,0.05959983,0.248132907,-0.012985541,0.071037844,0.166655362,0.250821024,0.213303834,0.158952296,0.06115102,-0.016711587,-0.03497142,-0.034428865,3
28,0.843530255,44.53100951,78.7680731,91.14969094,93.31404693,86.03704986,34.32089681,0.051211706,0.093426193,0.192043896,-0.007748214,0.087214231,0.16483295,0.245481968,0.220136985,0.155693591,0.074359216,-0.015858732,-0.03433121,-0.037029665,3
35,1.272962434,38.72204906,80.72776135,93.35476267,93.71288821,89.50388266,43.71970222,0.086572169,0.057308337,0.158730159,-0.008369191,0.07697206,0.179817244,0.266913921,0.208355114,0.176732838,0.09486483,-0.016071688,-0.040458106,-0.045849148,3
37,1.21461427,38.57627886,81.02445579,94.80874317,96.40416079,88.5376991,32.31018119,0.015241579,0.076817558,0.185337601,-0.007025191,0.073274516,0.175126374,0.270242602,0.221026078,0.161006853,0.071018502,-0.021391567,-0.03133668,-0.04054942,3
38,1.561299608,39.39746492,75.91507659,90.63430837,92.96260581,87.44265062,36.17230783,0.017680232,0.093656875,0.174973327,-0.003889476,0.077715911,0.160010308,0.240480796,0.218030319,0.159347773,0.079808846,-0.017651785,-0.032116797,-0.036344916,3
