,0cc19,27cc19,53cc19,63cc19,77cc19,90cc19,97cc19,103cc19,105cc19,108cc19,0eg19,27eg19,53eg19,63eg19,77eg19,90eg19,97eg19,103eg19,105eg19,108eg19,labels
577,0.315356401,26.26708918,73.84144047,96.33431873,97.21311475,99.49684037,99.05211219,0.053650358,0.045612115,0.162170401,-0.012003267,0.043993983,0.172138453,0.255102396,0.264588565,0.286318928,0.220635995,-0.000310937,-0.033368204,-0.05643449,0
578,0.733728156,27.68441975,74.04676162,96.46976619,96.62309368,99.62993421,99.44922957,0.082304527,0.08614623,0.20057918,-0.011170638,0.047377914,0.169337437,0.245176196,0.250948489,0.28003937,0.212980956,-0.003153639,-0.034119852,-0.062648334,0
579,0.848479544,27.28429153,74.49287826,97.0695382,96.31551967,99.46978878,98.81838643,0.104252401,0.128322082,0.36611324,-0.012991294,0.049483925,0.172014058,0.253329575,0.252132475,0.273601681,0.201666325,-0.007885571,-0.036817756,-0.065818302,0
580,0.761707,30.89814396,70.08868584,93.65224402,94.57794011,98.0877912,94.92881795,0.039018442,0.077046276,0.223136717,-0.014503943,0.058274563,0.158612356,0.236850977,0.242692426,0.256549358,0.196531981,-0.010238694,-0.035585608,-0.054553591,0
581,0.873763748,34.14622001,72.59553883,91.18194034,98.31475074,98.6463383,95.14694425,0.040237769,0.047926424,0.068891937,-0.013171279,0.063000306,0.159106538,0.234239787,0.22801806,0.24878782,0.196764231,-0.012551061,-0.033912465,-0.052668359,0
582,1.268100087,34.03125988,74.43590433,93.20935232,99.22252125,99.12677458,95.70528913,0.07133059,0.094265037,0.149367474,-0.005443011,0.065829195,0.164350614,0.237581104,0.237150639,0.252041161,0.213198721,-0.005840663,-0.027972482,-0.048902925,0
600,0.413237236,25.73019466,73.58452029,98.42730449,94.67619292,97.88071613,84.89655471,1.402834934,0.076020191,0.271300107,-0.01033269,0.057411883,0.18165341,0.322898299,0.285951138,0.343639463,0.22347559,0.00872626,-0.040711269,-0.053736646,0
601,0.210517083,27.38886374,69.00080623,98.11556033,95.04998078,97.76986669,86.01865478,0.930345984,0.123151959,0.514555708,-0.011941951,0.060945462,0.164450377,0.308082134,0.284249425,0.331809521,0.219243109,0.003953767,-0.036935221,-0.06169026,0
604,0.456607654,29.55590765,74.93576995,95.50733955,96.16600453,98.39205332,97.28510215,0.525608116,0.146928822,0.22684425,-0.010825351,0.054616198,0.178189322,0.267536342,0.286293209,0.310708672,0.237824708,0.001991971,-0.02952517,-0.05509799,0
605,0.355437563,30.46446356,72.89545821,95.26148885,96.8195993,98.02739431,96.5947455,0.129858253,0.090007906,0.221307727,-0.010690915,0.052002694,0.181210876,0.282491565,0.294765979,0.302617073,0.210819393,-0.007863904,-0.030498043,-0.05262243,0
606,0.151552807,25.03576279,76.86428379,98.53587745,98.3190226,99.49792244,98.91177739,0.743179393,0.121632306,0.306050907,-0.013828059,0.047511987,0.186812565,0.269919783,0.287666708,0.294678271,0.237162024,0.011123489,-0.030455148,-0.050411817,0
607,0.35203392,26.30964237,77.14055361,98.37678044,98.33494053,99.30639716,99.36699273,0.35299497,0.064014632,0.194482548,-0.010078338,0.048995994,0.182324544,0.26423192,0.285598487,0.287525177,0.220501423,0.006129752,-0.035867237,-0.052139826,0
608,0.715368234,29.44211049,80.30744424,99.29481322,98.4760135,99.48818386,99.50225069,0.181069959,0.081493645,0.243865264,-0.008580453,0.058836587,0.189474046,0.276818901,0.272821456,0.274241954,0.206350669,-0.003555778,-0.035717949,-0.058051299,0
610,1.012826871,32.45993662,77.9360387,96.82235958,97.40270836,98.75754961,96.21009491,0.101813748,0.093656875,0.14083219,-0.006740542,0.062774077,0.179874659,0.260801762,0.252485096,0.259252101,0.194083303,-0.00778942,-0.036491666,-0.060566828,0
636,0.133522409,25.38600533,74.39720505,99.25425908,99.12640437,99.56609245,99.41198603,0.493217497,0.091606203,0.192787204,-0.010225385,0.050705098,0.174487293,0.280342013,0.282668471,0.287984192,0.233775839,0.009354593,-0.032949395,-0.055470638,0
637,0.218319378,26.97158603,79.61300726,99.03675131,99.34104789,99.81496711,99.53623814,0.473708276,0.083318129,0.169068905,-0.00790981,0.04890056,0.185138777,0.277740508,0.278758973,0.284219682,0.219940498,0.010383461,-0.033235516,-0.055229776,0
660,0.2285121,19.96205448,67.893577,98.01671488,84.06728812,88.44693701,86.25021641,0.547477519,0.063404969,0.186556927,-0.0087681,0.057632998,0.154830232,0.320480168,0.239253879,0.268080175,0.217874587,0.00980047,-0.024613304,-0.045713127,0
691,0.153163929,27.37453133,73.49744692,96.23486553,91.30826101,92.8821849,84.42477493,0.809023015,0.062640637,0.286541686,-0.009209039,0.072820209,0.172624871,0.299360991,0.248344734,0.274356484,0.221593291,0.007476599,-0.031737298,-0.043261435,0
720,0.183227831,27.42467362,73.76296694,92.32894383,97.34503823,98.78808864,89.11335699,0.206066148,0.229885057,0.217040085,-0.010590916,0.046030663,0.152517334,0.220756203,0.211763665,0.231203169,0.183864474,0.003182701,-0.029970394,-0.039376084,0
721,0.278126246,29.55409688,73.70169309,91.90185364,97.60668973,95.86820535,84.92036011,0.14266118,0.179572423,0.144490169,-0.010082606,0.050099414,0.155581385,0.213859588,0.217687175,0.224462658,0.172716901,0.002992701,-0.02893177,-0.035417315,0
722,0.427886532,25.03938434,75.20881483,99.06476754,89.30539536,91.21688885,85.85310613,0.503581771,0.101919484,0.20312595,-0.005850613,0.060143899,0.174862519,0.318614572,0.242969826,0.270249158,0.21463792,0.004853118,-0.024656096,-0.054142915,0
723,0.550175629,26.0270136,70.38108035,96.19950713,87.93099754,90.92797784,83.98653913,0.535284255,0.081493645,0.192653559,-0.005153612,0.065307468,0.161791071,0.287430346,0.228917629,0.256198019,0.203246117,0.004124949,-0.028266136,-0.04179465,0
730,0.102595521,27.77953825,78.69604945,98.76914808,99.20116195,99.67970914,97.60569456,0.761469288,0.115872746,0.28349337,-0.010255896,0.047230817,0.171353817,0.248492241,0.240700692,0.235655233,0.176425934,0.010072654,-0.018977214,-0.048104994,0
755,0.242631113,27.18884246,76.02364956,95.28447445,89.64427301,91.27315616,84.62036238,0.938881268,0.110349032,0.123151959,-0.006818257,0.062243201,0.174431786,0.27733773,0.234119624,0.24750708,0.201556578,0.004015547,-0.025837241,-0.052787062,0
763,0.213943266,27.56742106,78.21553346,99.48508465,99.84356584,99.88205506,99.38632442,0.614540466,0.106691053,0.205456485,-0.005561055,0.046238139,0.16522862,0.253541678,0.232342064,0.225113675,0.174641103,0.005754197,-0.025786696,-0.051635358,0
788,0.196925052,28.64028549,79.76135447,93.06463326,90.67024993,92.07182916,85.19520429,0.78890413,0.149607736,0.122240467,-0.009302029,0.063447177,0.188561857,0.260911375,0.228398234,0.249680102,0.184058502,-0.000179506,-0.020527001,-0.042305004,0
821,0.415300122,26.4105344,79.06906745,97.01275046,93.23368692,93.98588989,87.84950658,0.780466936,0.089010822,0.134125895,-0.004637006,0.059540346,0.189217091,0.280658424,0.245851547,0.259649813,0.190369576,0.003868347,-0.029167611,-0.049974207,0
854,0.237282532,24.4400777,76.33539371,97.495982,93.62048645,94.21961565,88.9878376,1.285779607,0.102171137,0.123151959,-0.006543222,0.052602965,0.184508085,0.286424398,0.256868154,0.264446437,0.193891108,0.011588987,-0.030314,-0.047671188,0
885,0.513950073,24.72557257,75.60118248,97.36737436,97.26173694,97.52964855,95.16501294,0.839506173,0.113118044,0.253010212,-0.008892118,0.04711755,0.180901334,0.283225417,0.319857687,0.299923807,0.258901805,0.005825929,-0.0273559,-0.048647005,0
