day,average_eg_19_1
0eg19,-0.003357956
13eg19,0.042155217
25eg19,0.080885245
35eg19,0.113858548
41eg19,0.13364253
49eg19,0.162506136
55eg19,0.182088845
62eg19,0.204935339
69eg19,0.227781834
77eg19,0.225
84eg19,0.187714572
91eg19,0.154665262
97eg19,0.103
