day,average_ch_21_1
0ch21,0
13ch21,0.009118462
25ch21,0.014526864
35ch21,0.014050672
41ch21,0.032024016
49ch21,0.129664146
55ch21,0.199568876
62ch21,0.308018931
69ch21,0.408663635
77ch21,0.606041964
84ch21,0.622141917
91ch21,0.657254111
97ch21,0.735979033
106ch21,0.759216231
111ch21,0.806546353
116ch21,0.683562203
124ch21,0.81369706
