,average_eg
0eg21,-0.012291451754325259
13eg21,-0.009462824698961937
25eg21,-0.0010415316435986159
35eg21,0.03792828869550173
41eg21,0.04851276179584775
49eg21,0.08800225817647059
55eg21,0.1031076363391004
62eg21,0.12421666550865046
69eg21,0.09859934491349483
77eg21,0.0852477587058823
84eg21,0.10259470196193772
91eg21,0.1208660894221452
97eg21,0.11828452473356393
106eg21,0.15356768847058835
111eg21,0.14788308053287205
116eg21,0.18402936134602074
124eg21,0.022069695418685115
