day,average_ch_21_3
0ch21,0
13ch21,0.007448779
25ch21,0.011071601
35ch21,0.00988521
41ch21,0.027911861
49ch21,0.091657209
55ch21,0.157582224
62ch21,0.217504223
69ch21,0.284254853
77ch21,0.370870058
84ch21,0.372791436
91ch21,0.418995858
97ch21,0.486499604
106ch21,0.50673529
111ch21,0.592246986
116ch21,0.4577142
124ch21,0.619512367
