day,average_ch_21_4
0ch21,0
13ch21,0.010577765
25ch21,0.008934801
35ch21,0.013300301
41ch21,0.04207135
49ch21,0.178530468
55ch21,0.274207221
62ch21,0.469073738
69ch21,0.552694673
77ch21,0.741856971
84ch21,0.810475947
91ch21,0.813710718
97ch21,0.883795614
106ch21,0.890959221
111ch21,0.906973287
116ch21,0.807037516
124ch21,0.910746095
