day,average_eg_21_3
0eg21,-0.012096062
13eg21,-0.008558127
25eg21,0.000893801
35eg21,0.025023139
41eg21,0.051783051
49eg21,0.099704942
55eg21,0.128110165
62eg21,0.192590089
69eg21,0.186214669
77eg21,0.176788149
84eg21,0.18828376
91eg21,0.203366961
97eg21,0.197142498
106eg21,0.21289823
111eg21,0.212599609
116eg21,0.230546731
124eg21,0.02201826
