day,average_cc_21_5
0cc21,0.011246687
13cc21,0.006537568
25cc21,2.092089786
35cc21,5.365602732
41cc21,14.07693141
49cc21,26.43535751
55cc21,38.89914789
62cc21,42.80405664
69cc21,46.25866765
77cc21,42.82154365
84cc21,39.55123464
91cc21,53.491725
97cc21,61.18791339
111cc21,66.13977052
116cc21,78.16096352
121cc21,61.85134258
124cc21,69.98532263
